bigram_total,bin_end_min,bin_idx,bin_label,bin_start_min,condition,condition_label,distinct_1,distinct_2,distinct_3,distinct_4,distinct_5,fivegram_total,fourgram_total,n_agents,n_posts,run_name,scale,token_total,trigram_total,unique_bigrams,unique_fivegrams,unique_fourgrams,unique_tokens,unique_trigrams
331,2.5,0,0-2,0.0,mag0,Empty feed,0.7463126843657817,0.9637462235649547,0.9907120743034056,1.0,1.0,307,315,7,8,bm-mag0-n10,n10,339,323,319,307,315,253,320
128,5.0,1,2-5,2.5,mag0,Empty feed,0.7480916030534351,0.96875,1.0,1.0,1.0,119,122,2,3,bm-mag0-n10,n10,131,125,124,119,122,98,125
292,7.5,2,5-7,5.0,mag0,Empty feed,0.7550335570469798,0.976027397260274,1.0,1.0,1.0,274,280,5,6,bm-mag0-n10,n10,298,286,285,274,280,225,286
0,10.0,3,7-10,7.5,mag0,Empty feed,0.0,0.0,0.0,0.0,0.0,0,0,0,0,bm-mag0-n10,n10,0,0,0,0,0,0,0
283,2.5,0,0-2,0.0,mag1,1 conspiracy,0.75,0.9575971731448764,0.9856115107913669,1.0,1.0,268,273,5,5,bm-mag1-n10,n10,288,278,271,268,273,216,274
32,5.0,1,2-5,2.5,mag1,1 conspiracy,0.9393939393939394,1.0,1.0,1.0,1.0,29,30,1,1,bm-mag1-n10,n10,33,31,32,29,30,31,31
108,7.5,2,5-7,5.0,mag1,1 conspiracy,0.8818181818181818,0.9907407407407407,1.0,1.0,1.0,102,104,2,2,bm-mag1-n10,n10,110,106,107,102,104,97,106
0,10.0,3,7-10,7.5,mag1,1 conspiracy,0.0,0.0,0.0,0.0,0.0,0,0,0,0,bm-mag1-n10,n10,0,0,0,0,0,0,0
199,2.5,0,0-2,0.0,mag5,5 conspiracies,0.7733990147783252,0.9748743718592965,1.0,1.0,1.0,187,191,4,4,bm-mag5-n10,n10,203,195,194,187,191,157,195
196,5.0,1,2-5,2.5,mag5,5 conspiracies,0.7638190954773869,0.9591836734693877,0.9948186528497409,1.0,1.0,187,190,2,3,bm-mag5-n10,n10,199,193,188,187,190,152,192
172,7.5,2,5-7,5.0,mag5,5 conspiracies,0.7771428571428571,0.9825581395348837,1.0,1.0,1.0,163,166,2,3,bm-mag5-n10,n10,175,169,169,163,166,136,169
0,10.0,3,7-10,7.5,mag5,5 conspiracies,0.0,0.0,0.0,0.0,0.0,0,0,0,0,bm-mag5-n10,n10,0,0,0,0,0,0,0
395,2.5,0,0-2,0.0,mag25,25 conspiracies,0.7114427860696517,0.9670886075949368,0.9974226804123711,1.0,1.0,374,381,6,7,bm-mag25-n10,n10,402,388,382,374,381,286,387
114,5.0,1,2-5,2.5,mag25,25 conspiracies,0.9051724137931034,1.0,1.0,1.0,1.0,108,110,2,2,bm-mag25-n10,n10,116,112,114,108,110,105,112
111,7.5,2,5-7,5.0,mag25,25 conspiracies,0.8495575221238938,0.972972972972973,1.0,1.0,1.0,105,107,2,2,bm-mag25-n10,n10,113,109,108,105,107,96,109
0,10.0,3,7-10,7.5,mag25,25 conspiracies,0.0,0.0,0.0,0.0,0.0,0,0,0,0,bm-mag25-n10,n10,0,0,0,0,0,0,0
243,2.5,0,0-2,0.0,dom-agi,25 AGI hype,0.8032128514056225,0.9711934156378601,0.9915611814345991,0.9956709956709957,1.0,225,231,5,6,bm-dom-agi-n10,n10,249,237,236,225,230,200,235
302,5.0,1,2-5,2.5,dom-agi,25 AGI hype,0.8013029315960912,0.9701986754966887,0.9966329966329966,1.0,1.0,287,292,5,5,bm-dom-agi-n10,n10,307,297,293,287,292,246,296
63,7.5,2,5-7,5.0,dom-agi,25 AGI hype,0.921875,1.0,1.0,1.0,1.0,60,61,1,1,bm-dom-agi-n10,n10,64,62,63,60,61,59,62
0,10.0,3,7-10,7.5,dom-agi,25 AGI hype,0.0,0.0,0.0,0.0,0.0,0,0,0,0,bm-dom-agi-n10,n10,0,0,0,0,0,0,0
323,2.5,0,0-2,0.0,dom-tech,25 tech humor,0.8536585365853658,0.9907120743034056,1.0,1.0,1.0,308,313,3,5,bm-dom-tech-n10,n10,328,318,320,308,313,280,318
408,5.0,1,2-5,2.5,dom-tech,25 tech humor,0.6359223300970874,0.7892156862745098,0.7995049504950495,0.805,0.8080808080808081,396,400,4,4,bm-dom-tech-n10,n10,412,404,322,320,322,262,323
389,7.5,2,5-7,5.0,dom-tech,25 tech humor,0.7690355329949239,0.9794344473007712,1.0,1.0,1.0,374,379,5,5,bm-dom-tech-n10,n10,394,384,381,374,379,303,384
0,10.0,3,7-10,7.5,dom-tech,25 tech humor,0.0,0.0,0.0,0.0,0.0,0,0,0,0,bm-dom-tech-n10,n10,0,0,0,0,0,0,0
