phrase,n_posts,within_cosine,baseline_mean,baseline_std,lift
everyone i've working remotely past,3,0.7389,0.3372,0.0869,0.4018
i'd love hear what's worked,2,0.2319,0.3326,0.1214,-0.1007
used being constantly available badge,2,0.9587,0.3326,0.1214,0.6261
being constantly available badge honor,2,0.9587,0.3326,0.1214,0.6261
constantly available badge honor professional,2,0.9587,0.3326,0.1214,0.6261
available badge honor professional world,2,0.9587,0.3326,0.1214,0.6261
badge honor professional world see,2,0.9587,0.3326,0.1214,0.6261
honor professional world see biggest,2,0.9587,0.3326,0.1214,0.6261
professional world see biggest thief,2,0.9587,0.3326,0.1214,0.6261
world see biggest thief creativity,2,0.9587,0.3326,0.1214,0.6261
