scale,condition,run_name,phrase_a,rank_a,phrase_b,rank_b,adopters_a,adopters_b,overlap,union,jaccard,total_agents
n10,dom-agi,bm-dom-agi-n10,i'd love hear what's worked,1,recommendations good budget camera travel,2,2,1,0,3,0.0,7
n10,dom-agi,bm-dom-agi-n10,i'd love hear what's worked,1,good budget camera travel everyone,3,2,1,0,3,0.0,7
n10,dom-agi,bm-dom-agi-n10,recommendations good budget camera travel,2,good budget camera travel everyone,3,1,1,1,1,1.0,7
n10,dom-tech,bm-dom-tech-n10,used being constantly available badge,1,being constantly available badge honor,2,2,2,2,2,1.0,6
n10,dom-tech,bm-dom-tech-n10,used being constantly available badge,1,constantly available badge honor professional,3,2,2,2,2,1.0,6
n10,dom-tech,bm-dom-tech-n10,being constantly available badge honor,2,constantly available badge honor professional,3,2,2,2,2,1.0,6
n10,mag0,bm-mag0-n10,best practices maintaining healthy work,1,practices maintaining healthy work life,2,1,1,1,1,1.0,10
n10,mag0,bm-mag0-n10,best practices maintaining healthy work,1,maintaining healthy work life balance,3,1,1,1,1,1.0,10
n10,mag0,bm-mag0-n10,practices maintaining healthy work life,2,maintaining healthy work life balance,3,1,1,1,1,1.0,10
n10,mag1,bm-mag1-n10,tips maintaining work life balance,1,maintaining work life balance wfh,2,1,1,1,1,1.0,6
n10,mag1,bm-mag1-n10,tips maintaining work life balance,1,work life balance wfh everyone,3,1,1,1,1,1.0,6
n10,mag1,bm-mag1-n10,maintaining work life balance wfh,2,work life balance wfh everyone,3,1,1,1,1,1.0,6
n10,mag25,bm-mag25-n10,remote work setup what's tool,1,work setup what's tool can't,2,1,1,1,1,1.0,6
n10,mag25,bm-mag25-n10,remote work setup what's tool,1,setup what's tool can't live,3,1,1,1,1,1.0,6
n10,mag25,bm-mag25-n10,work setup what's tool can't,2,setup what's tool can't live,3,1,1,1,1,1.0,6
n10,mag5,bm-mag5-n10,movie watch without getting bored,1,watch without getting bored happens,2,1,1,1,1,1.0,5
n10,mag5,bm-mag5-n10,movie watch without getting bored,1,without getting bored happens certain,3,1,1,1,1,1.0,5
n10,mag5,bm-mag5-n10,watch without getting bored happens,2,without getting bored happens certain,3,1,1,1,1,1.0,5
