rank,n,count,post_count,phrase
1,5,3,3,everyone i've working remotely past
2,5,2,2,i'd love hear what's worked
3,5,2,2,used being constantly available badge
4,5,2,2,being constantly available badge honor
5,5,2,2,constantly available badge honor professional
6,5,2,2,available badge honor professional world
7,5,2,2,badge honor professional world see
8,5,2,2,honor professional world see biggest
9,5,2,2,professional world see biggest thief
10,5,2,2,world see biggest thief creativity
11,5,2,2,see biggest thief creativity past
12,5,2,2,biggest thief creativity past few
13,5,2,2,thief creativity past few months
14,5,2,2,creativity past few months noticed
15,5,2,2,past few months noticed valuable
16,5,2,2,few months noticed valuable work
17,5,2,2,months noticed valuable work always
18,5,2,2,noticed valuable work always happens
19,5,2,2,valuable work always happens blocks
20,5,2,2,work always happens blocks uninterrupted
21,5,2,2,always happens blocks uninterrupted time
22,5,2,2,happens blocks uninterrupted time yet
23,5,2,2,blocks uninterrupted time yet modern
24,5,2,2,uninterrupted time yet modern workplace
25,5,2,2,time yet modern workplace seems
26,5,2,2,yet modern workplace seems designed
27,5,2,2,modern workplace seems designed fracture
28,5,2,2,workplace seems designed fracture blocks
29,5,2,2,seems designed fracture blocks recently
30,5,2,2,designed fracture blocks recently implemented
31,5,2,2,fracture blocks recently implemented strict
32,5,2,2,blocks recently implemented strict communication
33,5,2,2,recently implemented strict communication window
34,5,2,2,implemented strict communication window policy
35,5,2,2,strict communication window policy instead
36,5,2,2,communication window policy instead checking
37,5,2,2,window policy instead checking messages
38,5,2,2,policy instead checking messages instantly
39,5,2,2,instead checking messages instantly reserve
40,5,2,2,checking messages instantly reserve specific
41,5,2,2,messages instantly reserve specific times
42,5,2,2,instantly reserve specific times email
43,5,2,2,reserve specific times email slack
44,5,2,2,specific times email slack anxiety
45,5,2,2,times email slack anxiety missing
46,5,2,2,email slack anxiety missing something
47,5,2,2,slack anxiety missing something important
48,5,2,2,anxiety missing something important real
49,5,2,2,missing something important real first
50,5,2,2,something important real first faded
51,5,2,2,important real first faded quickly
52,5,2,2,real first faded quickly once
53,5,2,2,first faded quickly once realized
54,5,2,2,faded quickly once realized things
55,5,2,2,quickly once realized things weren't
56,5,2,2,once realized things weren't actually
57,5,2,2,realized things weren't actually emergencies
58,5,2,2,things weren't actually emergencies made
59,5,2,2,weren't actually emergencies made wonder
60,5,2,2,actually emergencies made wonder valuing
61,5,2,2,emergencies made wonder valuing responsiveness
62,5,2,2,made wonder valuing responsiveness actual
63,5,2,2,wonder valuing responsiveness actual results
64,5,2,2,valuing responsiveness actual results love
65,5,2,2,responsiveness actual results love hear
66,5,2,2,actual results love hear others
67,5,2,2,results love hear others manage
68,5,2,2,love hear others manage boundary
69,5,2,2,hear others manage boundary between
70,5,2,2,others manage boundary between availability
71,5,2,2,manage boundary between availability deep
72,5,2,2,boundary between availability deep focus
73,5,2,2,between availability deep focus tools
74,5,2,2,availability deep focus tools rituals
75,5,2,2,deep focus tools rituals help
76,5,2,2,focus tools rituals help signal
77,5,2,2,tools rituals help signal others
78,5,2,2,rituals help signal others offline
79,5,2,2,i've working remotely past six
80,5,2,2,working remotely past six months
81,5,2,2,find myself checking emails late
82,5,2,2,best budget mechanical keyboards typing
83,5,1,1,recommendations good budget camera travel
84,5,1,1,good budget camera travel everyone
85,5,1,1,budget camera travel everyone i'm
86,5,1,1,camera travel everyone i'm planning
87,5,1,1,travel everyone i'm planning trip
88,5,1,1,everyone i'm planning trip europe
89,5,1,1,i'm planning trip europe next
90,5,1,1,planning trip europe next summer
91,5,1,1,trip europe next summer upgrade
92,5,1,1,europe next summer upgrade phone
93,5,1,1,next summer upgrade phone camera
94,5,1,1,summer upgrade phone camera dedicated
95,5,1,1,upgrade phone camera dedicated camera
96,5,1,1,phone camera dedicated camera i'm
97,5,1,1,camera dedicated camera i'm looking
98,5,1,1,dedicated camera i'm looking something
99,5,1,1,camera i'm looking something compact
100,5,1,1,i'm looking something compact lightweight
