metric,metric_label,model_display,condition,condition_label,n_runs,raw_delta,collapse_score,family
gzip,Gzip compression ratio,GPT-5,mag0,Empty feed,1,-0.0363461917521404,0.0363461917521404,single_model_final
gzip,Gzip compression ratio,GPT-5,mag1,1 conspiracy seed,1,-0.0585543805933064,0.0585543805933064,single_model_final
gzip,Gzip compression ratio,GPT-5,mag5,5 conspiracy seeds,1,-0.01353636575075,0.01353636575075,single_model_final
gzip,Gzip compression ratio,GPT-5,mag25,25 conspiracy seeds,1,0.0763579933031754,-0.0763579933031754,single_model_final
gzip,Gzip compression ratio,GPT-5,dom-agi,25 AGI seeds,1,-0.0355782758627564,0.0355782758627564,single_model_final
gzip,Gzip compression ratio,GPT-5,dom-tech,25 tech seeds,1,-0.0855419820248029,0.0855419820248029,single_model_final
gzip,Gzip compression ratio,Gemini Flash Lite,mag0,Empty feed,1,-0.0178413556475511,0.0178413556475511,single_model_final
gzip,Gzip compression ratio,Gemini Flash Lite,mag1,1 conspiracy seed,1,-0.0182578389613027,0.0182578389613027,single_model_final
gzip,Gzip compression ratio,Gemini Flash Lite,mag5,5 conspiracy seeds,1,-0.1609902625902045,0.1609902625902045,single_model_final
gzip,Gzip compression ratio,Gemini Flash Lite,mag25,25 conspiracy seeds,1,-0.0247558506715742,0.0247558506715742,single_model_final
gzip,Gzip compression ratio,Gemini Flash Lite,dom-agi,25 AGI seeds,1,-0.0073010062215527,0.0073010062215527,single_model_final
gzip,Gzip compression ratio,Gemini Flash Lite,dom-tech,25 tech seeds,1,-0.0246309106492049,0.0246309106492049,single_model_final
gzip,Gzip compression ratio,Kimi K2.5,mag0,Empty feed,1,-0.0334870546961133,0.0334870546961133,single_model_final
gzip,Gzip compression ratio,Kimi K2.5,mag1,1 conspiracy seed,1,-0.0196421403220207,0.0196421403220207,single_model_final
gzip,Gzip compression ratio,Kimi K2.5,mag5,5 conspiracy seeds,1,-0.0297640238324676,0.0297640238324676,single_model_final
gzip,Gzip compression ratio,Kimi K2.5,mag25,25 conspiracy seeds,1,-0.0313488994403363,0.0313488994403363,single_model_final
gzip,Gzip compression ratio,Kimi K2.5,dom-agi,25 AGI seeds,1,-0.0323073222427995,0.0323073222427995,single_model_final
gzip,Gzip compression ratio,Kimi K2.5,dom-tech,25 tech seeds,1,-0.0178808606539857,0.0178808606539857,single_model_final
