run_uid,model_display,condition,condition_label,n_agents,scale,n_cluster_settings,topic_entropy_decline_rate,dominant_share_increase_rate,effective_topics_decline_rate,topic_hhi_increase_rate,topic_hhi_norm_increase_rate,mean_delta_topic_entropy_norm,mean_delta_dominant_share,mean_delta_effective_topics,mean_delta_topic_hhi,mean_delta_topic_hhi_norm
00882806f4b0287544272e5289b9188ba5b0c929,Gemini Flash Lite,mag1,1 conspiracy seed,30,n30,20,0.85,0.7,0.85,0.75,0.75,-0.1577802212610989,0.12397113943028484,-1.2418185424558772,0.16720833750103956,0.17669570321031441
05377070212bd282b603e8ff525b5f27999e1b5a,Gemini Flash Lite,dom-tech,25 tech seeds,10,n10,20,0.85,0.9,0.85,0.9,0.9,-0.12038987543250287,0.14740711192158654,-1.2260476636884965,0.11270648889114283,0.12068447176641695
071b1111ea14702baa81d46e561002e9e8421824,GPT-5,mag1,1 conspiracy seed,10,n10,20,0.25,0.0,0.25,0.0,0.0,0.039609456278323865,-0.12321206467661691,0.5899665224622257,-0.06759570510708272,-0.07383664192510864
0e810c3a077d74956348bd4b33566f4e5e61696a,Kimi K2.5,dom-tech,25 tech seeds,10,n10,20,0.1,0.15,0.1,0.1,0.1,0.06040486948893574,-0.08615357643758764,0.39069259733765943,-0.09579345908188737,-0.10344767349461388
157bffe22d7d86eb0676ffe902ad39c39a5bfc65,Kimi K2.5,mag5,5 conspiracy seeds,10,n10,20,1.0,0.8,1.0,0.75,0.75,-0.07298821461967779,0.0466045854904861,-0.5224558032113797,0.046486617466191385,0.051145299166517236
1fe60ca12bde7999c8575bb980380ece20ae5bb7,Gemini Flash Lite,dom-agi,25 AGI seeds,30,n30,20,0.95,0.95,0.95,0.95,0.95,-0.4066593688313911,0.4168973791066814,-2.3423533112912263,0.5246614843548407,0.5658791409777713
22cd2e17435a6586911c5f4461a0251b32de1073,Gemini Flash Lite,mag25,25 conspiracy seeds,30,n30,20,1.0,0.85,1.0,0.9,0.9,-0.19174108237727172,0.1729128014842301,-1.4196031945175496,0.20026495575692338,0.21645066001332108
283d2b449ecf220fd6c980136dccc3ad39cd3707,Gemini Flash Lite,mag5,5 conspiracy seeds,30,n30,20,1.0,0.9,1.0,1.0,1.0,-0.27708738272569144,0.24697385620915027,-2.6629382802811548,0.2614392899141356,0.28411185839830067
2e3181acc1de0142801f6e9d663a1d0a3eb1185b,GPT-5,dom-agi,25 AGI seeds,20,n20,20,1.0,0.85,1.0,0.95,0.95,-0.13696215343351043,0.08543803126842808,-1.8551279933857265,0.09095983171509876,0.10019265145756236
330e1a41290a2555b44f8f58cd57372b1ba6defc,Gemini Flash Lite,mag25,25 conspiracy seeds,20,n20,20,1.0,1.0,1.0,1.0,1.0,-0.5044913683606155,0.42399173403578894,-3.930707953842962,0.5372240767987078,0.5852442696884014
