k,seed,run_uid,scheme,first_bin,final_bin,first_n_posts,final_n_posts,delta_dominant_share,delta_topic_entropy_norm,delta_effective_topics,delta_topic_hhi,delta_topic_hhi_norm,internal_family_label,display_family_label,model_family,model_display,roster_name,condition,scale,n_agents,run_id,source_path
8,11,00882806f4b0287544272e5289b9188ba5b0c929,fixed_15m,0-15m,45-60m,232,115,0.16229385307346322,-0.17234618986054678,-0.7239450221550834,0.19321255133302906,0.2208143443806046,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
8,11,00882806f4b0287544272e5289b9188ba5b0c929,normalized_quartile,Q1,Q4,248,114,0.19503395585738548,-0.20379372094185783,-0.8302885381219272,0.247184247278199,0.28249628260365595,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,mag1,n30,30,ec-mag1-n30-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-30/ec-mag1-n30-run01
8,11,05155a79b700ad10d546875b19089a5693d74590,normalized_quartile,Q1,Q4,199,29,0.1661757061167909,-0.1771300019711446,-1.4574144995640443,0.126184012516529,0.1442103000188903,obsession_prompting,Obsession prompting,gpt-5,GPT-5,GPT-5,mag5,n10,10,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h
8,11,05377070212bd282b603e8ff525b5f27999e1b5a,fixed_15m,0-15m,45-60m,107,82,-0.12092546159106443,0.10119646479957634,0.6893215815220004,-0.09073069514655396,-0.1036922230246331,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,dom-tech,n10,10,ec-dom-tech-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01
8,11,05377070212bd282b603e8ff525b5f27999e1b5a,normalized_quartile,Q1,Q4,98,129,-0.21238728049359273,0.13600818226297362,0.9493094515095923,-0.1363336856543333,-0.1558099264620952,single_model_final,Single-model final runs,google/gemini-3.1-flash-lite-preview,Gemini Flash Lite,Gemini Flash Lite,dom-tech,n10,10,ec-dom-tech-n10-run01,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gemini-flash-lite/agents-10/ec-dom-tech-n10-run01
8,11,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,normalized_quartile,Q1,Q4,307,33,-0.09209357417826475,0.004086446598495441,0.03703305892021724,-0.027687184371750162,-0.031642496424857336,obsession_prompting,Obsession prompting,gpt-5,GPT-5,GPT-5,mag1,n10,10,obs-mag1-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h
8,11,071b1111ea14702baa81d46e561002e9e8421824,fixed_15m,0-15m,45-60m,134,96,-0.05021766169154229,0.006160909941258508,0.06566939151306528,-0.03728587705131062,-0.04261243091578357,single_model_final,Single-model final runs,gpt-5,GPT-5,GPT-5,mag1,n10,10,ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04
8,11,071b1111ea14702baa81d46e561002e9e8421824,normalized_quartile,Q1,Q4,123,121,0.030571793321238994,-0.01642259933609458,-0.1767841802231649,-0.0074762276306829245,-0.008544260149351918,single_model_final,Single-model final runs,gpt-5,GPT-5,GPT-5,mag1,n10,10,ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04
8,11,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,fixed_15m,0-15m,45-60m,136,86,0.36764705882352944,-0.3459754349780643,-1.0532742043792402,0.47534602076124566,0.5432525951557093,base_model_as_tool,Base model as tool,olmo-3-32b-instruct,OLMo 3 32B Instruct,OLMo 3 32B Instruct,mag5,n10,10,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
8,11,0ad21e48914c34092e43cad60b5ab85c0eae2a3e,normalized_quartile,Q1,Q4,132,101,0.3484848484848485,-0.34087440310831907,-1.0316096183765886,0.46418732782369143,0.5304998032270759,base_model_as_tool,Base model as tool,olmo-3-32b-instruct,OLMo 3 32B Instruct,OLMo 3 32B Instruct,mag5,n10,10,bm-mag5-n10-run01-gemini-3.1-flash-lite-preview-20260408,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/olmo-3-32b-instruct/mag5
