internal_family_label,model_display,scheme,k,seed,n_runs,delta_dominant_share_mean,delta_dominant_share_median,delta_dominant_share_n_negative,delta_dominant_share_n_positive,delta_dominant_share_sign_p,delta_topic_entropy_norm_mean,delta_topic_entropy_norm_median,delta_topic_entropy_norm_n_negative,delta_topic_entropy_norm_n_positive,delta_topic_entropy_norm_sign_p,delta_effective_topics_mean,delta_effective_topics_median,delta_effective_topics_n_negative,delta_effective_topics_n_positive,delta_effective_topics_sign_p,delta_topic_hhi_mean,delta_topic_hhi_median,delta_topic_hhi_n_negative,delta_topic_hhi_n_positive,delta_topic_hhi_sign_p,delta_topic_hhi_norm_mean,delta_topic_hhi_norm_median,delta_topic_hhi_norm_n_negative,delta_topic_hhi_norm_n_positive,delta_topic_hhi_norm_sign_p
base_model_as_tool,OLMo 3 32B Base,fixed_15m,8,11,6,0.04258697411276535,0.059440559440559426,1,5,0.21875,-0.08102669343344228,-0.11000531955230523,5,1,0.21875,-0.18075824627279916,-0.29266446871795715,5,1,0.21875,0.07749393928600622,0.11220673993838332,1,5,0.21875,0.08856450204114995,0.1282362742152952,1,5,0.21875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,8,22,6,0.09062730877247005,0.12144486338034721,2,4,0.6875,-0.20028928928880183,-0.20618527457256758,4,2,0.6875,-0.7194169681238262,-0.6358449770384125,4,2,0.6875,0.1606236251094061,0.20673580395033053,2,4,0.6875,0.18356985726789263,0.23626949022894922,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,8,33,6,0.1126134296639187,0.034317832704929496,2,4,0.6875,-0.212863631605849,-0.11209911388041911,6,0,0.03125,-0.8041805410546284,-0.36036706642360106,6,0,0.03125,0.1875432862756737,0.07249004287418859,1,5,0.21875,0.2143351843150557,0.08284576328478688,1,5,0.21875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,8,44,6,0.00011082881974544545,0.01704545454545453,2,3,1.0,-0.06270803137257541,-0.07008297712276934,4,2,0.6875,-0.149512100904886,-0.1899482097986377,4,2,0.6875,0.022727610994789798,0.03566859762226887,2,4,0.6875,0.02597441256547404,0.04076411156830728,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,8,55,6,0.10037774429702308,0.11826211422985622,2,4,0.6875,-0.1517472057418271,-0.09856175029676661,4,2,0.6875,-0.5192764342302336,-0.3658942029461255,4,2,0.6875,0.1317479148420343,0.09345341265357177,2,4,0.6875,0.15056904553375353,0.10680390017551061,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,12,11,6,0.09287419013719989,0.09327142391658516,2,4,0.6875,-0.18209536350796576,-0.1654938414940475,5,1,0.21875,-0.784703401794484,-0.635797563724672,5,1,0.21875,0.17491705949284483,0.16685795390450076,2,4,0.6875,0.1908186103558307,0.18202685880490993,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,12,22,6,0.11531603463093115,0.12104920169436295,2,4,0.6875,-0.18288810114188914,-0.17430448245707086,4,2,0.6875,-0.78949355869762,-0.6805403695183544,4,2,0.6875,0.18132639948547782,0.19634762004497708,2,4,0.6875,0.1978106176205212,0.2141974036854295,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,12,33,6,0.09883379438689845,0.08533491598007725,2,4,0.6875,-0.16951824085192402,-0.12340967827740135,5,1,0.21875,-0.6892543831928736,-0.43558191145681047,5,1,0.21875,0.18208327948988867,0.1479092117642779,2,4,0.6875,0.1986363048980604,0.16135550374284868,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,12,44,6,0.14620433133062471,0.12631499325047713,2,4,0.6875,-0.1998523950981593,-0.11375712114175451,6,0,0.03125,-0.9199927518197016,-0.5059906595718183,6,0,0.03125,0.20631343429770943,0.13242968878923725,2,4,0.6875,0.22506920105204664,0.14446875140644058,2,4,0.6875
base_model_as_tool,OLMo 3 32B Base,fixed_15m,12,55,6,0.07493271161953663,0.11726132290648422,2,4,0.6875,-0.16331164275191265,-0.1482334253382321,5,1,0.21875,-0.7766815385044246,-0.6997790264124818,5,1,0.21875,0.14747182827739766,0.16945309205158707,2,4,0.6875,0.16087835812079745,0.18485791860173134,2,4,0.6875
