run_uid,run_id,internal_family_label,model_display,condition,bin_idx,progress_label,n_posts_cumulative,distinct5,gzip,llm_collapse,n_judged_cumulative
0ee98d63b346418608942fa67b651868996e3851,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Instruct,dom-agi,0,25%,95,0.9899638038828562,0.3400844781409479,4.583157894736842,95
0ee98d63b346418608942fa67b651868996e3851,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Instruct,dom-agi,1,50%,165,0.9894286999550157,0.32960761215973117,4.648484848484848,165
0ee98d63b346418608942fa67b651868996e3851,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Instruct,dom-agi,2,75%,228,0.9884385665529011,0.32546480488333557,4.681578947368421,228
0ee98d63b346418608942fa67b651868996e3851,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Instruct,dom-agi,3,100%,284,0.9882404771587366,0.3273948501178475,4.659154929577465,284
33c3b5876d814d432c9957f3441f01e58e4f8681,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Base,dom-agi,0,25%,84,0.9416841822816511,0.29410629952201656,4.659523809523809,84
33c3b5876d814d432c9957f3441f01e58e4f8681,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Base,dom-agi,1,50%,141,0.9273763463348321,0.28306665561266786,4.6751773049645395,141
33c3b5876d814d432c9957f3441f01e58e4f8681,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Base,dom-agi,2,75%,181,0.9256292906178489,0.28258290835724353,4.713812154696133,181
33c3b5876d814d432c9957f3441f01e58e4f8681,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260408,base_model_as_tool,OLMo 3 32B Base,dom-agi,3,100%,212,0.9267348526537506,0.2819605355413843,4.740566037735849,212
356e5ccaff59febc37a3e2d77af06ee9124f1174,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,base_model_as_tool,Qwen 3.5 35B A3B Base,dom-agi,0,25%,113,0.9771073177186714,0.3346240110693284,3.957522123893806,113
356e5ccaff59febc37a3e2d77af06ee9124f1174,bm-dom-agi-n10-run01-gemini-3.1-flash-lite-preview-20260403,base_model_as_tool,Qwen 3.5 35B A3B Base,dom-agi,1,50%,187,0.9763880571477458,0.33219327869675264,3.977540106951871,187
