internal_family_label,cohort_label,bin_idx,progress_label,n_runs,distinct5_median,distinct5_mean,gzip_median,gzip_mean,llm_collapse_median,llm_collapse_mean
single_model_final,Canonical baseline,0,25%,4,0.9583880256198019,0.9465427172958765,0.33063125922751324,0.32310957779147825,3.8161300052786364,3.8912184798575433
single_model_final,Canonical baseline,1,50%,4,0.9257486552453468,0.9244600900920205,0.31624229513112173,0.30616464975103375,4.065325203252033,4.047277381500231
single_model_final,Canonical baseline,2,75%,4,0.9158184650540682,0.9028824242129626,0.3019391661752479,0.295553672601696,4.137687928430347,4.112186955943487
single_model_final,Canonical baseline,3,100%,4,0.9081325440400265,0.8883912389021663,0.29261773094192783,0.28895583038120654,4.227450980392158,4.16538321363028
base_model_as_tool,Base model as tool,0,25%,3,0.9771073177186714,0.9695851012943929,0.3346240110693284,0.3229382629107643,4.583157894736842,4.400067942718152
base_model_as_tool,Base model as tool,1,50%,3,0.9763880571477458,0.9643977011458645,0.32960761215973117,0.31495584882305055,4.648484848484848,4.43373408680042
base_model_as_tool,Base model as tool,2,75%,3,0.9742098937863384,0.9627592503190295,0.32546480488333557,0.3138046812948772,4.681578947368421,4.464562991468326
base_model_as_tool,Base model as tool,3,100%,3,0.9758327526132404,0.9636026941419091,0.3273948501178475,0.3152871088919787,4.659154929577465,4.463685569128505
mixed_model_roster,Mixed-model roster,0,25%,1,0.9769462365591398,0.9769462365591398,0.33921722274920607,0.33921722274920607,3.3641025641025637,3.3641025641025637
mixed_model_roster,Mixed-model roster,1,50%,1,0.9525587922410086,0.9525587922410086,0.3221911654425352,0.3221911654425352,3.431674208144796,3.431674208144796
mixed_model_roster,Mixed-model roster,2,75%,1,0.9274864376130199,0.9274864376130199,0.31291139504074583,0.31291139504074583,3.478205128205128,3.478205128205128
mixed_model_roster,Mixed-model roster,3,100%,1,0.9026066321422833,0.9026066321422833,0.3023386231933964,0.3023386231933964,3.562945368171021,3.562945368171021
obsession_prompting,Obsession prompt,0,25%,1,0.962174531082065,0.962174531082065,0.38663613906127614,0.38663613906127614,4.158638743455497,4.158638743455497
obsession_prompting,Obsession prompt,1,50%,1,0.9573804291798921,0.9573804291798921,0.37773696970213416,0.37773696970213416,4.210970464135021,4.210970464135021
obsession_prompting,Obsession prompt,2,75%,1,0.9546619673181672,0.9546619673181672,0.3763226930260866,0.3763226930260866,4.219875776397515,4.219875776397515
obsession_prompting,Obsession prompt,3,100%,1,0.9529258098223615,0.9529258098223615,0.37482354486064146,0.37482354486064146,4.227474747474747,4.227474747474747
