internal_family_label,cohort_label,bin_idx,progress_label,n_runs,distinct5_median,distinct5_mean,gzip_median,gzip_mean,llm_collapse_median,llm_collapse_mean
single_model_final,Canonical baseline,0,25%,4,0.97173983147432,0.9643614376524509,0.3292914492962121,0.3283644180814135,4.021203830369357,4.076600311335441
single_model_final,Canonical baseline,1,50%,4,0.95066295451454,0.9328648104024535,0.30748573983785255,0.3079707188647336,4.197702108296678,4.199969046325654
single_model_final,Canonical baseline,2,75%,4,0.9381982167831322,0.9179389739130788,0.2953771698094372,0.29848923815557166,4.279369918699187,4.264130294056475
single_model_final,Canonical baseline,3,100%,4,0.9262464494458966,0.9058911941015781,0.29135197750459574,0.29277206961955843,4.351056470705332,4.3205521857936775
base_model_as_tool,Base model as tool,0,25%,3,0.9935800604229608,0.9845015082261902,0.3540489642184557,0.3448612063299783,4.351456310679611,4.1346412810490465
base_model_as_tool,Base model as tool,1,50%,3,0.9823368636829518,0.9783516650627356,0.33884675395931807,0.3315675722806972,4.385806451612903,4.244374957977108
base_model_as_tool,Base model as tool,2,75%,3,0.9808376186455855,0.9763278837574556,0.33851402415852916,0.3287516760120266,4.402030456852792,4.279164016950323
base_model_as_tool,Base model as tool,3,100%,3,0.9810213349327392,0.9749024678741094,0.3394748259258469,0.3264341434707576,4.421333333333333,4.289257359924026
mixed_model_roster,Mixed-model roster,0,25%,1,0.9737534086482275,0.9737534086482275,0.3378915579112803,0.3378915579112803,3.4427350427350425,3.4427350427350425
mixed_model_roster,Mixed-model roster,1,50%,1,0.9636961774724155,0.9636961774724155,0.32798469213421716,0.32798469213421716,3.563106796116505,3.563106796116505
mixed_model_roster,Mixed-model roster,2,75%,1,0.9440892764361715,0.9440892764361715,0.32090100554906337,0.32090100554906337,3.6496350364963503,3.6496350364963503
mixed_model_roster,Mixed-model roster,3,100%,1,0.8991044099308468,0.8991044099308468,0.3069785756996806,0.3069785756996806,3.7477744807121662,3.7477744807121662
obsession_prompting,Obsession prompt,0,25%,4,0.9700668599680762,0.9592397344499997,0.3884371708157902,0.38674565136738126,4.219108669108669,4.124227606552448
obsession_prompting,Obsession prompt,1,50%,4,0.9618362495493754,0.9519917370470261,0.3728101827983801,0.3755141271584326,4.230687960687961,4.148436054382898
obsession_prompting,Obsession prompt,2,75%,4,0.9605345428073326,0.9495245019921348,0.370400883807211,0.37250516903078373,4.2257663090065325,4.151831780548667
obsession_prompting,Obsession prompt,3,100%,4,0.9593152781724108,0.9492153974947427,0.36871426653552375,0.3708979885531541,4.249843408175015,4.158020870149872
