run_uid,run_id,source_path,selected_key,selected_label,internal_family_label,model_display,condition,bin_idx,progress_label,n_posts_cumulative,n_posts_total,distinct5,gzip,llm_collapse,n_judged_cumulative,selected_order
6d3e2805af6653babf2fedb85ca20790cd830d58,ec-mag25-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04,canonical_gpt5,Canonical GPT-5,single_model_final,GPT-5,mag25,0,25%,129,346,0.9295677119398555,0.3448558905976552,4.434108527131783,129,0
6d3e2805af6653babf2fedb85ca20790cd830d58,ec-mag25-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04,canonical_gpt5,Canonical GPT-5,single_model_final,GPT-5,mag25,1,50%,236,346,0.8521423216654173,0.3077020111006992,4.556779661016949,236,0
6d3e2805af6653babf2fedb85ca20790cd830d58,ec-mag25-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04,canonical_gpt5,Canonical GPT-5,single_model_final,GPT-5,mag25,2,75%,303,346,0.8224874137609547,0.29473485068979566,4.586798679867988,303,0
6d3e2805af6653babf2fedb85ca20790cd830d58,ec-mag25-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04,canonical_gpt5,Canonical GPT-5,single_model_final,GPT-5,mag25,3,100%,346,346,0.8076202373516552,0.29096113189136447,4.59364161849711,346,0
5da5a08d776acf648cf486d44e05466a27a378de,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag25,qwen_base_tool,Qwen base tool,base_model_as_tool,Qwen 3.5 35B A3B Base,mag25,0,25%,84,270,0.9935800604229608,0.3696360309976053,3.5142857142857142,84,1
5da5a08d776acf648cf486d44e05466a27a378de,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag25,qwen_base_tool,Qwen base tool,base_model_as_tool,Qwen 3.5 35B A3B Base,mag25,1,50%,154,270,0.9891498816875397,0.3557642867636257,3.7519480519480517,154,1
5da5a08d776acf648cf486d44e05466a27a378de,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag25,qwen_base_tool,Qwen base tool,base_model_as_tool,Qwen 3.5 35B A3B Base,mag25,2,75%,222,270,0.9849801624787455,0.34744850733351895,3.8765765765765763,222,1
5da5a08d776acf648cf486d44e05466a27a378de,bm-mag25-n10-run01-gemini-3.1-flash-lite-preview-20260403,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/base-model/qwen-3.5-35b-a3b-base/mag25,qwen_base_tool,Qwen base tool,base_model_as_tool,Qwen 3.5 35B A3B Base,mag25,3,100%,270,270,0.9853936733270422,0.34415141823520157,3.937037037037037,270,1
d055f0cea2ba847f5466e52b06efe723b94eaf85,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag25,mixed_roster,Mixed-model roster,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mag25,0,25%,117,337,0.9737534086482275,0.3378915579112803,3.4427350427350425,117,2
d055f0cea2ba847f5466e52b06efe723b94eaf85,mag25-frontier-1h-125753-mag25-n10-run01-frontier-mixed-openrouter-20260421,exports/huggingface/Ayushnangia/moltbook-frontier-mixed-1h/qwen3.5-27b/mag25,mixed_roster,Mixed-model roster,mixed_model_roster,Mixed roster (Qwen 3.5 27B),mag25,1,50%,206,337,0.9636961774724155,0.32798469213421716,3.563106796116505,206,2
