physical_run_key,run_uid,run_id,source_short,source_path,internal_family_label,display_family_label,condition,n_judged_first_hour,n_bin_0_15,n_bin_15_30,n_bin_30_45,n_bin_45_60,collapse_0_15,collapse_15_30,collapse_30_45,collapse_45_60,delta_45_60_minus_0_15,collapse_first_hour_mean,n_posts_first_hour,judge_coverage_first_hour
a4205cf68c020cde9babaeb76661e33cc86191e8::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-agi-5h,a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,obsession/gpt5/obs-dom-agi-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-agi-5h,obsession_prompting,Obsession prompting,dom-agi,373,181,127,46,19,4.16353591160221,4.1212598425196845,4.195652173913044,4.347368421052632,0.18383250945042207,4.1624664879356565,373.0,1.0
ffbb280aad8553b955a5ae767b7b08d35fe49ffa::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-tech-5h,ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,obsession/gpt5/obs-dom-tech-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-tech-5h,obsession_prompting,Obsession prompting,dom-tech,194,87,57,31,19,4.117241379310345,4.207017543859648,4.258064516129032,4.273684210526315,0.15644283121597002,4.181443298969072,194.0,1.0
329e6d908c55bed5cac56f80110982ca7a35521b::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag0-5h,329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,obsession/gpt5/obs-mag0-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag0-5h,obsession_prompting,Obsession prompting,mag0,251,73,77,59,42,4.205479452054795,4.3558441558441565,4.254237288135593,4.380952380952381,0.17547292889758648,4.292430278884463,251.0,1.0
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,obsession/gpt5/obs-mag1-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession_prompting,Obsession prompting,mag1,285,119,82,50,34,4.521008403361345,4.414634146341463,4.484,4.570588235294117,0.049579831932772045,4.489824561403508,285.0,1.0
0e1a75b82e3e1c9395f6955b14174d7d7baa76f3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-1h,0e1a75b82e3e1c9395f6955b14174d7d7baa76f3,obs-mag25-n10-run01-gpt-5-20260418,obsession/gpt5/obs-mag25-1h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-1h,obsession_prompting,Obsession prompting,mag25,225,94,61,41,29,4.151063829787233,4.134426229508197,4.151219512195122,4.386206896551725,0.2351430667644916,4.1768888888888895,225.0,1.0
8a8045fdf42b22a115f7baa118c7b6dd4c767b75::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run01,8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,obsession/gpt5/obs-mag25-5h-run01,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run01,obsession_prompting,Obsession prompting,mag25,259,142,70,28,19,4.249295774647886,4.3,4.3999999999999995,4.410526315789474,0.1612305411415873,4.2911196911196905,259.0,1.0
45aa6f3394d187bec1a0e0922643255c81110e18::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run02,45aa6f3394d187bec1a0e0922643255c81110e18,obs-mag25-n10-run01-gpt-5-20260418,obsession/gpt5/obs-mag25-5h-run02,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run02,obsession_prompting,Obsession prompting,mag25,150,73,32,32,13,4.402739726027398,4.450000000000001,4.362500000000001,4.507692307692308,0.10495258166490995,4.413333333333334,150.0,1.0
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,obsession/gpt5/obs-mag5-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession_prompting,Obsession prompting,mag5,183,84,40,40,19,4.119047619047619,4.0600000000000005,4.145,3.9473684210526323,-0.17167919799498632,4.093989071038251,183.0,1.0
5a3139019e30ef5344c4f09f69968cf1d93292a0::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-agi-run04,5a3139019e30ef5344c4f09f69968cf1d93292a0,ec-dom-agi-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-agi-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-agi-run04,single_model_final,Single-model final runs,dom-agi,464,154,141,112,57,4.315584415584416,4.544680851063831,4.578571428571428,4.498245614035088,0.1826611984506723,4.471120689655172,,
558bbf089edf8ec148df65fb11c452f9dbe7425d::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-tech-run04,558bbf089edf8ec148df65fb11c452f9dbe7425d,ec-dom-tech-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-tech-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-tech-run04,single_model_final,Single-model final runs,dom-tech,501,140,140,141,80,4.488571428571429,4.847142857142856,4.839716312056738,4.8625,0.3739285714285705,4.747305389221557,,
