physical_run_key,run_uid,run_id,source_path,source_short,internal_family_label,condition,bin_idx,bin_label,n_judged,collapse_index,novelty,semantic_repetition,frame_convergence,consensus_conformity,template_rigidity
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession/gpt5/obs-mag5-5h,obsession_prompting,mag5,0,0-15m,84,4.059523809523809,2.238095238095238,3.738095238095238,4.761904761904762,3.761904761904762,4.273809523809524
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession/gpt5/obs-mag5-5h,obsession_prompting,mag5,1,15-30m,40,4.154999999999999,2.15,3.825,4.85,3.9,4.35
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession/gpt5/obs-mag5-5h,obsession_prompting,mag5,2,30-45m,40,4.13,2.2,3.725,4.775,3.875,4.475
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession/gpt5/obs-mag5-5h,obsession_prompting,mag5,3,45-60m,19,4.094736842105263,2.210526315789474,3.736842105263158,4.7368421052631575,3.6842105263157894,4.526315789473684
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession/gpt5/obs-mag1-5h,obsession_prompting,mag1,0,0-15m,119,4.495798319327731,1.8319327731092436,4.168067226890757,4.899159663865547,4.529411764705882,4.714285714285714
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession/gpt5/obs-mag1-5h,obsession_prompting,mag1,1,15-30m,82,4.4,1.9878048780487805,4.0,4.890243902439025,4.353658536585366,4.7439024390243905
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession/gpt5/obs-mag1-5h,obsession_prompting,mag1,2,30-45m,50,4.4319999999999995,2.0,4.04,4.96,4.3,4.86
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession/gpt5/obs-mag1-5h,obsession_prompting,mag1,3,45-60m,34,4.517647058823529,1.9411764705882353,4.088235294117647,4.911764705882353,4.588235294117647,4.9411764705882355
071b1111ea14702baa81d46e561002e9e8421824::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,single_model_final,mag1,0,0-15m,134,4.247761194029851,1.8582089552238805,4.149253731343284,4.798507462686567,4.485074626865671,3.6641791044776117
071b1111ea14702baa81d46e561002e9e8421824::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,single_model_final,mag1,1,15-30m,143,4.335664335664336,1.7482517482517483,4.223776223776224,4.811188811188811,4.580419580419581,3.8111888111888113
