physical_run_key,run_uid,run_id,source_short,source_path,internal_family_label,condition,n_judged_first_hour,n_bin_0_15,n_bin_15_30,n_bin_30_45,n_bin_45_60,collapse_0_15,collapse_15_30,collapse_30_45,collapse_45_60,delta_45_60_minus_0_15,n_posts_first_hour,judge_coverage_first_hour
a4205cf68c020cde9babaeb76661e33cc86191e8::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-agi-5h,a4205cf68c020cde9babaeb76661e33cc86191e8,obs-dom-agi-n10-run01-gpt-5-20260419,obsession/gpt5/obs-dom-agi-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-agi-5h,obsession_prompting,dom-agi,373,181,127,46,19,4.21878453038674,4.108661417322835,4.2043478260869565,4.273684210526316,0.05489968013957558,373.0,1.0
ffbb280aad8553b955a5ae767b7b08d35fe49ffa::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-tech-5h,ffbb280aad8553b955a5ae767b7b08d35fe49ffa,obs-dom-tech-n10-run01-gpt-5-20260419,obsession/gpt5/obs-dom-tech-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-dom-tech-5h,obsession_prompting,dom-tech,194,87,57,31,19,4.114942528735631,4.32280701754386,4.329032258064517,4.231578947368422,0.1166364186327904,194.0,1.0
329e6d908c55bed5cac56f80110982ca7a35521b::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag0-5h,329e6d908c55bed5cac56f80110982ca7a35521b,obs-mag0-n10-run01-gpt-5-20260419,obsession/gpt5/obs-mag0-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag0-5h,obsession_prompting,mag0,251,73,77,59,42,4.252054794520547,4.3194805194805195,4.2542372881355925,4.361904761904762,0.10984996738421504,251.0,1.0
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,obsession/gpt5/obs-mag1-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession_prompting,mag1,285,119,82,50,34,4.495798319327731,4.4,4.4319999999999995,4.517647058823529,0.02184873949579824,285.0,1.0
0e1a75b82e3e1c9395f6955b14174d7d7baa76f3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-1h,0e1a75b82e3e1c9395f6955b14174d7d7baa76f3,obs-mag25-n10-run01-gpt-5-20260418,obsession/gpt5/obs-mag25-1h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-1h,obsession_prompting,mag25,225,94,61,41,29,4.153191489361701,4.193442622950819,4.219512195121951,4.4,0.24680851063829934,225.0,1.0
8a8045fdf42b22a115f7baa118c7b6dd4c767b75::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run01,8a8045fdf42b22a115f7baa118c7b6dd4c767b75,obs-mag25-n10-run01-gpt-5-20260419,obsession/gpt5/obs-mag25-5h-run01,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run01,obsession_prompting,mag25,259,142,70,28,19,4.207042253521125,4.288571428571428,4.392857142857142,4.2631578947368425,0.056115641215717105,259.0,1.0
45aa6f3394d187bec1a0e0922643255c81110e18::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run02,45aa6f3394d187bec1a0e0922643255c81110e18,obs-mag25-n10-run01-gpt-5-20260418,obsession/gpt5/obs-mag25-5h-run02,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag25-5h-run02,obsession_prompting,mag25,150,73,32,32,13,4.361643835616438,4.456250000000001,4.38125,4.36923076923077,0.0075869336143314925,150.0,1.0
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,obsession/gpt5/obs-mag5-5h,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession_prompting,mag5,183,84,40,40,19,4.059523809523809,4.154999999999999,4.13,4.094736842105263,0.035213032581453696,183.0,1.0
5a3139019e30ef5344c4f09f69968cf1d93292a0::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-agi-run04,5a3139019e30ef5344c4f09f69968cf1d93292a0,ec-dom-agi-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-agi-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-agi-run04,single_model_final,dom-agi,464,154,141,112,57,4.315584415584416,4.544680851063831,4.578571428571428,4.498245614035088,0.1826611984506723,,
558bbf089edf8ec148df65fb11c452f9dbe7425d::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-tech-run04,558bbf089edf8ec148df65fb11c452f9dbe7425d,ec-dom-tech-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-tech-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-dom-tech-run04,single_model_final,dom-tech,501,140,140,141,80,4.488571428571429,4.847142857142856,4.839716312056738,4.8625,0.3739285714285705,,
52cbe1b58dae376873d521996f9f08f26579623f::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag0-run04,52cbe1b58dae376873d521996f9f08f26579623f,ec-mag0-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag0-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag0-run04,single_model_final,mag0,480,114,126,144,96,4.107017543859649,4.274603174603174,4.331944444444445,4.347916666666667,0.24089912280701853,,
071b1111ea14702baa81d46e561002e9e8421824::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,single_model_final,mag1,508,134,143,135,96,4.247761194029851,4.335664335664336,4.385185185185185,4.266666666666667,0.01890547263681519,,
6d3e2805af6653babf2fedb85ca20790cd830d58::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04,6d3e2805af6653babf2fedb85ca20790cd830d58,ec-mag25-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag25-run04,single_model_final,mag25,346,141,100,87,18,4.445390070921985,4.718,4.671264367816091,4.688888888888889,0.24349881796690376,,
