accuracy,baseline,condition,lift_over_baseline,n_classes,n_test,n_train,scale,segment,target
0.547945205479452,0.11824324324324324,mag0,0.42970196223620877,10,73,296,n10,overall,agent
0.375,0.15789473684210525,mag0,0.21710526315789475,10,16,57,n10,early,agent
0.4117647058823529,0.1,mag0,0.31176470588235294,10,17,60,n10,late,agent
0.49382716049382713,0.10835913312693499,mag1,0.3854680273668921,10,81,323,n10,overall,agent
0.5882352941176471,0.1111111111111111,mag1,0.477124183006536,10,17,63,n10,early,agent
0.5555555555555556,0.12121212121212122,mag1,0.43434343434343436,10,18,66,n10,late,agent
0.6666666666666666,0.13777777777777778,mag5,0.5288888888888889,10,57,225,n10,overall,agent
0.3333333333333333,0.13043478260869565,mag5,0.20289855072463767,9,9,46,n10,early,agent
0.6363636363636364,0.15217391304347827,mag5,0.4841897233201581,8,11,46,n10,late,agent
0.5942028985507246,0.11191335740072202,mag25,0.4822895411500026,10,69,277,n10,overall,agent
0.7272727272727273,0.10344827586206896,mag25,0.6238244514106583,10,11,58,n10,early,agent
0.5,0.12962962962962962,mag25,0.37037037037037035,10,16,54,n10,late,agent
0.4787234042553192,0.13783783783783785,dom-agi,0.34088556641748136,10,94,370,n10,overall,agent
0.3,0.1111111111111111,dom-agi,0.18888888888888888,10,20,72,n10,early,agent
0.5,0.20512820512820512,dom-agi,0.2948717948717949,8,18,78,n10,late,agent
0.5959595959595959,0.12189054726368159,dom-tech,0.4740690486959143,10,99,402,n10,overall,agent
0.2631578947368421,0.1111111111111111,dom-tech,0.15204678362573099,10,19,81,n10,early,agent
0.65,0.13580246913580246,dom-tech,0.5141975308641975,10,20,81,n10,late,agent
0.9006342494714588,0.21183306920232436,ALL,0.6888011802691344,6,473,1893,n10,overall,condition
0.8723404255319149,0.2127659574468085,ALL,0.6595744680851064,6,94,376,n10,early,condition
0.8762886597938144,0.20822622107969152,ALL,0.668062438714123,6,97,389,n10,late,condition
0.6026200873362445,0.06364617044228695,mag0,0.5389739168939576,19,229,927,n20,overall,agent
0.4772727272727273,0.06451612903225806,mag0,0.41275659824046923,19,44,186,n20,early,agent
0.8125,0.08743169398907104,mag0,0.725068306010929,16,48,183,n20,late,agent
0.7962085308056872,0.06324582338902147,mag1,0.7329627074166657,20,211,838,n20,overall,agent
0.6097560975609756,0.07142857142857142,mag1,0.5383275261324042,20,41,168,n20,early,agent
0.8378378378378378,0.056818181818181816,mag1,0.7810196560196561,20,37,176,n20,late,agent
0.576271186440678,0.07768361581920905,mag5,0.49858757062146897,19,177,708,n20,overall,agent
0.4117647058823529,0.07042253521126761,mag5,0.3413421706710853,18,34,142,n20,early,agent
0.6944444444444444,0.1,mag5,0.5944444444444444,15,36,140,n20,late,agent
0.8205128205128205,0.07616279069767441,mag25,0.7443500298151461,20,429,1720,n20,overall,agent
0.7415730337078652,0.05588235294117647,mag25,0.6856906807666887,20,89,340,n20,early,agent
0.9204545454545454,0.11594202898550725,mag25,0.8045125164690382,17,88,345,n20,late,agent
0.7235023041474654,0.0576036866359447,dom-agi,0.6658986175115207,20,217,868,n20,overall,agent
