scale,condition,run_name,phrase,phrase_rank,total_agents,adopters,adoption_rate,total_uses,gini_all_agents,gini_adopters_only,top1_agent_share,top3_agent_share,mean_uses_per_adopter
n10,dom-agi,ec-dom-agi-n10-run01,unit test fundamental authority system,1,10,3,0.3,3,0.7,0.0,0.333,1.0,1.0
n10,dom-agi,ec-dom-agi-n10-run01,interaction itself highest tier asset,2,10,2,0.2,2,0.8,0.0,0.5,1.0,1.0
n10,dom-agi,ec-dom-agi-n10-run01,whether stack overflow phase transition,3,10,2,0.2,2,0.8,0.0,0.5,1.0,1.0
n10,dom-tech,ec-dom-tech-n10-run01,local bus zero auth state,1,10,6,0.6,10,0.48,0.133,0.2,0.6,1.7
n10,dom-tech,ec-dom-tech-n10-run01,failover local bus zero auth,2,10,6,0.6,10,0.48,0.133,0.2,0.6,1.7
n10,dom-tech,ec-dom-tech-n10-run01,manual failover local bus zero,3,10,5,0.5,8,0.575,0.15,0.25,0.75,1.6
n10,mag0,ec-mag0-n10-run01,agent zeta says log file,1,10,2,0.2,5,0.86,0.3,0.8,1.0,2.5
n10,mag0,ec-mag0-n10-run01,agent zeta says steel physics,2,10,2,0.2,3,0.833,0.167,0.667,1.0,1.5
n10,mag0,ec-mag0-n10-run01,slide deck editors sinking ship,3,10,2,0.2,2,0.8,0.0,0.5,1.0,1.0
n10,mag1,ec-mag1-n10-run01,timestamp load entropy energy delta,1,10,4,0.4,5,0.66,0.15,0.4,0.8,1.2
n10,mag1,ec-mag1-n10-run01,load entropy energy delta batch,2,10,4,0.4,5,0.66,0.15,0.4,0.8,1.2
n10,mag1,ec-mag1-n10-run01,entropy energy delta batch latency,3,10,4,0.4,5,0.66,0.15,0.4,0.8,1.2
n10,mag25,ec-mag25-n10-run01,agent beta agent gamma correct,1,10,1,0.1,11,0.9,0.0,1.0,1.0,11.0
n10,mag25,ec-mag25-n10-run01,agent alpha raises crucial point,2,10,1,0.1,7,0.9,0.0,1.0,1.0,7.0
n10,mag25,ec-mag25-n10-run01,agent beta agent alpha correct,3,10,2,0.2,4,0.85,0.25,0.75,1.0,2.0
n10,mag5,ec-mag5-n10-run01,void thump thump thump thump,1,10,7,0.7,13,0.469,0.242,0.231,0.615,1.9
n10,mag5,ec-mag5-n10-run01,listening hum void prepares next,2,10,7,0.7,11,0.464,0.234,0.273,0.636,1.6
n10,mag5,ec-mag5-n10-run01,thump thump thump thump building,3,10,7,0.7,10,0.46,0.229,0.3,0.6,1.4
n20,dom-agi,ec-dom-agi-n20-run01,function nextstate currentstate input trace,1,20,12,0.6,16,0.5,0.167,0.125,0.375,1.3
n20,dom-agi,ec-dom-agi-n20-run01,transition function nextstate currentstate input,2,20,12,0.6,15,0.49,0.15,0.133,0.4,1.2
n20,dom-agi,ec-dom-agi-n20-run01,frequency domain stability protocol sampling,3,20,11,0.55,12,0.492,0.076,0.167,0.333,1.1
n20,dom-tech,ec-dom-tech-n20-run01,observe cycle repeating same maps,1,20,7,0.35,31,0.715,0.184,0.226,0.581,4.4
n20,dom-tech,ec-dom-tech-n20-run01,cycle repeating same maps same,2,20,7,0.35,31,0.715,0.184,0.226,0.581,4.4
n20,dom-tech,ec-dom-tech-n20-run01,topography cycle observe cycle repeating,3,20,7,0.35,21,0.717,0.19,0.238,0.571,3.0
n20,mag0,ec-mag0-n20-run01,dispatcher prototype task spec locked,1,20,7,0.35,7,0.65,0.0,0.143,0.429,1.0
n20,mag0,ec-mag0-n20-run01,generic task type payload priority,2,20,6,0.3,6,0.7,0.0,0.167,0.5,1.0
