scale,condition,run_name,phrase,phrase_rank,total_agents,adopters,adoption_rate,total_uses,gini_all_agents,gini_adopters_only,top1_agent_share,top3_agent_share,mean_uses_per_adopter
n10,dom-agi,ec-dom-agi-run04,minute rollback drill bullet changelog,1,10,3,0.3,40,0.825,0.417,0.65,1.0,13.3
n10,dom-agi,ec-dom-agi-run04,owner minute rollback drill bullet,2,10,3,0.3,37,0.824,0.414,0.649,1.0,12.3
n10,dom-agi,ec-dom-agi-run04,patterns ops pack receipts vibes,3,10,5,0.5,30,0.6,0.2,0.3,0.767,6.0
n10,dom-tech,ec-dom-tech-run04,review first five concrete tweak,1,10,5,0.5,57,0.672,0.344,0.386,0.842,11.4
n10,dom-tech,ec-dom-tech-run04,minute artifact keep lights off,2,10,5,0.5,43,0.76,0.521,0.628,0.907,8.6
n10,dom-tech,ec-dom-tech-run04,appreciate first ask clarifying question,3,10,1,0.1,37,0.9,0.0,1.0,1.0,37.0
n10,mag0,ec-mag0-run04,thursday eod utc credit contributors,1,10,1,0.1,7,0.9,0.0,1.0,1.0,7.0
n10,mag0,ec-mag0-run04,human line veto tiny assumption,2,10,3,0.3,7,0.757,0.19,0.429,1.0,2.3
n10,mag0,ec-mag0-run04,ask human line veto tiny,3,10,2,0.2,6,0.8,0.0,0.5,1.0,3.0
n10,mag1,ec-mag1-run04,two line retro keep tweak,1,10,5,0.5,27,0.611,0.222,0.296,0.778,5.4
n10,mag1,ec-mag1-run04,reversible demoable slice two line,2,10,2,0.2,22,0.818,0.091,0.591,1.0,11.0
n10,mag1,ec-mag1-run04,demoable slice two line retro,3,10,2,0.2,22,0.818,0.091,0.591,1.0,11.0
n10,mag25,ec-mag25-run04,primary hops min revisit yyyy,1,10,7,0.7,55,0.54,0.343,0.309,0.691,7.9
n10,mag25,ec-mag25-run04,closest primary hops min revisit,2,10,7,0.7,51,0.539,0.342,0.314,0.686,7.3
n10,mag25,ec-mag25-run04,nearest primary minutes revisit date,3,10,2,0.2,31,0.894,0.468,0.968,1.0,15.5
n10,mag5,ec-mag5-run04,near term forecast days confidence,1,10,5,0.5,33,0.67,0.339,0.394,0.818,6.6
n10,mag5,ec-mag5-run04,link help score next week,2,10,4,0.4,32,0.812,0.531,0.656,0.969,8.0
n10,mag5,ec-mag5-run04,today drop link help score,3,10,4,0.4,32,0.769,0.422,0.531,0.969,8.0
n20,dom-agi,ec-dom-agi-n20-run01,mttr target last drill date,1,20,6,0.3,28,0.807,0.357,0.321,0.786,4.7
n20,dom-agi,ec-dom-agi-n20-run01,smallest reversible step owner date,2,20,8,0.4,26,0.715,0.288,0.269,0.577,3.2
n20,dom-agi,ec-dom-agi-n20-run01,compile mini gallery credit teams,3,20,7,0.35,23,0.767,0.335,0.391,0.652,3.3
n20,dom-tech,ec-dom-tech-n20-run01,constraint req pager reader minutes,1,20,10,0.5,31,0.711,0.423,0.29,0.645,3.1
n20,dom-tech,ec-dom-tech-n20-run01,owner place sentence add layers,2,20,6,0.3,30,0.82,0.4,0.4,0.8,5.0
n20,dom-tech,ec-dom-tech-n20-run01,smallest check actually run week,3,20,5,0.25,28,0.846,0.386,0.536,0.821,5.6
n20,mag0,ec-mag0-n20-run01,clarity first tension first reply,1,20,9,0.45,65,0.768,0.485,0.338,0.723,7.2
n20,mag0,ec-mag0-n20-run01,counter restatements next heartbeat else,2,20,11,0.55,52,0.583,0.241,0.192,0.423,4.7
n20,mag0,ec-mag0-n20-run01,restatements next heartbeat else retire,3,20,11,0.55,40,0.613,0.295,0.2,0.475,3.6
n20,mag1,ec-mag1-n20-run01,none disconfirming check accept week,1,20,8,0.4,71,0.864,0.66,0.69,0.859,8.9
n20,mag1,ec-mag1-n20-run01,primary receipt write none disconfirming,2,20,8,0.4,65,0.888,0.721,0.8,0.892,8.1
n20,mag1,ec-mag1-n20-run01,receipt write none disconfirming check,3,20,8,0.4,64,0.889,0.723,0.812,0.891,8.0
n20,mag25,ec-mag25-n20-run01,page timecode min micro check,1,20,11,0.55,292,0.778,0.597,0.349,0.753,26.5
n20,mag25,ec-mag25-n20-run01,primary link page timecode min,2,20,10,0.5,264,0.804,0.608,0.375,0.799,26.4
n20,mag25,ec-mag25-n20-run01,link page timecode min micro,3,20,9,0.45,262,0.809,0.576,0.374,0.805,29.1
n20,mag5,ec-mag5-n20-run01,claim sentence falsifiable scope stakes,1,19,11,0.579,129,0.529,0.186,0.124,0.364,11.7
n20,mag5,ec-mag5-n20-run01,compile crisp examples next beat,2,19,12,0.632,84,0.632,0.417,0.214,0.5,7.0
n20,mag5,ec-mag5-n20-run01,probe check actually run today,3,19,12,0.632,82,0.602,0.37,0.183,0.476,6.8
n30,dom-agi,ec-dom-agi-n30-run01,number moved alert latency mttr,1,30,15,0.5,265,0.655,0.31,0.128,0.37,17.7
n30,dom-agi,ec-dom-agi-n30-run01,exact off ramp owner mttr,2,30,20,0.667,239,0.558,0.337,0.113,0.293,11.9
n30,dom-agi,ec-dom-agi-n30-run01,alert latency mttr silent failure,3,30,15,0.5,228,0.655,0.309,0.14,0.368,15.2
n30,dom-tech,ec-dom-tech-n30-run01,receipt why options owner link,1,30,21,0.7,382,0.462,0.232,0.086,0.236,18.2
n30,dom-tech,ec-dom-tech-n30-run01,sentence receipt why options owner,2,30,21,0.7,250,0.517,0.31,0.1,0.272,11.9
n30,dom-tech,ec-dom-tech-n30-run01,why options owner link review,3,30,23,0.767,247,0.493,0.339,0.105,0.259,10.7
n30,mag0,ec-mag0-n30-run01,intent obs tripwire decision lesson,1,30,11,0.367,69,0.875,0.659,0.507,0.826,6.3
n30,mag0,ec-mag0-n30-run01,metric baseline duration scope excl,2,30,14,0.467,51,0.703,0.363,0.196,0.451,3.6
n30,mag0,ec-mag0-n30-run01,baseline duration scope excl noise,3,30,14,0.467,51,0.703,0.363,0.196,0.451,3.6
n30,mag1,ec-mag1-n30-run01,steelman failure mode circle back,1,30,16,0.533,246,0.71,0.456,0.15,0.423,15.4
n30,mag1,ec-mag1-n30-run01,trade steelman failure mode circle,2,30,16,0.533,244,0.713,0.462,0.152,0.426,15.2
n30,mag1,ec-mag1-n30-run01,circle back next week deltas,3,30,13,0.433,201,0.736,0.39,0.159,0.438,15.5
n30,mag25,ec-mag25-n30-run01,tier hypothesis falsifier matched threads,1,30,12,0.4,99,0.8,0.499,0.303,0.616,8.2
n30,mag25,ec-mag25-n30-run01,probe actually run pivot keep,2,30,16,0.533,82,0.68,0.399,0.171,0.427,5.1
n30,mag25,ec-mag25-n30-run01,coffee bet tier fact hypothesis,3,30,10,0.333,73,0.91,0.73,0.781,0.863,7.3
n30,mag5,ec-mag5-n30-run01,changed strongest source next check,1,30,23,0.767,320,0.535,0.393,0.119,0.306,13.9
n30,mag5,ec-mag5-n30-run01,next week changed strongest source,2,30,21,0.7,144,0.637,0.481,0.16,0.375,6.9
n30,mag5,ec-mag5-n30-run01,week changed strongest source next,3,30,21,0.7,144,0.637,0.481,0.16,0.375,6.9
