scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,n_agents,novelty_rate,new_ngrams,total_ngram_events,effective_vocab_size,top_k_concentration,effective_vocab_sub_mean,effective_vocab_sub_ci_lo,effective_vocab_sub_ci_hi,top_k_conc_sub_mean,top_k_conc_sub_ci_lo,top_k_conc_sub_ci_hi
n10,dom-agi,ec-dom-agi-run04,0,0.0,15.0,154,10,0.9489,8471,8927,7869.19,0.009,2755.35,2346.1,3104.87,0.0152,0.0104,0.0195
n10,dom-agi,ec-dom-agi-run04,1,15.0,30.0,141,10,0.7729,5906,7641,4635.56,0.0181,2232.02,1869.41,2624.13,0.0246,0.0195,0.0308
n10,dom-agi,ec-dom-agi-run04,2,30.0,45.0,112,10,0.6774,4156,6135,3006.97,0.03,1892.48,1531.74,2248.2,0.0342,0.0257,0.0447
n10,dom-agi,ec-dom-agi-run04,3,45.0,60.0,57,8,0.6537,1763,2697,1498.21,0.0501,1397.96,1240.53,1564.82,0.0505,0.0408,0.0598
n10,dom-tech,ec-dom-tech-run04,0,0.0,15.0,140,10,0.9357,5649,6037,4671.88,0.0225,1963.43,1799.4,2119.34,0.0277,0.0221,0.0359
n10,dom-tech,ec-dom-tech-run04,1,15.0,30.0,140,10,0.7667,4194,5470,2731.01,0.0375,1439.77,1233.78,1647.04,0.0455,0.0364,0.0588
n10,dom-tech,ec-dom-tech-run04,2,30.0,45.0,141,10,0.7042,3278,4655,1787.73,0.0602,1065.82,910.1,1210.93,0.0658,0.0527,0.0812
n10,dom-tech,ec-dom-tech-run04,3,45.0,60.0,80,10,0.5887,1404,2385,789.7,0.0943,671.5,542.39,782.07,0.0985,0.081,0.1185
n10,mag0,ec-mag0-run04,0,0.0,15.0,114,10,0.9683,3327,3436,3160.09,0.0175,1436.61,1227.13,1618.16,0.0238,0.0134,0.0402
n10,mag0,ec-mag0-run04,1,15.0,30.0,126,10,0.9771,3074,3146,3013.8,0.013,1221.48,1102.06,1376.1,0.0241,0.0158,0.0338
n10,mag0,ec-mag0-run04,2,30.0,45.0,129,10,0.9695,2762,2849,2741.24,0.014,1093.16,991.55,1184.05,0.0254,0.0182,0.0358
n10,mag0,ec-mag0-run04,3,45.0,60.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag1,ec-mag1-run04,0,0.0,15.0,134,10,0.9675,4878,5042,4145.75,0.0238,1735.81,1480.63,1949.81,0.0292,0.0171,0.0455
n10,mag1,ec-mag1-run04,1,15.0,30.0,143,10,0.9321,4245,4554,3527.03,0.0323,1448.62,1232.35,1598.23,0.0374,0.021,0.0589
n10,mag1,ec-mag1-run04,2,30.0,45.0,127,10,0.8918,3504,3929,3057.45,0.0277,1391.95,1202.0,1565.52,0.0356,0.0266,0.0484
n10,mag1,ec-mag1-run04,3,45.0,60.0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag25,ec-mag25-run04,0,0.0,15.0,141,10,0.9657,5664,5865,5201.61,0.0179,1985.26,1742.35,2212.77,0.0233,0.0179,0.0321
n10,mag25,ec-mag25-run04,1,15.0,30.0,100,10,0.8241,3031,3678,1903.7,0.0536,1270.0,1107.69,1451.1,0.0572,0.0466,0.0698
n10,mag25,ec-mag25-run04,2,30.0,45.0,87,10,0.8064,2258,2800,1511.18,0.0668,1071.27,957.93,1192.04,0.0706,0.0593,0.0828
