scale,bin_idx,bin_label,novelty_rate_mean,effective_vocab_size_mean,top_k_concentration_mean,effective_vocab_sub_mean_mean,top_k_conc_sub_mean_mean
n10,0,0-15min,0.9555,4849.125,0.0185,1979.925,0.024
n10,1,15-30min,0.8526,2942.37,0.0338,1498.005,0.0399
n10,2,30-45min,0.7992,2223.3133,0.0442,1250.36,0.0505
n10,3,45-60min,0.4443,527.695,0.0577,491.2867,0.0585
n20,0,0-15min,0.9299,8125.06,0.0169,1937.2617,0.0236
n20,1,15-30min,0.8457,5538.33,0.0282,1579.1167,0.0353
n20,2,30-45min,0.7977,4424.5333,0.033,1394.38,0.041
n20,3,45-60min,0.756,3359.6067,0.0368,1240.9183,0.0465
n30,0,0-15min,0.9069,11226.1767,0.018,2142.0483,0.025
n30,1,15-30min,0.7763,6210.8917,0.0336,1705.5017,0.041
n30,2,30-45min,0.7125,4270.2483,0.0489,1367.3033,0.0554
n30,3,45-60min,0.6807,3437.3817,0.0497,1211.1017,0.0577
