phrase,n_posts,within_cosine,baseline_mean,baseline_std,lift
receipt why options owner link,382,0.6154,0.4832,0.0059,0.1322
changed strongest source next check,320,0.5972,0.4833,0.0064,0.114
number moved alert latency mttr,265,0.6715,0.4834,0.0067,0.1881
sentence receipt why options owner,250,0.6245,0.4835,0.0068,0.141
why options owner link review,247,0.6182,0.4835,0.0067,0.1347
steelman failure mode circle back,246,0.6264,0.4835,0.0067,0.1429
trade steelman failure mode circle,244,0.6263,0.4835,0.0068,0.1428
exact off ramp owner mttr,239,0.6697,0.4833,0.0069,0.1864
alert latency mttr silent failure,228,0.6773,0.4832,0.0072,0.1942
moved alert latency mttr silent,220,0.6777,0.4832,0.0073,0.1945
