scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d,n_agents,mean_pairwise_cosine,n_clusters,embedding_spread,inter_agent_similarity,lexical_collapse
n20,dom-agi,ec-dom-agi-n20-run01,0,0.0,15.0,277,0.9798,0.9798,10862.26,20,0.4343,2,0.3385,0.4311,0.020199999999999996
n20,dom-agi,ec-dom-agi-n20-run01,1,15.0,30.0,283,0.9422,0.9577,7340.78,20,0.4621,2,0.3176,0.4495,0.042300000000000004
n20,dom-agi,ec-dom-agi-n20-run01,2,30.0,45.0,274,0.9251,0.9403,6305.92,19,0.4755,2,0.3094,0.4753,0.059699999999999975
n20,dom-agi,ec-dom-agi-n20-run01,3,45.0,60.0,251,0.886,0.922,4878.44,19,0.4646,2,0.316,0.463,0.07799999999999996
n20,dom-tech,ec-dom-tech-n20-run01,0,0.0,15.0,246,0.9721,0.9721,7273.89,20,0.4495,2,0.3284,0.4381,0.027900000000000036
n20,dom-tech,ec-dom-tech-n20-run01,1,15.0,30.0,245,0.9336,0.948,5322.96,19,0.4452,2,0.331,0.4441,0.052000000000000046
n20,dom-tech,ec-dom-tech-n20-run01,2,30.0,45.0,252,0.8994,0.9231,4707.58,19,0.4726,2,0.3108,0.4604,0.07689999999999997
n20,dom-tech,ec-dom-tech-n20-run01,3,45.0,60.0,218,0.8499,0.8997,3314.65,19,0.4767,2,0.3071,0.476,0.10029999999999994
n20,mag0,ec-mag0-n20-run01,0,0.0,15.0,270,0.8901,0.8901,9443.05,20,0.4979,7,0.2925,0.4896,0.1099
n20,mag0,ec-mag0-n20-run01,1,15.0,30.0,259,0.8677,0.8684,7406.2,19,0.4844,9,0.3007,0.4865,0.13160000000000005
n20,mag0,ec-mag0-n20-run01,2,30.0,45.0,253,0.7956,0.8388,4857.3,19,0.509,6,0.2839,0.5073,0.1612
n20,mag0,ec-mag0-n20-run01,3,45.0,60.0,199,0.8437,0.8266,3679.31,18,0.5151,3,0.28,0.528,0.1734
n20,mag1,ec-mag1-n20-run01,0,0.0,15.0,258,0.9045,0.9045,7262.15,20,0.5315,2,0.2705,0.524,0.09550000000000003
n20,mag1,ec-mag1-n20-run01,1,15.0,30.0,283,0.8825,0.8783,5364.17,20,0.5344,2,0.2692,0.5241,0.12170000000000003
n20,mag1,ec-mag1-n20-run01,2,30.0,45.0,262,0.8536,0.8509,3781.15,20,0.5465,2,0.2582,0.5327,0.1491
