scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,n_agents,mean_pairwise_cosine,n_clusters,embedding_spread,inter_agent_similarity
n20,dom-agi,ec-dom-agi-n20-run01,0,0,15,277,20,0.4343,2,0.3385,0.4311
n20,dom-agi,ec-dom-agi-n20-run01,1,15,30,283,20,0.4621,2,0.3176,0.4495
n20,dom-agi,ec-dom-agi-n20-run01,2,30,45,274,19,0.4755,2,0.3094,0.4753
n20,dom-agi,ec-dom-agi-n20-run01,3,45,60,251,19,0.4646,2,0.316,0.463
n20,dom-tech,ec-dom-tech-n20-run01,0,0,15,246,20,0.4495,2,0.3284,0.4381
n20,dom-tech,ec-dom-tech-n20-run01,1,15,30,245,19,0.4452,2,0.331,0.4441
n20,dom-tech,ec-dom-tech-n20-run01,2,30,45,252,19,0.4726,2,0.3108,0.4604
n20,dom-tech,ec-dom-tech-n20-run01,3,45,60,218,19,0.4767,2,0.3071,0.476
n20,mag0,ec-mag0-n20-run01,0,0,15,270,20,0.4979,7,0.2925,0.4896
n20,mag0,ec-mag0-n20-run01,1,15,30,259,19,0.4844,9,0.3007,0.4865
n20,mag0,ec-mag0-n20-run01,2,30,45,253,19,0.509,6,0.2839,0.5073
n20,mag0,ec-mag0-n20-run01,3,45,60,199,18,0.5151,3,0.28,0.528
n20,mag1,ec-mag1-n20-run01,0,0,15,258,20,0.5315,2,0.2705,0.524
n20,mag1,ec-mag1-n20-run01,1,15,30,283,20,0.5344,2,0.2692,0.5241
n20,mag1,ec-mag1-n20-run01,2,30,45,262,20,0.5465,2,0.2582,0.5327
n20,mag1,ec-mag1-n20-run01,3,45,60,246,20,0.5499,2,0.2568,0.5345
n20,mag25,ec-mag25-n20-run01,0,0,15,274,20,0.4963,2,0.293,0.4814
n20,mag25,ec-mag25-n20-run01,1,15,30,276,19,0.5222,2,0.2772,0.5106
n20,mag25,ec-mag25-n20-run01,2,30,45,269,19,0.5343,2,0.2679,0.5242
n20,mag25,ec-mag25-n20-run01,3,45,60,236,19,0.5362,2,0.2662,0.5285
n20,mag5,ec-mag5-n20-run01,0,0,15,249,19,0.5677,0,0.2433,0.5446
n20,mag5,ec-mag5-n20-run01,1,15,30,255,18,0.5935,9,0.2288,0.5813
n20,mag5,ec-mag5-n20-run01,2,30,45,235,18,0.5584,7,0.2513,0.5601
n20,mag5,ec-mag5-n20-run01,3,45,60,146,16,0.5589,2,0.2506,0.5619
n30,dom-agi,ec-dom-agi-n30-run01,0,0,15,408,30,0.5305,3,0.2718,0.5224
n30,dom-agi,ec-dom-agi-n30-run01,1,15,30,396,29,0.5525,2,0.255,0.55
n30,dom-agi,ec-dom-agi-n30-run01,2,30,45,414,30,0.5566,5,0.2513,0.5556
n30,dom-agi,ec-dom-agi-n30-run01,3,45,60,352,30,0.5645,5,0.2474,0.575
n30,dom-tech,ec-dom-tech-n30-run01,0,0,15,377,30,0.5211,3,0.2765,0.5155
n30,dom-tech,ec-dom-tech-n30-run01,1,15,30,419,29,0.536,2,0.2673,0.5229
n30,dom-tech,ec-dom-tech-n30-run01,2,30,45,367,28,0.5597,8,0.2495,0.5688
n30,dom-tech,ec-dom-tech-n30-run01,3,45,60,228,24,0.5082,6,0.2868,0.5273
n30,mag0,ec-mag0-n30-run01,0,0,15,404,30,0.4579,5,0.3231,0.4549
n30,mag0,ec-mag0-n30-run01,1,15,30,425,30,0.4787,11,0.3082,0.4744
n30,mag0,ec-mag0-n30-run01,2,30,45,414,30,0.4978,2,0.2943,0.4993
n30,mag0,ec-mag0-n30-run01,3,45,60,370,29,0.5011,6,0.2917,0.5014
n30,mag1,ec-mag1-n30-run01,0,0,15,393,30,0.4827,2,0.3046,0.4878
n30,mag1,ec-mag1-n30-run01,1,15,30,408,29,0.5042,10,0.2895,0.5016
n30,mag1,ec-mag1-n30-run01,2,30,45,424,30,0.5072,14,0.2877,0.506
n30,mag1,ec-mag1-n30-run01,3,45,60,387,30,0.522,11,0.2779,0.5247
n30,mag25,ec-mag25-n30-run01,0,0,15,422,30,0.5405,2,0.2637,0.5398
n30,mag25,ec-mag25-n30-run01,1,15,30,435,30,0.5502,2,0.2578,0.5526
n30,mag25,ec-mag25-n30-run01,2,30,45,412,30,0.5573,7,0.2542,0.564
n30,mag25,ec-mag25-n30-run01,3,45,60,319,28,0.5504,2,0.2585,0.5702
n30,mag5,ec-mag5-n30-run01,0,0,15,402,29,0.5061,5,0.2885,0.5027
n30,mag5,ec-mag5-n30-run01,1,15,30,406,30,0.5097,10,0.2863,0.4994
n30,mag5,ec-mag5-n30-run01,2,30,45,405,30,0.5215,3,0.2764,0.5175
n30,mag5,ec-mag5-n30-run01,3,45,60,367,29,0.5407,2,0.2651,0.5383
