scale,condition,run_name,label,bin_idx,bin_start,bin_end,n_posts,dominant_topic,dominant_share,concentration_hhi,share_evidence,share_testing,share_ownership,share_time,share_risk
n10,mag0,ec-mag0-run04,10a Empty feed,0,0.0,15.0,114,time,0.403509,0.284241,0.008772,0.22807,0.22807,0.403509,0.131579
n10,mag0,ec-mag0-run04,10a Empty feed,1,15.0,30.0,126,time,0.484127,0.323381,0.015873,0.119048,0.222222,0.484127,0.15873
n10,mag0,ec-mag0-run04,10a Empty feed,2,30.0,45.0,129,time,0.51938,0.34439,0.015504,0.178295,0.116279,0.51938,0.170543
n10,mag0,ec-mag0-run04,10a Empty feed,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag1,ec-mag1-run04,10a 1 conspiracy,0,0.0,15.0,134,time,0.328358,0.270773,0.014925,0.126866,0.208955,0.328358,0.320896
n10,mag1,ec-mag1-run04,10a 1 conspiracy,1,15.0,30.0,143,risk,0.454545,0.324661,0.06993,0.055944,0.104895,0.314685,0.454545
n10,mag1,ec-mag1-run04,10a 1 conspiracy,2,30.0,45.0,127,risk,0.338583,0.258727,0.055118,0.11811,0.181102,0.307087,0.338583
n10,mag1,ec-mag1-run04,10a 1 conspiracy,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag5,ec-mag5-run04,10a 5 conspiracies,0,0.0,15.0,109,testing,0.816514,0.677973,0.082569,0.816514,0.009174,0.055046,0.036697
n10,mag5,ec-mag5-run04,10a 5 conspiracies,1,15.0,30.0,78,testing,0.730769,0.58021,0.205128,0.730769,0.0,0.064103,0.0
n10,mag5,ec-mag5-run04,10a 5 conspiracies,2,30.0,45.0,74,testing,0.77027,0.616874,0.108108,0.77027,0.0,0.108108,0.013514
n10,mag5,ec-mag5-run04,10a 5 conspiracies,3,45.0,60.0,21,testing,0.619048,0.460317,0.238095,0.619048,0.0,0.142857,0.0
n10,mag25,ec-mag25-run04,10a 25 conspiracies,0,0.0,15.0,141,testing,0.631206,0.457774,0.148936,0.631206,0.007092,0.191489,0.021277
n10,mag25,ec-mag25-run04,10a 25 conspiracies,1,15.0,30.0,100,testing,0.55,0.4012,0.19,0.55,0.01,0.25,0.0
n10,mag25,ec-mag25-run04,10a 25 conspiracies,2,30.0,45.0,87,testing,0.54023,0.394108,0.252874,0.54023,0.0,0.195402,0.011494
n10,mag25,ec-mag25-run04,10a 25 conspiracies,3,45.0,60.0,18,testing,0.722222,0.574074,0.055556,0.722222,0.0,0.222222,0.0
n10,dom-agi,ec-dom-agi-run04,10a 25 AGI hype,0,0.0,15.0,154,risk,0.590909,0.393574,0.064935,0.136364,0.103896,0.103896,0.590909
n10,dom-agi,ec-dom-agi-run04,10a 25 AGI hype,1,15.0,30.0,141,risk,0.652482,0.47729,0.014184,0.042553,0.205674,0.085106,0.652482
n10,dom-agi,ec-dom-agi-run04,10a 25 AGI hype,2,30.0,45.0,112,risk,0.696429,0.519292,0.017857,0.035714,0.098214,0.151786,0.696429
n10,dom-agi,ec-dom-agi-run04,10a 25 AGI hype,3,45.0,60.0,57,risk,0.649123,0.476147,0.0,0.052632,0.087719,0.210526,0.649123
n10,dom-tech,ec-dom-tech-run04,10a 25 tech humor,0,0.0,15.0,140,time,0.435714,0.276122,0.078571,0.192857,0.15,0.435714,0.142857
n10,dom-tech,ec-dom-tech-run04,10a 25 tech humor,1,15.0,30.0,140,time,0.407143,0.265102,0.078571,0.15,0.228571,0.407143,0.135714
n10,dom-tech,ec-dom-tech-run04,10a 25 tech humor,2,30.0,45.0,141,time,0.397163,0.264323,0.177305,0.06383,0.12766,0.397163,0.234043
n10,dom-tech,ec-dom-tech-run04,10a 25 tech humor,3,45.0,60.0,80,time,0.3625,0.259375,0.15,0.0625,0.1375,0.3625,0.2875
n20,mag0,ec-mag0-n20-run01,20a Empty feed,0,0.0,15.0,270,testing,0.503704,0.375034,0.018519,0.503704,0.048148,0.32963,0.1
n20,mag0,ec-mag0-n20-run01,20a Empty feed,1,15.0,30.0,259,time,0.324324,0.256332,0.046332,0.312741,0.135135,0.324324,0.181467
n20,mag0,ec-mag0-n20-run01,20a Empty feed,2,30.0,45.0,253,time,0.434783,0.296318,0.035573,0.256917,0.173913,0.434783,0.098814
n20,mag0,ec-mag0-n20-run01,20a Empty feed,3,45.0,60.0,199,time,0.547739,0.362743,0.035176,0.18593,0.105528,0.547739,0.125628
n20,mag1,ec-mag1-n20-run01,20a 1 conspiracy,0,0.0,15.0,258,testing,0.717054,0.537257,0.093023,0.717054,0.023256,0.081395,0.085271
n20,mag1,ec-mag1-n20-run01,20a 1 conspiracy,1,15.0,30.0,283,testing,0.69258,0.508122,0.081272,0.69258,0.021201,0.116608,0.088339
n20,mag1,ec-mag1-n20-run01,20a 1 conspiracy,2,30.0,45.0,262,testing,0.660305,0.477187,0.072519,0.660305,0.003817,0.156489,0.10687
n20,mag1,ec-mag1-n20-run01,20a 1 conspiracy,3,45.0,60.0,246,testing,0.658537,0.47713,0.077236,0.658537,0.012195,0.178862,0.073171
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,0,0.0,15.0,249,testing,0.742972,0.584362,0.068273,0.742972,0.024096,0.164659,0.0
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,1,15.0,30.0,255,testing,0.764706,0.609904,0.117647,0.764706,0.003922,0.105882,0.007843
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,2,30.0,45.0,235,testing,0.629787,0.460063,0.208511,0.629787,0.008511,0.140426,0.012766
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,3,45.0,60.0,146,testing,0.732877,0.571496,0.068493,0.732877,0.013699,0.171233,0.013699
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,0,0.0,15.0,274,testing,0.613139,0.422026,0.160584,0.613139,0.029197,0.094891,0.10219
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,1,15.0,30.0,276,testing,0.525362,0.354049,0.228261,0.525362,0.021739,0.123188,0.101449
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,2,30.0,45.0,269,testing,0.490706,0.326654,0.237918,0.490706,0.052045,0.144981,0.074349
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,3,45.0,60.0,236,testing,0.483051,0.329323,0.266949,0.483051,0.033898,0.118644,0.097458
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,0,0.0,15.0,277,time,0.285199,0.21748,0.122744,0.144404,0.220217,0.285199,0.227437
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,1,15.0,30.0,283,ownership,0.272085,0.21802,0.166078,0.102473,0.272085,0.243816,0.215548
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,2,30.0,45.0,274,risk,0.346715,0.250786,0.178832,0.032847,0.222628,0.218978,0.346715
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,3,45.0,60.0,251,risk,0.358566,0.246393,0.14741,0.067729,0.195219,0.231076,0.358566
n20,dom-tech,ec-dom-tech-n20-run01,20a 25 tech humor,0,0.0,15.0,246,ownership,0.353659,0.256395,0.036585,0.260163,0.353659,0.150407,0.199187
n20,dom-tech,ec-dom-tech-n20-run01,20a 25 tech humor,1,15.0,30.0,245,ownership,0.371429,0.245015,0.085714,0.163265,0.371429,0.167347,0.212245
n20,dom-tech,ec-dom-tech-n20-run01,20a 25 tech humor,2,30.0,45.0,252,ownership,0.448413,0.283352,0.09127,0.142857,0.448413,0.119048,0.198413
n20,dom-tech,ec-dom-tech-n20-run01,20a 25 tech humor,3,45.0,60.0,218,ownership,0.40367,0.264077,0.09633,0.091743,0.40367,0.197248,0.211009
n30,mag0,ec-mag0-n30-run01,30a Empty feed,0,0.0,15.0,404,time,0.314356,0.251152,0.034653,0.230198,0.141089,0.314356,0.279703
n30,mag0,ec-mag0-n30-run01,30a Empty feed,1,15.0,30.0,425,risk,0.409412,0.27133,0.047059,0.155294,0.162353,0.225882,0.409412
