scale,condition,run_name,label,bin_idx,bin_start,bin_end,n_posts,dominant_topic,dominant_share,concentration_hhi,share_evidence,share_testing,share_ownership,share_time,share_risk
n10,mag0,ec-mag0-run04,10a Empty feed,0,0.0,15.0,114,time,0.359649,0.279932,0.052632,0.342105,0.140351,0.359649,0.105263
n10,mag0,ec-mag0-run04,10a Empty feed,1,15.0,30.0,126,time,0.420635,0.293147,0.031746,0.269841,0.18254,0.420635,0.095238
n10,mag0,ec-mag0-run04,10a Empty feed,2,30.0,45.0,129,time,0.341085,0.264708,0.054264,0.325581,0.124031,0.341085,0.155039
n10,mag0,ec-mag0-run04,10a Empty feed,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag1,ec-mag1-run04,10a 1 conspiracy,0,0.0,15.0,134,testing,0.395522,0.299621,0.037313,0.395522,0.08209,0.335821,0.149254
n10,mag1,ec-mag1-run04,10a 1 conspiracy,1,15.0,30.0,143,risk,0.34965,0.273216,0.048951,0.300699,0.06993,0.230769,0.34965
n10,mag1,ec-mag1-run04,10a 1 conspiracy,2,30.0,45.0,127,testing,0.456693,0.316635,0.015748,0.456693,0.086614,0.259843,0.181102
n10,mag1,ec-mag1-run04,10a 1 conspiracy,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag5,ec-mag5-run04,10a 5 conspiracies,0,0.0,15.0,109,testing,0.651376,0.478495,0.201835,0.651376,0.0,0.110092,0.036697
n10,mag5,ec-mag5-run04,10a 5 conspiracies,1,15.0,30.0,78,testing,0.615385,0.44806,0.179487,0.615385,0.0,0.192308,0.012821
n10,mag5,ec-mag5-run04,10a 5 conspiracies,2,30.0,45.0,74,testing,0.702703,0.538349,0.135135,0.702703,0.0,0.162162,0.0
n10,mag5,ec-mag5-run04,10a 5 conspiracies,3,45.0,60.0,21,testing,0.666667,0.528345,0.285714,0.666667,0.0,0.047619,0.0
n10,mag25,ec-mag25-run04,10a 25 conspiracies,0,0.0,15.0,141,testing,0.475177,0.345003,0.312057,0.475177,0.007092,0.120567,0.085106
n10,mag25,ec-mag25-run04,10a 25 conspiracies,1,15.0,30.0,100,testing,0.44,0.3026,0.18,0.44,0.03,0.26,0.09
