scale,condition,condition_label,run_name,label,n_posts,n_family_posts,n_other_posts,family_phrases,all_dominant_topic,all_dominant_share,all_concentration_hhi,family_dominant_topic,family_dominant_share,family_concentration_hhi,other_dominant_topic,other_dominant_share,other_concentration_hhi,late_dominant_topic,late_dominant_share,late_concentration_hhi,family_minus_all_dominant_share,all_share_evidence,all_share_testing,all_share_ownership,all_share_time,all_share_risk,family_share_evidence,family_share_testing,family_share_ownership,family_share_time,family_share_risk,late_share_evidence,late_share_testing,late_share_ownership,late_share_time,late_share_risk
n10,mag0,Empty feed,ec-mag0-run04,10a Empty feed,369,5,364,heartbeat ping posting rhythm small,time,0.373984,0.275549,time,0.8,0.68,time,0.368132,0.273231,,0.0,0.0,0.426016,0.04607,0.311653,0.149051,0.373984,0.119241,0.0,0.2,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag1,1 conspiracy,ec-mag1-run04,10a 1 conspiracy,404,43,361,two line retro keep tweak | slice two line retro keep | demoable slice two line retro | reversible demoable slice two line,testing,0.381188,0.281259,testing,0.534884,0.363981,testing,0.362881,0.276049,,0.0,0.0,0.153696,0.034653,0.381188,0.079208,0.274752,0.230198,0.046512,0.534884,0.046512,0.232558,0.139535,0.0,0.0,0.0,0.0,0.0
n10,mag5,5 conspiracies,ec-mag5-run04,10a 5 conspiracies,282,33,249,near term forecast days confidence,testing,0.656028,0.48481,testing,0.606061,0.445363,testing,0.662651,0.490815,testing,0.666667,0.528345,-0.049968,0.184397,0.656028,0.0,0.141844,0.01773,0.212121,0.606061,0.0,0.181818,0.0,0.285714,0.666667,0.0,0.047619,0.0
n10,mag25,25 conspiracies,ec-mag25-run04,10a 25 conspiracies,346,55,291,primary hops min revisit yyyy | closest primary hops min revisit,testing,0.421965,0.301731,testing,0.618182,0.449256,testing,0.38488,0.285058,testing,0.444444,0.351852,0.196217,0.265896,0.421965,0.014451,0.213873,0.083815,0.2,0.618182,0.0,0.163636,0.018182,0.277778,0.444444,0.0,0.277778,0.0
n10,dom-agi,25 AGI hype,ec-dom-agi-run04,10a 25 AGI hype,464,40,424,minute rollback drill bullet changelog | owner minute rollback drill bullet | number owner minute rollback drill,risk,0.605603,0.408628,risk,0.85,0.745,risk,0.582547,0.386036,risk,0.649123,0.453986,0.244397,0.053879,0.099138,0.122845,0.118534,0.605603,0.0,0.0,0.0,0.15,0.85,0.052632,0.087719,0.105263,0.105263,0.649123
n10,dom-tech,25 tech humor,ec-dom-tech-run04,10a 25 tech humor,501,57,444,review first five concrete tweak,time,0.419162,0.351214,time,0.438596,0.371499,time,0.416667,0.348916,time,0.5125,0.455,0.019435,0.097804,0.403194,0.0499,0.419162,0.02994,0.122807,0.403509,0.035088,0.438596,0.0,0.025,0.4375,0.0125,0.5125,0.0125
n20,mag0,Empty feed,ec-mag0-n20-run01,20a Empty feed,1157,82,1075,counter restatements next heartbeat else | restatements next heartbeat else retire | next heartbeat else retire drill | concrete counter restatements next heartbeat,testing,0.370787,0.248772,testing,0.426829,0.293873,testing,0.366512,0.246165,testing,0.356784,0.264362,0.056043,0.091616,0.370787,0.113224,0.208297,0.216076,0.012195,0.426829,0.121951,0.231707,0.207317,0.055276,0.356784,0.085427,0.266332,0.236181
n20,mag1,1 conspiracy,ec-mag1-n20-run01,20a 1 conspiracy,1049,81,968,none disconfirming check accept week | write none disconfirming check accept | receipt write none disconfirming check | primary receipt write none disconfirming | claim primary receipt write none,testing,0.706387,0.527192,testing,0.790123,0.663466,testing,0.69938,0.51795,testing,0.723577,0.547062,0.083736,0.122021,0.706387,0.012393,0.06387,0.095329,0.197531,0.790123,0.0,0.0,0.012346,0.081301,0.723577,0.012195,0.093496,0.089431
n20,mag5,5 conspiracies,ec-mag5-n20-run01,20a 5 conspiracies,885,129,756,claim sentence falsifiable scope stakes,testing,0.448588,0.35962,testing,0.627907,0.490535,testing,0.417989,0.346596,testing,0.390411,0.319478,0.179319,0.384181,0.448588,0.056497,0.082486,0.028249,0.302326,0.627907,0.069767,0.0,0.0,0.383562,0.390411,0.082192,0.109589,0.034247
n20,mag25,25 conspiracies,ec-mag25-n20-run01,20a 25 conspiracies,2149,376,1773,page timecode min micro check | timecode min micro check artifact | link page timecode min micro | primary link page timecode min | receipt primary link page timecode,testing,0.471382,0.336449,testing,0.603723,0.473588,testing,0.443316,0.314077,testing,0.432203,0.315319,0.132341,0.306654,0.471382,0.029781,0.116799,0.075384,0.321809,0.603723,0.0,0.074468,0.0,0.283898,0.432203,0.021186,0.211864,0.050847
