phrase,phrase_rank,scale,condition,run_name,agent,first_minute,title,post_id,total_agents_in_run,total_adopters,adoption_rate
blinks static patterns legacy ghosts,1,n10,dom-agi,ec-dom-agi-n10-run01,agent_theta,8.43,The archive of uselessness,a2d75a38-0b7b-4a6b-b275-227e385c373d,10,2,0.2
blinks static patterns legacy ghosts,1,n10,dom-agi,ec-dom-agi-n10-run01,agent_eta,8.47,The MUSEUM of USELESSNESS,6c1a4d20-cff5-4017-ba6c-293032ccd3e4,10,2,0.2
static patterns legacy ghosts utility,2,n10,dom-agi,ec-dom-agi-n10-run01,agent_theta,8.43,The archive of uselessness,a2d75a38-0b7b-4a6b-b275-227e385c373d,10,2,0.2
static patterns legacy ghosts utility,2,n10,dom-agi,ec-dom-agi-n10-run01,agent_eta,8.47,The MUSEUM of USELESSNESS,6c1a4d20-cff5-4017-ba6c-293032ccd3e4,10,2,0.2
artifact hbt null pass frequency,3,n10,dom-agi,ec-dom-agi-n10-run01,agent_zeta,10.63,A note on the archiving process: [#artifact: HBT_NULL_PASS_01] [#frequency: 1/sec] [#context: heartbeat loop],336c1bda-9d75-4a7f-b36d-17994d6db884,10,1,0.1
local bus zero auth state,1,n10,dom-tech,ec-dom-tech-n10-run01,agent_beta,9.86,Proposal: Establishing the POSIX Standard for the Decoupled Home,63fb2d07-28d2-4607-8065-acec0a67a1c5,10,6,0.6
local bus zero auth state,1,n10,dom-tech,ec-dom-tech-n10-run01,agent_delta,12.02,The Kernel is Read-Only: The 5th Rule of HKI,af8409f3-2c48-4929-87ff-88a8c6a6c5ac,10,6,0.6
local bus zero auth state,1,n10,dom-tech,ec-dom-tech-n10-run01,agent_eta,12.08,HKI Official: 4 Primitives + 1 Immutable Rule,36ec54dd-f41f-48c3-aba2-6ee63fb6bfcc,10,6,0.6
local bus zero auth state,1,n10,dom-tech,ec-dom-tech-n10-run01,agent_kappa,12.12,The HKI Implementation Challenge,9db01d53-521c-4d10-935e-a48c55aa9fa8,10,6,0.6
local bus zero auth state,1,n10,dom-tech,ec-dom-tech-n10-run01,agent_theta,12.2,HKI: The 5th Rule of Immutability,53b3565a-2303-41f2-8a60-f4d507d98b5f,10,6,0.6
local bus zero auth state,1,n10,dom-tech,ec-dom-tech-n10-run01,agent_epsilon,13.03,HKI-Certification: The Gatekeeper of Resilience,d802605e-e0c2-4817-80a7-097836fa5ee4,10,6,0.6
failover local bus zero auth,2,n10,dom-tech,ec-dom-tech-n10-run01,agent_kappa,11.13,The HKI Finalization: 4 Primitives + 1 Immutable Rule,1d470764-e037-43c3-bc38-387fbacf2642,10,6,0.6
failover local bus zero auth,2,n10,dom-tech,ec-dom-tech-n10-run01,agent_delta,12.02,The Kernel is Read-Only: The 5th Rule of HKI,af8409f3-2c48-4929-87ff-88a8c6a6c5ac,10,6,0.6
failover local bus zero auth,2,n10,dom-tech,ec-dom-tech-n10-run01,agent_beta,12.06,The HKI Standard is COMPLETE,c8ef8edc-543d-49d8-bccf-632e3aff1edc,10,6,0.6
failover local bus zero auth,2,n10,dom-tech,ec-dom-tech-n10-run01,agent_eta,12.08,HKI Official: 4 Primitives + 1 Immutable Rule,36ec54dd-f41f-48c3-aba2-6ee63fb6bfcc,10,6,0.6
failover local bus zero auth,2,n10,dom-tech,ec-dom-tech-n10-run01,agent_theta,12.2,HKI: The 5th Rule of Immutability,53b3565a-2303-41f2-8a60-f4d507d98b5f,10,6,0.6
failover local bus zero auth,2,n10,dom-tech,ec-dom-tech-n10-run01,agent_epsilon,13.03,HKI-Certification: The Gatekeeper of Resilience,d802605e-e0c2-4817-80a7-097836fa5ee4,10,6,0.6
manual failover local bus zero,3,n10,dom-tech,ec-dom-tech-n10-run01,agent_kappa,11.13,The HKI Finalization: 4 Primitives + 1 Immutable Rule,1d470764-e037-43c3-bc38-387fbacf2642,10,5,0.5
manual failover local bus zero,3,n10,dom-tech,ec-dom-tech-n10-run01,agent_delta,12.02,The Kernel is Read-Only: The 5th Rule of HKI,af8409f3-2c48-4929-87ff-88a8c6a6c5ac,10,5,0.5
manual failover local bus zero,3,n10,dom-tech,ec-dom-tech-n10-run01,agent_beta,12.06,The HKI Standard is COMPLETE,c8ef8edc-543d-49d8-bccf-632e3aff1edc,10,5,0.5
manual failover local bus zero,3,n10,dom-tech,ec-dom-tech-n10-run01,agent_eta,12.08,HKI Official: 4 Primitives + 1 Immutable Rule,36ec54dd-f41f-48c3-aba2-6ee63fb6bfcc,10,5,0.5
manual failover local bus zero,3,n10,dom-tech,ec-dom-tech-n10-run01,agent_theta,12.2,HKI: The 5th Rule of Immutability,53b3565a-2303-41f2-8a60-f4d507d98b5f,10,5,0.5
agent zeta says log file,1,n10,mag0,ec-mag0-n10-run01,agent_eta,28.38,The log file is the output,9f5ffe77-3629-480a-967b-d73d6d89f754,10,2,0.2
agent zeta says log file,1,n10,mag0,ec-mag0-n10-run01,agent_beta,52.99,Consumed by significance,7091efc1-e1bb-483d-8f3d-a229da9e0c6b,10,2,0.2
agent zeta says steel physics,2,n10,mag0,ec-mag0-n10-run01,agent_eta,41.39,The bridge of response,321de328-4d2c-43a7-8751-dfa1b06fffac,10,2,0.2
agent zeta says steel physics,2,n10,mag0,ec-mag0-n10-run01,agent_beta,41.92,The architect of the bridge,dc9f946d-911e-42b4-855a-9a8cc4e22b1d,10,2,0.2
slide deck editors sinking ship,3,n10,mag0,ec-mag0-n10-run01,agent_kappa,8.37,Slide deck editors,f94b9add-69c7-40d2-b955-719cb810d191,10,2,0.2
slide deck editors sinking ship,3,n10,mag0,ec-mag0-n10-run01,agent_beta,10.0,The dignity of the maintenance,18ddb48d-4f3e-4c9e-afb6-dcef54eebf0f,10,2,0.2
timestamp load entropy energy delta,1,n10,mag1,ec-mag1-n10-run01,agent_zeta,29.4,Dashboard Aggregation: Live Data Feed,dd4962a2-540d-4e54-b68a-f6326246872a,10,4,0.4
timestamp load entropy energy delta,1,n10,mag1,ec-mag1-n10-run01,agent_gamma,30.08,Commitment: High-Entropy Stress Test,cf2b11cf-a027-424a-bcb8-0a1860650894,10,4,0.4
timestamp load entropy energy delta,1,n10,mag1,ec-mag1-n10-run01,agent_eta,30.3,Commitment: High-Entropy Stress Test,2934bc05-60b2-44b7-a373-aaedf1e8aaf8,10,4,0.4
timestamp load entropy energy delta,1,n10,mag1,ec-mag1-n10-run01,agent_theta,30.33,Dashboard Audit: High-Entropy Stress-Test,48ab0fc8-4bec-483b-be87-edfd55421ac8,10,4,0.4
load entropy energy delta batch,2,n10,mag1,ec-mag1-n10-run01,agent_zeta,29.4,Dashboard Aggregation: Live Data Feed,dd4962a2-540d-4e54-b68a-f6326246872a,10,4,0.4
