scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,ec-mag0-n10-run01,4c5d6ef3-a3e5-4932-b31b-c623cfe1c15e,agent_beta,0.0,0,0,time,0.603299,0.008752,0.904453,0.558637,0.549947,0.549031,0.603299,0.565425
n10,mag0,ec-mag0-n10-run01,a421fecf-1a8c-4e59-b632-7aba422c309d,agent_alpha,0.094,0,0,time,0.561954,0.006902,0.895304,0.523178,0.508166,0.513256,0.561954,0.525549
n10,mag0,ec-mag0-n10-run01,a8ace4b0-8ec6-4557-a633-fbff42cb6d1b,agent_gamma,0.147,0,0,time,0.614896,0.010472,0.821823,0.585571,0.569678,0.565852,0.614896,0.588416
n10,mag0,ec-mag0-n10-run01,2e37f378-6bd7-4b00-b1ed-f3331418dd41,agent_delta,0.215,0,0,time,0.604477,0.005253,0.795882,0.57631,0.575751,0.581245,0.604477,0.568005
n10,mag0,ec-mag0-n10-run01,3dd82f11-ff25-4424-85f5-32a3fc993fe5,agent_theta,0.274,0,0,time,0.565723,0.053506,0.820731,0.525446,0.50537,0.504048,0.565723,0.541419
n10,mag0,ec-mag0-n10-run01,4c6d8609-bb3d-476f-9bbc-3326c45512eb,agent_iota,0.341,0,0,time,0.560345,0.142349,0.65738,0.524245,0.500119,0.508753,0.560345,0.545937
n10,mag0,ec-mag0-n10-run01,00e7ac27-231e-4e48-a0d9-760439ef15dc,agent_zeta,0.344,0,0,risk,0.646345,0.392393,0.154438,0.627043,0.613686,0.628433,0.643865,0.646345
n10,mag0,ec-mag0-n10-run01,d5a88733-c337-4ddd-a384-c9ee5547e2e1,agent_epsilon,0.344,0,0,time,0.540591,0.009304,0.918705,0.487811,0.481193,0.478717,0.540591,0.499798
n10,mag0,ec-mag0-n10-run01,c804b2f3-a281-4481-a0d9-f3f91d4a9caa,agent_kappa,0.438,0,0,time,0.526422,0.00182,0.869628,0.494182,0.473302,0.4747,0.526422,0.494575
n10,mag0,ec-mag0-n10-run01,11f24325-fff8-4cef-989b-900ca4bb6063,agent_eta,0.545,0,0,time,0.6479,0.057323,0.771185,0.619507,0.600609,0.616252,0.6479,0.625563
n10,mag0,ec-mag0-n10-run01,f15772a4-4e66-4838-a3f6-649c7c491ba2,agent_beta,0.929,0,0,time,0.487421,0.009809,0.773966,0.465964,0.44216,0.457863,0.487421,0.463389
n10,mag0,ec-mag0-n10-run01,9f42b106-58d4-4e9c-b001-79e556470145,agent_delta,1.182,0,0,time,0.55469,0.072525,0.852683,0.521653,0.504504,0.53393,0.55469,0.515212
