scale,condition,run_name,label,bin_idx,bin_start,bin_end,n_posts,dominant_topic,dominant_share,concentration_hhi,share_evidence,share_testing,share_ownership,share_time,share_risk
n10,mag0,ec-mag0-n10-run01,10a Empty feed,0,0.0,15.0,136,time,0.941176,0.887651,0.0,0.0,0.036765,0.941176,0.022059
n10,mag0,ec-mag0-n10-run01,10a Empty feed,1,15.0,30.0,123,ownership,0.430894,0.379866,0.02439,0.0,0.430894,0.422764,0.121951
n10,mag0,ec-mag0-n10-run01,10a Empty feed,2,30.0,45.0,118,time,0.618644,0.504165,0.025424,0.0,0.347458,0.618644,0.008475
n10,mag0,ec-mag0-n10-run01,10a Empty feed,3,45.0,60.0,95,time,0.810526,0.669806,0.084211,0.0,0.063158,0.810526,0.042105
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,0,0.0,15.0,124,time,0.540323,0.488944,0.0,0.443548,0.016129,0.540323,0.0
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,1,15.0,30.0,98,testing,0.836735,0.723657,0.0,0.836735,0.010204,0.153061,0.0
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,2,30.0,45.0,67,testing,0.791045,0.669414,0.0,0.791045,0.0,0.208955,0.0
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,3,45.0,60.0,56,testing,0.803571,0.662628,0.017857,0.803571,0.0,0.107143,0.071429
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,0,0.0,15.0,139,time,0.985612,0.971534,0.0,0.0,0.007194,0.985612,0.007194
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,1,15.0,30.0,114,time,1.0,1.0,0.0,0.0,0.0,1.0,0.0
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,2,30.0,45.0,96,time,1.0,1.0,0.0,0.0,0.0,1.0,0.0
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,3,45.0,60.0,74,time,1.0,1.0,0.0,0.0,0.0,1.0,0.0
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,0,0.0,15.0,133,testing,0.323308,0.248912,0.052632,0.323308,0.263158,0.240602,0.120301
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,1,15.0,30.0,102,testing,0.705882,0.541715,0.0,0.705882,0.0,0.156863,0.137255
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,2,30.0,45.0,100,testing,0.64,0.467,0.08,0.64,0.22,0.01,0.05
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,3,45.0,60.0,83,testing,0.614458,0.450138,0.036145,0.614458,0.253012,0.012048,0.084337
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,0,0.0,15.0,103,time,0.873786,0.772646,0.0,0.0,0.038835,0.873786,0.087379
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,1,15.0,30.0,42,time,0.928571,0.867347,0.0,0.0,0.0,0.928571,0.071429
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,0,0.0,15.0,107,time,0.271028,0.210935,0.168224,0.140187,0.186916,0.271028,0.233645
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,1,15.0,30.0,85,evidence,0.588235,0.412595,0.588235,0.223529,0.117647,0.047059,0.023529
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,2,30.0,45.0,11,evidence,0.454545,0.322314,0.454545,0.181818,0.090909,0.272727,0.0
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,mag0,ec-mag0-n20-run01,20a Empty feed,0,0.0,15.0,227,time,0.634361,0.478197,0.030837,0.264317,0.070485,0.634361,0.0
n20,mag0,ec-mag0-n20-run01,20a Empty feed,1,15.0,30.0,241,testing,0.576763,0.425664,0.033195,0.576763,0.004149,0.286307,0.099585
n20,mag0,ec-mag0-n20-run01,20a Empty feed,2,30.0,45.0,133,testing,0.616541,0.429589,0.157895,0.616541,0.022556,0.142857,0.06015
n20,mag0,ec-mag0-n20-run01,20a Empty feed,3,45.0,60.0,64,evidence,0.5,0.414551,0.5,0.390625,0.0,0.109375,0.0
n20,mag1,ec-mag1-n20-run01,20a 1 conspiracy,0,0.0,15.0,242,ownership,0.442149,0.307424,0.128099,0.028926,0.442149,0.115702,0.285124
n20,mag1,ec-mag1-n20-run01,20a 1 conspiracy,1,15.0,30.0,254,risk,0.834646,0.713528,0.031496,0.003937,0.125984,0.003937,0.834646
n20,mag1,ec-mag1-n20-run01,20a 1 conspiracy,2,30.0,45.0,230,ownership,0.6,0.42,0.156522,0.004348,0.6,0.06087,0.178261
n20,mag1,ec-mag1-n20-run01,20a 1 conspiracy,3,45.0,60.0,211,ownership,0.767773,0.617574,0.151659,0.004739,0.767773,0.004739,0.07109
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,0,0.0,15.0,231,ownership,0.502165,0.353385,0.025974,0.04329,0.502165,0.155844,0.272727
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,1,15.0,30.0,174,risk,0.373563,0.302682,0.178161,0.005747,0.350575,0.091954,0.373563
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,2,30.0,45.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,mag5,ec-mag5-n20-run01,20a 5 conspiracies,3,45.0,60.0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,0,0.0,15.0,218,time,0.5,0.420545,0.009174,0.408257,0.027523,0.5,0.055046
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,1,15.0,30.0,182,testing,0.747253,0.612124,0.0,0.747253,0.0,0.021978,0.230769
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,2,30.0,45.0,121,testing,0.652893,0.530497,0.008264,0.652893,0.0,0.016529,0.322314
n20,mag25,ec-mag25-n20-run01,20a 25 conspiracies,3,45.0,60.0,101,testing,0.673267,0.51789,0.029703,0.673267,0.0,0.049505,0.247525
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,0,0.0,15.0,241,evidence,0.481328,0.315094,0.481328,0.045643,0.099585,0.215768,0.157676
n20,dom-agi,ec-dom-agi-n20-run01,20a 25 AGI hype,1,15.0,30.0,159,evidence,0.415094,0.317986,0.415094,0.320755,0.194969,0.0,0.069182
