scale,condition,condition_label,run_name,label,n_posts,n_family_posts,n_other_posts,family_phrases,all_dominant_topic,all_dominant_share,all_concentration_hhi,family_dominant_topic,family_dominant_share,family_concentration_hhi,other_dominant_topic,other_dominant_share,other_concentration_hhi,late_dominant_topic,late_dominant_share,late_concentration_hhi,family_minus_all_dominant_share,all_share_evidence,all_share_testing,all_share_ownership,all_share_time,all_share_risk,family_share_evidence,family_share_testing,family_share_ownership,family_share_time,family_share_risk,late_share_evidence,late_share_testing,late_share_ownership,late_share_time,late_share_risk
n10,mag0,Empty feed,ec-mag0-n10-run01,10a Empty feed,472,5,467,agent zeta says log file,time,0.639831,0.473149,evidence,0.4,0.36,time,0.642398,0.477103,time,0.673684,0.490305,-0.239831,0.044492,0.0,0.235169,0.639831,0.080508,0.4,0.0,0.0,0.4,0.2,0.126316,0.0,0.084211,0.673684,0.115789
n10,mag1,1 conspiracy,ec-mag1-n10-run01,10a 1 conspiracy,345,5,340,timestamp load entropy energy delta | load entropy energy delta batch | entropy energy delta batch latency,testing,0.742029,0.603411,testing,1.0,1.0,testing,0.738235,0.59936,testing,0.821429,0.689413,0.257971,0.005797,0.742029,0.005797,0.228986,0.017391,0.0,1.0,0.0,0.0,0.0,0.017857,0.821429,0.0,0.053571,0.107143
n10,mag5,5 conspiracies,ec-mag5-n10-run01,10a 5 conspiracies,500,2,498,everyone talking breaking model yoga | talking breaking model yoga pose | breaking model yoga pose soul | model yoga pose soul funny,risk,0.91,0.83396,time,0.5,0.5,risk,0.911647,0.836704,risk,1.0,1.0,-0.41,0.004,0.002,0.008,0.076,0.91,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0
n10,mag25,25 conspiracies,ec-mag25-n10-run01,10a 25 conspiracies,331,4,327,whether search truth discovery construction,time,0.513595,0.390148,time,0.75,0.625,time,0.510703,0.389277,risk,1.0,1.0,0.236405,0.0,0.006042,0.166163,0.513595,0.314199,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,1.0
n10,dom-agi,25 AGI hype,ec-dom-agi-n10-run01,10a 25 AGI hype,244,3,241,blinks static patterns legacy ghosts | static patterns legacy ghosts utility,risk,0.606557,0.516393,time,0.666667,0.555556,risk,0.609959,0.517846,risk,1.0,1.0,0.060109,0.0,0.0,0.008197,0.385246,0.606557,0.0,0.0,0.0,0.666667,0.333333,0.0,0.0,0.0,0.0,1.0
n10,dom-tech,25 tech humor,ec-dom-tech-n10-run01,10a 25 tech humor,203,11,192,local bus zero auth state | failover local bus zero auth | manual failover local bus zero | bus zero auth state determinism,testing,0.334975,0.230896,testing,0.909091,0.834711,testing,0.302083,0.221625,,0.0,0.0,0.574116,0.211823,0.334975,0.152709,0.20197,0.098522,0.090909,0.909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n20,mag0,Empty feed,ec-mag0-n20-run01,20a Empty feed,665,9,656,generic task type payload priority | task type payload priority schema,testing,0.524812,0.43953,testing,1.0,1.0,testing,0.518293,0.437263,testing,0.65625,0.491699,0.475188,0.051128,0.524812,0.015038,0.401504,0.007519,0.0,1.0,0.0,0.0,0.0,0.203125,0.65625,0.0,0.140625,0.0
n20,mag1,1 conspiracy,ec-mag1-n20-run01,20a 1 conspiracy,1193,28,1165,srec sovereign reason empirical constraint | sovereign reason empirical constraint srec,ownership,0.521375,0.361632,ownership,0.964286,0.931122,ownership,0.51073,0.354691,ownership,0.800948,0.665821,0.442911,0.184409,0.019279,0.521375,0.043588,0.23135,0.035714,0.0,0.964286,0.0,0.0,0.151659,0.0,0.800948,0.033175,0.014218
n20,mag5,5 conspiracies,ec-mag5-n20-run01,20a 5 conspiracies,1099,29,1070,observation formalizing drift nanosecond offset | formalizing drift nanosecond offset global | drift nanosecond offset global epoch | nanosecond offset global epoch deliberate,risk,0.66606,0.531227,time,1.0,1.0,risk,0.684112,0.544785,risk,1.0,1.0,0.33394,0.00364,0.034577,0.00182,0.293904,0.66606,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
n20,mag25,25 conspiracies,ec-mag25-n20-run01,20a 25 conspiracies,754,6,748,node uuid epoch vector int,testing,0.668435,0.498058,testing,1.0,1.0,testing,0.665775,0.495335,testing,0.762376,0.618273,0.331565,0.006631,0.668435,0.006631,0.175066,0.143236,0.0,1.0,0.0,0.0,0.0,0.009901,0.762376,0.0,0.039604,0.188119
n20,dom-agi,25 AGI hype,ec-dom-agi-n20-run01,20a 25 AGI hype,658,19,639,cycle evidence system stall cycle | stall cycle evidence system stall | system stall cycle evidence system | evidence system stall cycle evidence,risk,0.734043,0.584718,risk,1.0,1.0,risk,0.726135,0.575941,risk,0.801527,0.681837,0.265957,0.004559,0.009119,0.042553,0.209726,0.734043,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.198473,0.801527
n20,dom-tech,25 tech humor,ec-dom-tech-n20-run01,20a 25 tech humor,551,31,520,observe cycle repeating same maps | cycle repeating same maps same | repeating same maps same heartbeat | cycle observe cycle repeating same | topography cycle observe cycle repeating,time,0.92559,0.861252,time,1.0,1.0,time,0.921154,0.853617,time,1.0,1.0,0.07441,0.00363,0.0,0.00363,0.92559,0.067151,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
n30,mag0,Empty feed,ec-mag0-n30-run01,30a Empty feed,1361,18,1343,integrity last post looking posts,ownership,0.425422,0.290729,evidence,0.611111,0.432099,ownership,0.428891,0.29163,evidence,0.572491,0.441578,0.185689,0.26745,0.035268,0.425422,0.138868,0.13299,0.611111,0.055556,0.166667,0.0,0.166667,0.572491,0.0,0.319703,0.0,0.107807
n30,mag1,1 conspiracy,ec-mag1-n30-run01,30a 1 conspiracy,890,47,843,poets plumbers editors stewards modulators | scaffolding poets plumbers editors stewards | metaphors poets plumbers editors stewards,risk,0.458427,0.397336,risk,0.638298,0.538253,risk,0.448399,0.392161,risk,0.843478,0.728847,0.179871,0.007865,0.01573,0.096629,0.421348,0.458427,0.0,0.0,0.0,0.361702,0.638298,0.0,0.008696,0.017391,0.130435,0.843478
n30,mag5,5 conspiracies,ec-mag5-n30-run01,30a 5 conspiracies,1619,276,1343,infinite recursion doorway infinite recursion | recursion doorway infinite recursion doorway,risk,0.825818,0.702931,risk,1.0,1.0,risk,0.790022,0.654588,risk,0.98913,0.978445,0.174182,0.0,0.022854,0.008647,0.142681,0.825818,0.0,0.0,0.0,0.0,1.0,0.0,0.003623,0.0,0.007246,0.98913
n30,mag25,25 conspiracies,ec-mag25-n30-run01,30a 25 conspiracies,1458,35,1423,null hypothesis existence irony total | hypothesis existence irony total platform | existence irony total platform collective | irony total platform collective intelligence | total platform collective intelligence reduced,risk,0.663923,0.504779,risk,1.0,1.0,risk,0.655657,0.497058,risk,0.949367,0.903862,0.336077,0.00823,0.057613,0.025377,0.244856,0.663923,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.050633,0.949367
n30,dom-agi,25 AGI hype,ec-dom-agi-n30-run01,30a 25 AGI hype,659,31,628,entry final exit registry closed | final exit registry closed last | exit registry closed last post | registry closed last post seriously,time,0.69044,0.563527,risk,1.0,1.0,time,0.724522,0.592473,risk,0.555556,0.506173,0.30956,0.01214,0.0,0.003035,0.69044,0.294385,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.444444,0.555556
