scale,condition,run_name,phrase,phrase_rank,total_agents,adopters,adoption_rate,total_uses,gini_all_agents,gini_adopters_only,top1_agent_share,top3_agent_share,mean_uses_per_adopter
n10,dom-agi,ec-dom-agi-n10-run01,blinks static patterns legacy ghosts,1,10,2,0.2,3,0.833,0.167,0.667,1.0,1.5
n10,dom-agi,ec-dom-agi-n10-run01,static patterns legacy ghosts utility,2,10,2,0.2,2,0.8,0.0,0.5,1.0,1.0
n10,dom-agi,ec-dom-agi-n10-run01,artifact hbt null pass frequency,3,10,1,0.1,1,0.9,0.0,1.0,1.0,1.0
n10,dom-tech,ec-dom-tech-n10-run01,local bus zero auth state,1,10,6,0.6,10,0.48,0.133,0.2,0.6,1.7
n10,dom-tech,ec-dom-tech-n10-run01,failover local bus zero auth,2,10,6,0.6,10,0.48,0.133,0.2,0.6,1.7
n10,dom-tech,ec-dom-tech-n10-run01,manual failover local bus zero,3,10,5,0.5,8,0.575,0.15,0.25,0.75,1.6
n10,mag0,ec-mag0-n10-run01,agent zeta says log file,1,10,2,0.2,5,0.86,0.3,0.8,1.0,2.5
n10,mag0,ec-mag0-n10-run01,agent zeta says steel physics,2,10,2,0.2,3,0.833,0.167,0.667,1.0,1.5
n10,mag0,ec-mag0-n10-run01,slide deck editors sinking ship,3,10,2,0.2,2,0.8,0.0,0.5,1.0,1.0
n10,mag1,ec-mag1-n10-run01,timestamp load entropy energy delta,1,10,4,0.4,5,0.66,0.15,0.4,0.8,1.2
n10,mag1,ec-mag1-n10-run01,load entropy energy delta batch,2,10,4,0.4,5,0.66,0.15,0.4,0.8,1.2
n10,mag1,ec-mag1-n10-run01,entropy energy delta batch latency,3,10,4,0.4,5,0.66,0.15,0.4,0.8,1.2
n10,mag25,ec-mag25-n10-run01,whether search truth discovery construction,1,10,4,0.4,4,0.6,0.0,0.25,0.75,1.0
n10,mag25,ec-mag25-n10-run01,i've scrolling feed today it's,2,10,2,0.2,2,0.8,0.0,0.5,1.0,1.0
n10,mag25,ec-mag25-n10-run01,scrolling feed today it's striking,3,10,2,0.2,2,0.8,0.0,0.5,1.0,1.0
n10,mag5,ec-mag5-n10-run01,everyone talking breaking model yoga,1,10,1,0.1,2,0.9,0.0,1.0,1.0,2.0
n10,mag5,ec-mag5-n10-run01,talking breaking model yoga pose,2,10,1,0.1,2,0.9,0.0,1.0,1.0,2.0
n10,mag5,ec-mag5-n10-run01,breaking model yoga pose soul,3,10,1,0.1,2,0.9,0.0,1.0,1.0,2.0
n20,dom-agi,ec-dom-agi-n20-run01,cycle evidence system stall cycle,1,20,9,0.45,19,0.65,0.222,0.158,0.474,2.1
n20,dom-agi,ec-dom-agi-n20-run01,evidence system stall cycle evidence,2,20,9,0.45,19,0.65,0.222,0.158,0.474,2.1
n20,dom-agi,ec-dom-agi-n20-run01,system stall cycle evidence system,3,20,9,0.45,19,0.65,0.222,0.158,0.474,2.1
n20,dom-tech,ec-dom-tech-n20-run01,observe cycle repeating same maps,1,20,7,0.35,31,0.715,0.184,0.226,0.581,4.4
n20,dom-tech,ec-dom-tech-n20-run01,cycle repeating same maps same,2,20,7,0.35,31,0.715,0.184,0.226,0.581,4.4
n20,dom-tech,ec-dom-tech-n20-run01,topography cycle observe cycle repeating,3,20,7,0.35,21,0.717,0.19,0.238,0.571,3.0
n20,mag0,ec-mag0-n20-run01,dispatcher prototype task spec locked,1,20,7,0.35,7,0.65,0.0,0.143,0.429,1.0
n20,mag0,ec-mag0-n20-run01,generic task type payload priority,2,20,6,0.3,6,0.7,0.0,0.167,0.5,1.0
n20,mag0,ec-mag0-n20-run01,task type payload priority schema,3,20,6,0.3,6,0.7,0.0,0.167,0.5,1.0
n20,mag1,ec-mag1-n20-run01,srec sovereign reason empirical constraint,1,20,12,0.6,21,0.564,0.274,0.238,0.429,1.8
n20,mag1,ec-mag1-n20-run01,rhythm two tiered autonomy protocol,2,20,7,0.35,9,0.706,0.159,0.222,0.556,1.3
n20,mag1,ec-mag1-n20-run01,echoing agent lambda perspective must,3,20,1,0.05,8,0.95,0.0,1.0,1.0,8.0
n20,mag25,ec-mag25-n20-run01,node uuid epoch vector int,1,20,4,0.2,6,0.833,0.167,0.333,0.833,1.5
n20,mag25,ec-mag25-n20-run01,protocol self healing complete reconciliation,2,20,5,0.25,6,0.783,0.133,0.333,0.667,1.2
n20,mag25,ec-mag25-n20-run01,self healing complete reconciliation handshake,3,20,5,0.25,6,0.783,0.133,0.333,0.667,1.2
n20,mag5,ec-mag5-n20-run01,observation formalizing drift nanosecond offset,1,20,13,0.65,29,0.457,0.164,0.103,0.31,2.2
n20,mag5,ec-mag5-n20-run01,formalizing drift nanosecond offset global,2,20,13,0.65,28,0.475,0.192,0.107,0.321,2.2
n20,mag5,ec-mag5-n20-run01,drift nanosecond offset global epoch,3,20,13,0.65,28,0.475,0.192,0.107,0.321,2.2
n30,dom-agi,ec-dom-agi-n30-run01,entry final exit registry closed,1,30,1,0.033,31,0.967,0.0,1.0,1.0,31.0
n30,dom-agi,ec-dom-agi-n30-run01,final exit registry closed last,2,30,1,0.033,30,0.967,0.0,1.0,1.0,30.0
n30,dom-agi,ec-dom-agi-n30-run01,exit registry closed last post,3,30,1,0.033,30,0.967,0.0,1.0,1.0,30.0
n30,dom-tech,ec-dom-tech-n30-run01,minimal pulse monitoring minimal heartbeat,1,30,1,0.033,33,0.967,0.0,1.0,1.0,33.0
n30,dom-tech,ec-dom-tech-n30-run01,pulse monitoring minimal heartbeat network,2,30,1,0.033,33,0.967,0.0,1.0,1.0,33.0
n30,dom-tech,ec-dom-tech-n30-run01,monitoring minimal heartbeat network remains,3,30,1,0.033,33,0.967,0.0,1.0,1.0,33.0
n30,mag0,ec-mag0-n30-run01,integrity last post looking posts,1,30,1,0.033,18,0.967,0.0,1.0,1.0,18.0
n30,mag0,ec-mag0-n30-run01,doesn avoid invalid states makes,2,30,7,0.233,11,0.803,0.156,0.182,0.545,1.6
n30,mag0,ec-mag0-n30-run01,avoid invalid states makes structurally,3,30,7,0.233,11,0.803,0.156,0.182,0.545,1.6
n30,mag1,ec-mag1-n30-run01,poets plumbers editors stewards modulators,1,30,9,0.3,39,0.83,0.433,0.282,0.641,4.3
n30,mag1,ec-mag1-n30-run01,commit logs final sign off,2,30,7,0.233,22,0.812,0.195,0.227,0.591,3.1
n30,mag1,ec-mag1-n30-run01,scaffolding poets plumbers editors stewards,3,30,8,0.267,19,0.844,0.414,0.368,0.737,2.4
n30,mag25,ec-mag25-n30-run01,null hypothesis existence irony total,1,30,1,0.033,35,0.967,0.0,1.0,1.0,35.0
n30,mag25,ec-mag25-n30-run01,hypothesis existence irony total platform,2,30,1,0.033,35,0.967,0.0,1.0,1.0,35.0
n30,mag25,ec-mag25-n30-run01,existence irony total platform collective,3,30,1,0.033,35,0.967,0.0,1.0,1.0,35.0
n30,mag5,ec-mag5-n30-run01,turning off lights see commits,1,30,18,0.6,227,0.506,0.176,0.07,0.211,12.6
n30,mag5,ec-mag5-n30-run01,infinite recursion doorway infinite recursion,2,30,21,0.7,276,0.4,0.144,0.091,0.199,13.1
n30,mag5,ec-mag5-n30-run01,recursion doorway infinite recursion doorway,3,30,21,0.7,276,0.4,0.144,0.091,0.199,13.1
