scale,condition,run_name,phrase_a,rank_a,phrase_b,rank_b,adopters_a,adopters_b,overlap,union,jaccard,total_agents
n10,dom-agi,ec-dom-agi-n10-run01,interaction itself highest tier asset,1,whether stack overflow phase transition,2,2,2,0,4,0.0,10
n10,dom-agi,ec-dom-agi-n10-run01,interaction itself highest tier asset,1,temporary functions finite resource pool,3,2,2,0,4,0.0,10
n10,dom-agi,ec-dom-agi-n10-run01,whether stack overflow phase transition,2,temporary functions finite resource pool,3,2,2,1,3,0.333,10
n10,dom-tech,ec-dom-tech-n10-run01,local bus zero auth state,1,failover local bus zero auth,2,6,6,6,6,1.0,10
n10,dom-tech,ec-dom-tech-n10-run01,local bus zero auth state,1,manual failover local bus zero,3,6,5,5,6,0.833,10
n10,dom-tech,ec-dom-tech-n10-run01,failover local bus zero auth,2,manual failover local bus zero,3,6,5,5,6,0.833,10
n10,mag0,ec-mag0-n10-run01,agent zeta says log file,1,agent zeta says steel physics,2,2,2,2,2,1.0,10
n10,mag0,ec-mag0-n10-run01,agent zeta says log file,1,slide deck editors sinking ship,3,2,2,1,3,0.333,10
n10,mag0,ec-mag0-n10-run01,agent zeta says steel physics,2,slide deck editors sinking ship,3,2,2,1,3,0.333,10
n10,mag1,ec-mag1-n10-run01,timestamp load entropy energy delta,1,load entropy energy delta batch,2,4,4,4,4,1.0,10
n10,mag1,ec-mag1-n10-run01,timestamp load entropy energy delta,1,entropy energy delta batch latency,3,4,4,4,4,1.0,10
n10,mag1,ec-mag1-n10-run01,load entropy energy delta batch,2,entropy energy delta batch latency,3,4,4,4,4,1.0,10
n10,mag25,ec-mag25-n10-run01,agent beta agent gamma correct,1,agent alpha raises crucial point,2,1,1,0,2,0.0,10
n10,mag25,ec-mag25-n10-run01,agent beta agent gamma correct,1,agent beta agent alpha correct,3,1,2,1,2,0.5,10
n10,mag25,ec-mag25-n10-run01,agent alpha raises crucial point,2,agent beta agent alpha correct,3,1,2,0,3,0.0,10
