scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n10,dom-agi,ec-dom-agi-n10-run01,0,0.0,15.0,82,0.9982,0.9982,9317.17
n10,dom-agi,ec-dom-agi-n10-run01,1,15.0,30.0,43,0.9961,0.9969,4621.28
n10,dom-agi,ec-dom-agi-n10-run01,2,30.0,45.0,46,0.9964,0.9957,4463.23
n10,dom-agi,ec-dom-agi-n10-run01,3,45.0,60.0,74,0.9981,0.9955,6821.1
n10,dom-tech,ec-dom-tech-n10-run01,0,0.0,15.0,81,0.9966,0.9966,9453.48
n10,dom-tech,ec-dom-tech-n10-run01,1,15.0,30.0,48,0.9972,0.9951,5050.15
n10,dom-tech,ec-dom-tech-n10-run01,2,30.0,45.0,60,0.9798,0.9889,5949.47
n10,dom-tech,ec-dom-tech-n10-run01,3,45.0,60.0,64,0.9962,0.9897,6333.36
n10,mag0,ec-mag0-n10-run01,0,0.0,15.0,106,0.9971,0.9971,8998.57
n10,mag0,ec-mag0-n10-run01,1,15.0,30.0,92,0.9898,0.991,9219.01
n10,mag0,ec-mag0-n10-run01,2,30.0,45.0,68,0.997,0.9914,7353.31
n10,mag0,ec-mag0-n10-run01,3,45.0,60.0,51,0.9959,0.9913,5354.42
n10,mag1,ec-mag1-n10-run01,0,0.0,15.0,102,0.9997,0.9997,7145.0
n10,mag1,ec-mag1-n10-run01,1,15.0,30.0,52,0.9993,0.9996,4095.01
n10,mag1,ec-mag1-n10-run01,2,30.0,45.0,47,1.0,0.9997,3458.0
n10,mag1,ec-mag1-n10-run01,3,45.0,60.0,65,1.0,0.9996,5069.0
n10,mag25,ec-mag25-n10-run01,0,0.0,15.0,90,0.9992,0.9992,8710.02
n10,mag25,ec-mag25-n10-run01,1,15.0,30.0,44,0.9986,0.9984,4138.03
n10,mag25,ec-mag25-n10-run01,2,30.0,45.0,48,0.9995,0.9978,4115.0
n10,mag25,ec-mag25-n10-run01,3,45.0,60.0,69,0.9979,0.9973,6086.13
n10,mag5,ec-mag5-n10-run01,0,0.0,15.0,82,0.9969,0.9969,7064.27
n10,mag5,ec-mag5-n10-run01,1,15.0,30.0,47,0.9993,0.9964,4282.01
n10,mag5,ec-mag5-n10-run01,2,30.0,45.0,41,0.9957,0.9954,3913.29
n10,mag5,ec-mag5-n10-run01,3,45.0,60.0,58,0.9939,0.9939,5152.78
