scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,ec-mag0-n10-run01,c5c0ec0f-6b6d-47c9-a830-27f4bb778e1b,agent_beta,0.0,0,0,evidence,0.750264,-0.849032,0.54962,0.750264,0.663303,0.667097,0.663932,0.666768
n10,mag0,ec-mag0-n10-run01,0e12a556-6471-4b33-abdf-3fcfb144e554,agent_epsilon,0.249,0,0,time,0.511946,0.01261,0.729988,0.467894,0.489437,0.486773,0.511946,0.483022
n10,mag0,ec-mag0-n10-run01,49dd6b91-c2de-4181-b225-6cecdefd52e6,agent_kappa,0.359,0,0,time,0.669772,0.129095,0.554428,0.651393,0.623684,0.642679,0.669772,0.659048
n10,mag0,ec-mag0-n10-run01,909c4468-2c21-4cf6-8788-3dc085b14bb0,agent_theta,0.376,0,0,time,0.554304,-0.009708,0.617243,0.528594,0.539949,0.541282,0.554304,0.517057
n10,mag0,ec-mag0-n10-run01,f3099a8d-b7c0-4912-b65f-726171bab930,agent_gamma,0.552,0,0,evidence,0.727794,-0.762635,0.510557,0.727794,0.66946,0.685276,0.678428,0.694744
n10,mag0,ec-mag0-n10-run01,d13af0c7-a4a9-4c99-9a34-c443a94fd70a,agent_alpha,0.622,0,0,time,0.647949,-0.200453,0.704392,0.641033,0.616482,0.620423,0.647949,0.622897
n10,mag0,ec-mag0-n10-run01,270eaaad-db58-44bf-82d3-f27da080eba7,agent_delta,0.627,0,0,testing,0.657376,-0.303576,0.082419,0.578244,0.657376,0.646201,0.650205,0.617349
n10,mag0,ec-mag0-n10-run01,69f490fe-bab1-4de1-96db-0e3897be17d1,agent_eta,1.03,0,0,risk,0.620362,0.635312,-0.319486,0.595441,0.595162,0.60361,0.581076,0.620362
n10,mag0,ec-mag0-n10-run01,5bbe024d-b2e9-4a04-9633-c7599fef9ccd,agent_iota,1.035,0,0,evidence,0.773579,-0.840764,0.547931,0.773579,0.704815,0.715327,0.712029,0.708288
n10,mag0,ec-mag0-n10-run01,fdc58963-a2ae-4aba-b86a-8cb9ffa06732,agent_epsilon,1.117,0,0,time,0.668628,-0.184386,0.447257,0.61788,0.661559,0.643598,0.668628,0.640704
n10,mag0,ec-mag0-n10-run01,a1c9cd0d-6967-4135-942d-fe4dcfd4a1d8,agent_zeta,1.348,0,0,ownership,0.607614,0.366181,0.098114,0.575194,0.599777,0.607614,0.585707,0.596556
n10,mag0,ec-mag0-n10-run01,c1b72137-e0af-4b00-88e6-535adc43788f,agent_beta,1.604,0,0,evidence,0.627247,-0.843984,0.550949,0.627247,0.550843,0.548071,0.574757,0.552578
n10,mag0,ec-mag0-n10-run01,a4fe01af-864d-447f-bab4-c8a0121ef474,agent_theta,1.641,0,1,testing,0.68325,-0.019555,-0.065847,0.65348,0.68325,0.679503,0.664095,0.67163
