scale,condition,run_name,label,bin_idx,bin_start,bin_end,n_posts,dominant_topic,dominant_share,concentration_hhi,share_evidence,share_testing,share_ownership,share_time,share_risk
n10,mag0,ec-mag0-n10-run01,10a Empty feed,0,0.0,15.0,106,testing,0.330189,0.249021,0.245283,0.330189,0.04717,0.245283,0.132075
n10,mag0,ec-mag0-n10-run01,10a Empty feed,1,15.0,30.0,92,testing,0.521739,0.366257,0.271739,0.521739,0.01087,0.076087,0.119565
n10,mag0,ec-mag0-n10-run01,10a Empty feed,2,30.0,45.0,68,testing,0.323529,0.262976,0.308824,0.323529,0.014706,0.161765,0.191176
n10,mag0,ec-mag0-n10-run01,10a Empty feed,3,45.0,60.0,51,evidence,0.333333,0.257209,0.333333,0.235294,0.039216,0.117647,0.27451
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,0,0.0,15.0,102,risk,0.264706,0.206651,0.166667,0.176471,0.176471,0.215686,0.264706
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,1,15.0,30.0,52,risk,0.269231,0.215237,0.192308,0.173077,0.115385,0.25,0.269231
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,2,30.0,45.0,47,risk,0.319149,0.226799,0.148936,0.234043,0.106383,0.191489,0.319149
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,3,45.0,60.0,65,risk,0.353846,0.23929,0.2,0.215385,0.092308,0.138462,0.353846
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,0,0.0,15.0,82,evidence,0.426829,0.308447,0.426829,0.317073,0.134146,0.04878,0.073171
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,1,15.0,30.0,47,testing,0.297872,0.224989,0.212766,0.297872,0.085106,0.170213,0.234043
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,2,30.0,45.0,41,testing,0.317073,0.2326,0.170732,0.317073,0.097561,0.146341,0.268293
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,3,45.0,60.0,58,testing,0.310345,0.260404,0.172414,0.310345,0.0,0.241379,0.275862
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,0,0.0,15.0,90,evidence,0.411111,0.280741,0.411111,0.066667,0.133333,0.111111,0.277778
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,1,15.0,30.0,44,evidence,0.454545,0.313017,0.454545,0.113636,0.022727,0.136364,0.272727
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,2,30.0,45.0,48,evidence,0.3125,0.258681,0.3125,0.166667,0.020833,0.3125,0.1875
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,3,45.0,60.0,69,evidence,0.318841,0.26234,0.318841,0.057971,0.072464,0.26087,0.289855
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,0,0.0,15.0,82,evidence,0.353659,0.270077,0.353659,0.134146,0.329268,0.121951,0.060976
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,1,15.0,30.0,43,testing,0.27907,0.217956,0.162791,0.27907,0.255814,0.186047,0.116279
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,2,30.0,45.0,46,testing,0.304348,0.214556,0.173913,0.304348,0.173913,0.195652,0.152174
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,3,45.0,60.0,74,evidence,0.243243,0.208912,0.243243,0.148649,0.22973,0.22973,0.148649
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,0,0.0,15.0,81,evidence,0.259259,0.214449,0.259259,0.111111,0.17284,0.209877,0.246914
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,1,15.0,30.0,48,risk,0.291667,0.224826,0.229167,0.166667,0.083333,0.229167,0.291667
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,2,30.0,45.0,60,testing,0.283333,0.236111,0.133333,0.283333,0.066667,0.266667,0.25
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,3,45.0,60.0,64,time,0.296875,0.241699,0.125,0.28125,0.0625,0.296875,0.234375
