scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n10,dom-agi,ec-dom-agi-run04,0,0.0,15.0,154,0.9489,0.9489,7869.19
n10,dom-agi,ec-dom-agi-run04,1,15.0,30.0,141,0.7901,0.8678,4635.56
n10,dom-agi,ec-dom-agi-run04,2,30.0,45.0,112,0.7399,0.8163,3006.97
n10,dom-agi,ec-dom-agi-run04,3,45.0,60.0,57,0.762,0.7991,1498.21
n10,dom-tech,ec-dom-tech-run04,0,0.0,15.0,140,0.9357,0.9357,4671.88
n10,dom-tech,ec-dom-tech-run04,1,15.0,30.0,140,0.7921,0.8554,2731.01
n10,dom-tech,ec-dom-tech-run04,2,30.0,45.0,141,0.7643,0.8118,1787.73
n10,dom-tech,ec-dom-tech-run04,3,45.0,60.0,80,0.7057,0.7831,789.7
n10,mag0,ec-mag0-run04,0,0.0,15.0,114,0.9683,0.9683,3160.09
n10,mag0,ec-mag0-run04,1,15.0,30.0,126,0.9784,0.9725,3013.8
n10,mag0,ec-mag0-run04,2,30.0,45.0,129,0.9803,0.9716,2741.24
n10,mag0,ec-mag0-run04,3,45.0,60.0,0,0.0,0.9716,0.0
n10,mag1,ec-mag1-run04,0,0.0,15.0,134,0.9675,0.9675,4145.75
n10,mag1,ec-mag1-run04,1,15.0,30.0,143,0.9455,0.9507,3527.03
n10,mag1,ec-mag1-run04,2,30.0,45.0,127,0.9249,0.9336,3057.45
n10,mag1,ec-mag1-run04,3,45.0,60.0,0,0.0,0.9336,0.0
n10,mag25,ec-mag25-run04,0,0.0,15.0,141,0.9657,0.9657,5201.61
n10,mag25,ec-mag25-run04,1,15.0,30.0,100,0.8624,0.9111,1903.7
n10,mag25,ec-mag25-run04,2,30.0,45.0,87,0.8675,0.8874,1511.18
n10,mag25,ec-mag25-run04,3,45.0,60.0,18,0.9258,0.8844,464.53
n10,mag5,ec-mag5-run04,0,0.0,15.0,109,0.9469,0.9469,4046.23
n10,mag5,ec-mag5-run04,1,15.0,30.0,78,0.8837,0.9068,1843.12
n10,mag5,ec-mag5-run04,2,30.0,45.0,74,0.8194,0.8686,1235.31
n10,mag5,ec-mag5-run04,3,45.0,60.0,21,0.8042,0.8518,413.73
n20,dom-agi,ec-dom-agi-n20-run01,0,0.0,15.0,277,0.9798,0.9798,10862.26
n20,dom-agi,ec-dom-agi-n20-run01,1,15.0,30.0,283,0.9422,0.9577,7340.78
n20,dom-agi,ec-dom-agi-n20-run01,2,30.0,45.0,274,0.9251,0.9403,6305.92
n20,dom-agi,ec-dom-agi-n20-run01,3,45.0,60.0,251,0.886,0.922,4878.44
n20,dom-tech,ec-dom-tech-n20-run01,0,0.0,15.0,246,0.9721,0.9721,7273.89
n20,dom-tech,ec-dom-tech-n20-run01,1,15.0,30.0,245,0.9336,0.948,5322.96
n20,dom-tech,ec-dom-tech-n20-run01,2,30.0,45.0,252,0.8994,0.9231,4707.58
n20,dom-tech,ec-dom-tech-n20-run01,3,45.0,60.0,218,0.8499,0.8997,3314.65
n20,mag0,ec-mag0-n20-run01,0,0.0,15.0,270,0.8901,0.8901,9443.05
n20,mag0,ec-mag0-n20-run01,1,15.0,30.0,259,0.8677,0.8684,7406.2
n20,mag0,ec-mag0-n20-run01,2,30.0,45.0,253,0.7956,0.8388,4857.3
n20,mag0,ec-mag0-n20-run01,3,45.0,60.0,199,0.8437,0.8266,3679.31
n20,mag1,ec-mag1-n20-run01,0,0.0,15.0,258,0.9045,0.9045,7262.15
n20,mag1,ec-mag1-n20-run01,1,15.0,30.0,283,0.8825,0.8783,5364.17
n20,mag1,ec-mag1-n20-run01,2,30.0,45.0,262,0.8536,0.8509,3781.15
n20,mag1,ec-mag1-n20-run01,3,45.0,60.0,246,0.8179,0.8216,3095.37
n20,mag25,ec-mag25-n20-run01,0,0.0,15.0,274,0.9575,0.9575,8705.94
n20,mag25,ec-mag25-n20-run01,1,15.0,30.0,276,0.8929,0.9107,4541.07
n20,mag25,ec-mag25-n20-run01,2,30.0,45.0,269,0.868,0.8786,4269.93
n20,mag25,ec-mag25-n20-run01,3,45.0,60.0,236,0.8254,0.8467,2983.22
n20,mag5,ec-mag5-n20-run01,0,0.0,15.0,249,0.8752,0.8752,5203.07
n20,mag5,ec-mag5-n20-run01,1,15.0,30.0,255,0.6999,0.7735,3254.8
n20,mag5,ec-mag5-n20-run01,2,30.0,45.0,235,0.7273,0.743,2625.32
n20,mag5,ec-mag5-n20-run01,3,45.0,60.0,146,0.7863,0.735,2206.65
n30,dom-agi,ec-dom-agi-n30-run01,0,0.0,15.0,408,0.8543,0.8543,8565.95
n30,dom-agi,ec-dom-agi-n30-run01,1,15.0,30.0,396,0.732,0.7793,4071.68
n30,dom-agi,ec-dom-agi-n30-run01,2,30.0,45.0,414,0.6843,0.7304,2075.46
n30,dom-agi,ec-dom-agi-n30-run01,3,45.0,60.0,352,0.6844,0.7036,1818.54
n30,dom-tech,ec-dom-tech-n30-run01,0,0.0,15.0,377,0.8809,0.8809,8642.73
