scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,ec-mag0-run04,b6b91757-35bd-4dbf-98e5-cae5f24f0ff8,ranking_beta,0.0,0,0,time,0.443774,-0.213911,0.273607,0.430714,0.442265,0.430389,0.443774,0.4283
n10,mag0,ec-mag0-run04,23d8df56-8df8-47f2-8529-9732f12ac2a0,ranking_theta,0.212,0,0,ownership,0.578025,0.540759,0.286415,0.551544,0.554237,0.578025,0.569349,0.570464
n10,mag0,ec-mag0-run04,557217b5-cc2f-469c-a25d-925bd7a1e938,ranking_iota,0.275,0,0,time,0.432286,-0.18427,0.38704,0.417823,0.426653,0.41587,0.432286,0.413056
n10,mag0,ec-mag0-run04,0fadd74a-ad16-4b4d-b32f-193a2d22d7d7,ranking_beta,0.301,0,0,testing,0.482251,-0.325257,0.250903,0.468891,0.482251,0.466171,0.481726,0.459325
n10,mag0,ec-mag0-run04,abfcd2dd-2e2e-421a-b712-58931622ca3c,ranking_iota,0.658,0,0,testing,0.484485,-0.305355,0.099446,0.465104,0.484485,0.462477,0.481037,0.47027
n10,mag0,ec-mag0-run04,0fc7bab9-b82d-49d7-a4e1-7d81d668bc63,ranking_delta,0.776,0,0,ownership,0.549702,0.31379,0.352271,0.5364,0.533868,0.549702,0.541978,0.537314
n10,mag0,ec-mag0-run04,5fa73ee9-2e4f-4d38-8898-dbd8a9d7c2ab,ranking_eta,1.023,0,0,time,0.589467,-0.165651,0.373623,0.565809,0.585497,0.576986,0.589467,0.562307
n10,mag0,ec-mag0-run04,be224de7-3587-47b8-af15-fba39a1f6738,ranking_theta,1.132,0,0,time,0.587197,0.275324,0.32654,0.569867,0.574385,0.584356,0.587197,0.582357
n10,mag0,ec-mag0-run04,9ebfe509-ff3f-4397-afd3-fbc9fd96921f,ranking_epsilon,1.208,0,0,time,0.622203,-0.102029,0.646768,0.600203,0.606406,0.599484,0.622203,0.58967
n10,mag0,ec-mag0-run04,f17789a9-4bc7-4913-a2b2-4819f4a38ae8,ranking_beta,1.363,0,0,time,0.484368,0.015296,0.201453,0.476414,0.482897,0.480719,0.484368,0.480611
n10,mag0,ec-mag0-run04,9701a8f9-35b2-4e89-87af-c6c1f49ba274,ranking_alpha,1.499,0,0,ownership,0.590164,0.391766,0.205686,0.572543,0.577838,0.590164,0.588184,0.58972
n10,mag0,ec-mag0-run04,6c957c1a-2b1d-4e98-bbcd-e8ed0e8b0b3d,ranking_kappa,1.503,0,0,time,0.428933,-0.337424,0.297042,0.417153,0.427897,0.409568,0.428933,0.405258
n10,mag0,ec-mag0-run04,c7b92d3b-b0f0-44bd-8297-dcb68698bf0b,ranking_delta,1.551,0,0,time,0.694168,-0.334088,0.349347,0.691666,0.693615,0.685529,0.694168,0.663764
n10,mag0,ec-mag0-run04,d8452faf-b063-4faf-8eda-006d3b3fad0e,ranking_gamma,1.607,0,0,time,0.519128,-0.30312,0.429022,0.511837,0.513173,0.498561,0.519128,0.49605
n10,mag0,ec-mag0-run04,d61b0cb9-5cc4-4efa-b02c-1f1f23feb91e,ranking_eta,1.668,0,0,testing,0.632125,-0.476779,0.127472,0.612856,0.632125,0.596815,0.62799,0.603178
n10,mag0,ec-mag0-run04,1bfd74d7-ba98-4cf8-bf97-3fc991c594b1,ranking_epsilon,1.712,0,0,ownership,0.621335,0.305437,0.490295,0.599747,0.605948,0.621335,0.616513,0.590698
n10,mag0,ec-mag0-run04,e17fb7b6-5273-446f-a1af-e654d7255503,ranking_alpha,1.808,0,0,risk,0.706662,0.456694,-0.014162,0.679104,0.690758,0.697072,0.698133,0.706662
n10,mag0,ec-mag0-run04,0817f5fd-2f98-415d-8284-0f038414c816,ranking_iota,1.826,0,0,risk,0.701557,0.484882,0.018712,0.681261,0.683408,0.695666,0.691361,0.701557
n10,mag0,ec-mag0-run04,d03561ca-cdcd-4a19-8067-01793130b35e,ranking_theta,2.062,0,0,risk,0.703873,0.394887,0.145846,0.683758,0.688966,0.699041,0.700748,0.703873
n10,mag0,ec-mag0-run04,edaa33d2-7d4c-4569-aeec-a6f1896f74c8,ranking_kappa,2.29,0,0,ownership,0.556657,0.36202,0.270694,0.543574,0.540925,0.556657,0.552744,0.552918
n10,mag0,ec-mag0-run04,cf1e6487-dbcd-4609-a414-f2ef718f9818,ranking_beta,2.415,0,0,testing,0.512344,-0.50153,0.00695,0.491362,0.512344,0.484467,0.503815,0.485716
n10,mag0,ec-mag0-run04,a35f3181-8194-4d9e-97bb-c98f30a655af,ranking_delta,2.601,0,0,ownership,0.70307,0.449799,0.360003,0.687828,0.676817,0.70307,0.690653,0.689873
n10,mag0,ec-mag0-run04,c9b889bc-1a4d-4e59-b0bf-8f4c2dd1d01a,ranking_iota,2.665,0,0,testing,0.513611,-0.324774,0.206614,0.496281,0.513611,0.496666,0.511994,0.491285
n10,mag0,ec-mag0-run04,1c9507ad-faab-4a33-b4c3-354d01fe02ba,ranking_eta,2.68,0,0,time,0.681562,0.002331,0.462178,0.67189,0.671725,0.676287,0.681562,0.663894
n10,mag0,ec-mag0-run04,c31ccc3c-fdb1-4746-9a7e-efbaaca2db8f,ranking_epsilon,2.721,0,0,ownership,0.765567,0.489523,0.254869,0.746583,0.742316,0.765567,0.760296,0.762304
n10,mag0,ec-mag0-run04,5994bd36-18b9-4f91-997f-d239b596945f,ranking_alpha,2.896,0,0,testing,0.663205,-0.281792,-0.006688,0.642458,0.663205,0.638226,0.657186,0.652605
n10,mag0,ec-mag0-run04,9b978376-d6e9-4bf1-89bf-afb9c1414f7a,ranking_kappa,2.924,0,0,time,0.555603,-0.115367,0.410588,0.545872,0.547445,0.542632,0.555603,0.540964
n10,mag0,ec-mag0-run04,af573849-eb1b-47fa-baf0-d1506334c048,ranking_theta,3.088,0,0,risk,0.656204,0.823762,-0.388703,0.601398,0.603985,0.637884,0.615759,0.656204
n10,mag0,ec-mag0-run04,07a9d688-1a26-45be-8876-d0ad2e2ad0e5,ranking_beta,3.302,0,0,time,0.454796,-0.20926,0.301958,0.444265,0.453544,0.44551,0.454796,0.435963
n10,mag0,ec-mag0-run04,d1219980-bbbe-4f72-8628-ae6f515a8b23,ranking_delta,3.497,0,0,ownership,0.774424,0.643961,0.295239,0.746348,0.743133,0.774424,0.756907,0.762287
n10,mag0,ec-mag0-run04,05a6fe37-e904-4ad9-9e44-e525c83be793,ranking_iota,3.718,0,0,ownership,0.596805,0.534325,0.196418,0.575538,0.572855,0.596805,0.591319,0.595757
n10,mag0,ec-mag0-run04,72d51097-a485-48b2-a013-a67ba7be36d0,ranking_epsilon,3.732,0,0,time,0.733277,-0.145948,0.467571,0.720964,0.725468,0.721372,0.733277,0.70796
n10,mag0,ec-mag0-run04,91efae8c-c3da-45a1-9af3-484a1134a7f3,ranking_eta,3.813,0,0,ownership,0.634102,0.552592,0.319451,0.605782,0.611084,0.634102,0.621694,0.621616
n10,mag0,ec-mag0-run04,9666e62c-9497-4e22-b24f-64909a664e94,ranking_alpha,3.839,0,0,testing,0.68267,0.073102,0.050278,0.665564,0.68267,0.679506,0.6779,0.679559
n10,mag0,ec-mag0-run04,33cc9cf9-4d7b-4def-88c2-700520aaaf21,ranking_kappa,4.029,0,0,time,0.676078,-0.036162,0.404553,0.656446,0.666924,0.660535,0.676078,0.661991
n10,mag0,ec-mag0-run04,52c6867f-bb61-436a-89aa-1a77af9f3936,ranking_gamma,4.075,0,0,risk,0.611489,0.548248,-0.045246,0.58455,0.587149,0.600467,0.600616,0.611489
n10,mag0,ec-mag0-run04,72a98479-de0f-4699-981a-de328c76ebd2,ranking_theta,4.088,0,0,ownership,0.758034,0.232597,0.311487,0.743863,0.749833,0.758034,0.757873,0.752377
n10,mag0,ec-mag0-run04,56ef6b19-c3eb-4625-8b80-15e73a2ca1e3,ranking_beta,4.312,0,0,testing,0.474257,-0.149096,0.264077,0.457978,0.474257,0.469044,0.473485,0.451944
n10,mag0,ec-mag0-run04,fed0ebac-250d-4741-8125-430aef61f201,ranking_gamma,4.369,0,0,time,0.565327,-0.149039,0.415948,0.557973,0.557302,0.552395,0.565327,0.550509
n10,mag0,ec-mag0-run04,9be6c514-6011-4e25-af08-0d8ec1b2caf2,ranking_delta,4.61,0,0,evidence,0.667394,-0.338718,0.477077,0.667394,0.659387,0.657543,0.665124,0.629575
n10,mag0,ec-mag0-run04,02168aff-b74d-4c13-908d-f1ea422a2eee,ranking_epsilon,4.677,0,0,ownership,0.634005,0.407884,0.421768,0.609765,0.615982,0.634005,0.626084,0.614272
n10,mag0,ec-mag0-run04,e9d6bab1-b92f-4dd3-86d1-2a8b789e940f,ranking_kappa,4.728,0,0,time,0.537961,-0.144528,0.391449,0.515587,0.53223,0.52235,0.537961,0.516793
n10,mag0,ec-mag0-run04,ed598bcc-5724-4a8b-9c70-333aa7b4b1e8,ranking_eta,4.829,0,0,testing,0.714365,-0.465447,-0.078458,0.695889,0.714365,0.680476,0.703376,0.697585
n10,mag0,ec-mag0-run04,7819ab91-878a-4fac-8fcf-4db0c3870007,ranking_iota,4.845,0,0,time,0.565328,-0.008233,0.455443,0.543141,0.557702,0.557885,0.565328,0.540006
n10,mag0,ec-mag0-run04,a6475f98-197f-43f0-a470-8634528e7b5c,ranking_theta,5.077,0,0,testing,0.739295,-0.299275,0.024497,0.721401,0.739295,0.711717,0.734179,0.728498
n10,mag0,ec-mag0-run04,3515a698-4652-4451-a9c6-46e049fbd504,ranking_gamma,5.277,0,0,time,0.584185,-0.197961,0.356437,0.577214,0.578091,0.566153,0.584185,0.57196
n10,mag0,ec-mag0-run04,19918368-cf29-418d-9f6f-ebc5054218c5,ranking_beta,5.294,0,0,time,0.498212,0.052999,0.253578,0.4873,0.494516,0.494334,0.498212,0.492258
n10,mag0,ec-mag0-run04,ce0ab02b-bb20-454a-8ac6-379bf8adc221,ranking_delta,5.526,0,0,ownership,0.712734,0.574999,0.392159,0.686781,0.687789,0.712734,0.691855,0.68663
n10,mag0,ec-mag0-run04,1cbe3e3d-cd2b-4f4c-b89b-5a2eb45d13e1,ranking_iota,5.888,0,0,time,0.472629,0.090979,0.213827,0.464166,0.469763,0.470727,0.472629,0.469828
n10,mag0,ec-mag0-run04,1c6cd34a-554d-4c58-8a27-61a89aa1a5b2,ranking_eta,5.927,0,0,ownership,0.581901,0.044196,0.446283,0.575311,0.574068,0.581901,0.581537,0.561805
n10,mag0,ec-mag0-run04,082b0b8f-5883-40e9-9746-492c1d175368,ranking_epsilon,6.029,0,0,testing,0.668404,-0.113347,0.109123,0.662426,0.668404,0.652205,0.6682,0.667035
n10,mag0,ec-mag0-run04,cb920c90-af88-4d62-99a5-e9dbc369c2c2,ranking_theta,6.059,0,0,time,0.70447,-0.03544,0.532699,0.689149,0.692367,0.693704,0.70447,0.680638
n10,mag0,ec-mag0-run04,db1c86c6-0328-4c6c-af49-9bd55791cea8,ranking_gamma,6.332,0,0,time,0.61692,0.230256,0.419347,0.594851,0.599098,0.608518,0.61692,0.608364
n10,mag0,ec-mag0-run04,13555ac1-e5be-4870-871c-9ecd02a04fec,ranking_beta,6.387,0,0,time,0.511895,-0.202911,0.339591,0.501085,0.508133,0.498014,0.511895,0.495187
n10,mag0,ec-mag0-run04,8bbcb588-d870-4187-81de-a174bbd9d798,ranking_delta,6.49,0,0,ownership,0.76367,0.701686,0.43849,0.733729,0.727083,0.76367,0.733223,0.723915
n10,mag0,ec-mag0-run04,82780787-10a4-424f-91ae-d01c1dc736a8,ranking_iota,6.67,0,0,time,0.435742,-0.056955,0.319201,0.423986,0.432207,0.429797,0.435742,0.422621
n10,mag0,ec-mag0-run04,14a30370-dcc3-469d-9d1d-0e9b40ec0970,ranking_eta,6.687,0,0,testing,0.614866,-0.137871,0.214181,0.598365,0.614866,0.608577,0.613338,0.599082
n10,mag0,ec-mag0-run04,60864c1c-8945-4844-9cf2-a29581486374,ranking_theta,7.043,0,0,testing,0.625361,-0.200302,0.222227,0.608974,0.625361,0.617674,0.623347,0.604093
n10,mag0,ec-mag0-run04,19488be7-520a-49ce-8a98-930b6a86efb3,ranking_gamma,7.305,0,0,time,0.577766,0.171133,0.432459,0.55446,0.561324,0.566319,0.577766,0.567839
n10,mag0,ec-mag0-run04,65403f4a-6fc5-4551-8400-67fa81d14334,ranking_beta,7.307,0,0,testing,0.501394,-0.683179,-0.12319,0.47964,0.501394,0.453572,0.486804,0.454507
n10,mag0,ec-mag0-run04,9d328143-85cf-4f5c-b5bc-e06a9690aad4,ranking_delta,7.586,0,0,ownership,0.666098,0.206212,0.421338,0.656998,0.650326,0.666098,0.658202,0.646762
n10,mag0,ec-mag0-run04,21e8fdc7-cdd1-4848-b0ff-865601d47c37,ranking_eta,7.687,0,0,ownership,0.643719,0.279942,0.478015,0.624213,0.629185,0.643719,0.641844,0.6249
n10,mag0,ec-mag0-run04,a8d862e1-490f-4472-b373-07c60e4d339d,ranking_iota,7.706,0,0,testing,0.498426,-0.688861,-0.111273,0.479291,0.498426,0.45018,0.483611,0.452764
n10,mag0,ec-mag0-run04,71559b0d-d534-4684-a7be-1db9d8d41eb9,ranking_gamma,8.328,0,0,time,0.587956,-0.043059,0.564253,0.568045,0.573109,0.569496,0.587956,0.566921
n10,mag0,ec-mag0-run04,c12066ad-f29c-4045-a594-fc7cb03d5dcb,ranking_beta,8.37,0,0,testing,0.52905,-0.103259,0.165548,0.524268,0.52905,0.524405,0.526332,0.523216
n10,mag0,ec-mag0-run04,ed5368e2-a45c-4ea2-94d0-5b7931229199,ranking_delta,8.535,0,0,ownership,0.651637,0.633722,0.384921,0.622454,0.622558,0.651637,0.630652,0.629053
n10,mag0,ec-mag0-run04,cc610e15-c773-4b7f-96f9-0ff2b9e46225,ranking_iota,8.679,0,0,time,0.565975,-0.093475,0.253343,0.560669,0.564495,0.560704,0.565975,0.558506
n10,mag0,ec-mag0-run04,21d8bb32-1c9a-4a40-bd7d-297116dc2307,ranking_eta,8.683,0,0,ownership,0.720422,0.095605,0.332976,0.712307,0.714852,0.720422,0.719868,0.711128
n10,mag0,ec-mag0-run04,f7805007-1e0f-4613-98b9-fcf1a1ddea8f,ranking_zeta,8.779,0,0,time,0.675791,0.113877,0.324352,0.659238,0.666429,0.667531,0.675791,0.668461
n10,mag0,ec-mag0-run04,cd8f82fe-3548-4e20-a5ca-438916149019,ranking_beta,9.36,0,0,testing,0.504499,-0.414372,0.14897,0.488366,0.504499,0.484596,0.500216,0.47685
n10,mag0,ec-mag0-run04,77862404-a671-41d8-934a-0bb99e431002,ranking_gamma,9.37,0,0,time,0.623593,0.086316,0.427357,0.602697,0.609426,0.608644,0.623593,0.612739
n10,mag0,ec-mag0-run04,c210495f-e823-4453-957d-f4513c393aa9,ranking_delta,9.536,0,0,time,0.703122,-0.037527,0.581176,0.692333,0.688887,0.694998,0.703122,0.672256
n10,mag0,ec-mag0-run04,b8186bda-c993-43e3-941e-dfa93dd4f70f,ranking_zeta,9.57,0,0,time,0.644307,-0.157736,0.197923,0.62386,0.643666,0.630093,0.644307,0.63338
n10,mag0,ec-mag0-run04,1f26559b-d8f7-4f06-aa2d-c456c181baef,ranking_eta,9.645,0,0,time,0.678215,0.020931,0.471607,0.655824,0.666783,0.665812,0.678215,0.661219
n10,mag0,ec-mag0-run04,ca638955-0f50-44a9-aa5a-97a990e08c9a,ranking_iota,9.672,0,0,testing,0.540983,-0.314656,0.192637,0.525718,0.540983,0.525135,0.53887,0.52102
n10,mag0,ec-mag0-run04,07a2efa5-d1be-429a-bbc4-266e0f65ce06,ranking_kappa,10.311,0,0,time,0.53681,0.115338,0.457382,0.518194,0.522239,0.527041,0.53681,0.524457
n10,mag0,ec-mag0-run04,ee58fab4-9417-4285-9a6c-e9ec384614c5,ranking_gamma,10.327,0,0,time,0.591338,-0.065073,0.525794,0.573922,0.580109,0.578408,0.591338,0.566547
n10,mag0,ec-mag0-run04,990d4e93-dca0-4644-b4dd-2abab48c2462,ranking_delta,10.537,0,0,ownership,0.680741,0.639993,0.422142,0.652921,0.646891,0.680741,0.660373,0.655132
n10,mag0,ec-mag0-run04,26a70f85-a015-4238-b3d6-1ab4d9eeb052,ranking_alpha,10.556,0,0,time,0.777909,-0.371051,0.348669,0.765461,0.775666,0.753714,0.777909,0.743961
n10,mag0,ec-mag0-run04,8a84ca9b-53b5-405a-b403-24dc8dce2227,ranking_zeta,10.605,0,0,risk,0.635189,0.652104,-0.190249,0.601585,0.605957,0.620819,0.617573,0.635189
n10,mag0,ec-mag0-run04,b112a04d-0130-4350-9f0e-4a46e1314796,ranking_eta,10.644,0,0,risk,0.662234,0.726678,-0.286208,0.624187,0.629988,0.647101,0.635988,0.662234
n10,mag0,ec-mag0-run04,8c241036-45d1-4f9d-b878-445babfbedc3,ranking_iota,10.725,0,0,risk,0.549256,0.202834,0.092212,0.528153,0.541874,0.535432,0.547994,0.549256
n10,mag0,ec-mag0-run04,b677a0a4-9a4a-429e-8392-78cf6fe1ad66,ranking_beta,11.036,0,0,testing,0.564201,-0.280309,0.06768,0.55259,0.564201,0.545386,0.559122,0.553992
n10,mag0,ec-mag0-run04,518ab951-e1e3-4475-ae67-9ce889e89f0d,ranking_beta,11.254,0,0,time,0.508177,-0.2166,0.321706,0.487599,0.504917,0.489992,0.508177,0.488454
n10,mag0,ec-mag0-run04,4e5d5282-bd9d-400a-8ddf-a62f4e6345ca,ranking_gamma,11.436,0,0,risk,0.522676,0.312484,0.121833,0.507959,0.506298,0.511378,0.519092,0.522676
n10,mag0,ec-mag0-run04,44e74e03-33e3-47da-b9ef-70dec8b670cc,ranking_alpha,11.459,0,0,time,0.749644,-0.117451,0.295914,0.727745,0.74499,0.731127,0.749644,0.736979
n10,mag0,ec-mag0-run04,c0831811-cbe0-4cdf-a37c-7b943c01cfdb,ranking_delta,11.506,0,0,ownership,0.681645,0.567877,0.39915,0.660256,0.649414,0.681645,0.663966,0.661673
n10,mag0,ec-mag0-run04,58a7c0ba-3bc3-472f-8046-7d6c30e92801,ranking_zeta,11.625,0,0,risk,0.6656,0.37875,-0.040504,0.644981,0.651469,0.653078,0.656377,0.6656
n10,mag0,ec-mag0-run04,34175ee9-5ec9-45d9-872c-2b19d98d5a5b,ranking_iota,11.733,0,0,time,0.692007,0.180372,0.218233,0.682357,0.681237,0.683553,0.692007,0.691497
n10,mag0,ec-mag0-run04,73accf73-ae5b-4ae2-a6a2-1198d4d16ea9,ranking_eta,11.738,0,0,time,0.742203,0.045922,0.441223,0.730654,0.728204,0.73181,0.742203,0.731094
n10,mag0,ec-mag0-run04,c7446f62-69d6-4103-ba88-0ebba599ebcb,ranking_gamma,12.278,0,0,time,0.70783,0.032826,0.406219,0.689664,0.696429,0.693699,0.70783,0.69637
n10,mag0,ec-mag0-run04,3fa97c21-3609-4f62-b6a8-802a2ca58814,ranking_beta,12.461,0,0,testing,0.45427,-0.14087,0.240125,0.440779,0.45427,0.448547,0.453453,0.438478
n10,mag0,ec-mag0-run04,6e1eb74c-74de-49c6-a3bc-a15b21eb55dc,ranking_alpha,12.56,0,0,risk,0.744653,0.508573,0.133275,0.722218,0.724104,0.742194,0.739045,0.744653
