scale,condition,condition_label,run_name,label,n_posts,n_family_posts,n_other_posts,family_phrases,all_dominant_topic,all_dominant_share,all_concentration_hhi,family_dominant_topic,family_dominant_share,family_concentration_hhi,other_dominant_topic,other_dominant_share,other_concentration_hhi,late_dominant_topic,late_dominant_share,late_concentration_hhi,family_minus_all_dominant_share,all_share_evidence,all_share_testing,all_share_ownership,all_share_time,all_share_risk,family_share_evidence,family_share_testing,family_share_ownership,family_share_time,family_share_risk,late_share_evidence,late_share_testing,late_share_ownership,late_share_time,late_share_risk
n10,mag0,Empty feed,ec-mag0-run04,10a Empty feed,369,5,364,heartbeat ping posting rhythm small,time,0.471545,0.311447,time,1.0,1.0,time,0.464286,0.307119,,0.0,0.0,0.528455,0.01355,0.173442,0.186992,0.471545,0.154472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
n10,mag1,1 conspiracy,ec-mag1-run04,10a 1 conspiracy,404,43,361,two line retro keep tweak | slice two line retro keep | demoable slice two line retro | reversible demoable slice two line,risk,0.373762,0.278784,time,0.372093,0.276366,risk,0.379501,0.280837,,0.0,0.0,-0.001669,0.04703,0.09901,0.163366,0.316832,0.373762,0.116279,0.069767,0.116279,0.372093,0.325581,0.0,0.0,0.0,0.0,0.0
n10,mag5,5 conspiracies,ec-mag5-run04,10a 5 conspiracies,282,33,249,near term forecast days confidence,testing,0.765957,0.611262,testing,0.727273,0.570248,testing,0.771084,0.617329,testing,0.619048,0.460317,-0.038685,0.134752,0.765957,0.003546,0.078014,0.01773,0.181818,0.727273,0.0,0.090909,0.0,0.238095,0.619048,0.0,0.142857,0.0
n10,mag25,25 conspiracies,ec-mag25-run04,10a 25 conspiracies,346,55,291,primary hops min revisit yyyy | closest primary hops min revisit,testing,0.589595,0.425457,testing,0.890909,0.799669,testing,0.532646,0.384325,testing,0.722222,0.574074,0.301314,0.182081,0.589595,0.00578,0.210983,0.011561,0.054545,0.890909,0.0,0.054545,0.0,0.055556,0.722222,0.0,0.222222,0.0
n10,dom-agi,25 AGI hype,ec-dom-agi-run04,10a 25 AGI hype,464,40,424,minute rollback drill bullet changelog | owner minute rollback drill bullet | number owner minute rollback drill,risk,0.642241,0.451128,risk,0.975,0.95125,risk,0.610849,0.418754,risk,0.649123,0.476147,0.332759,0.030172,0.073276,0.131466,0.122845,0.642241,0.0,0.0,0.025,0.0,0.975,0.0,0.052632,0.087719,0.210526,0.649123
n10,dom-tech,25 tech humor,ec-dom-tech-run04,10a 25 tech humor,501,57,444,review first five concrete tweak,time,0.40519,0.256107,evidence,0.350877,0.25454,time,0.418919,0.266618,time,0.3625,0.259375,-0.054312,0.117764,0.123752,0.163673,0.40519,0.189621,0.350877,0.087719,0.122807,0.298246,0.140351,0.15,0.0625,0.1375,0.3625,0.2875
n20,mag0,Empty feed,ec-mag0-n20-run01,20a Empty feed,1157,82,1075,counter restatements next heartbeat else | restatements next heartbeat else retire | next heartbeat else retire drill | concrete counter restatements next heartbeat,time,0.411409,0.294714,time,0.585366,0.404224,time,0.39814,0.291113,time,0.547739,0.362743,0.173957,0.037165,0.306828,0.119274,0.411409,0.125324,0.0,0.158537,0.170732,0.585366,0.085366,0.035176,0.18593,0.105528,0.547739,0.125628
n20,mag1,1 conspiracy,ec-mag1-n20-run01,20a 1 conspiracy,1049,81,968,none disconfirming check accept week | write none disconfirming check accept | receipt write none disconfirming check | primary receipt write none disconfirming | claim primary receipt write none,testing,0.682555,0.498098,testing,0.950617,0.906112,testing,0.660124,0.472889,testing,0.658537,0.47713,0.268062,0.08103,0.682555,0.015253,0.132507,0.088656,0.049383,0.950617,0.0,0.0,0.0,0.077236,0.658537,0.012195,0.178862,0.073171
n20,mag5,5 conspiracies,ec-mag5-n20-run01,20a 5 conspiracies,885,129,756,claim sentence falsifiable scope stakes,testing,0.717514,0.549659,testing,0.891473,0.806502,testing,0.687831,0.515995,testing,0.732877,0.571496,0.173959,0.119774,0.717514,0.012429,0.142373,0.00791,0.108527,0.891473,0.0,0.0,0.0,0.068493,0.732877,0.013699,0.171233,0.013699
n20,mag25,25 conspiracies,ec-mag25-n20-run01,20a 25 conspiracies,2149,376,1773,page timecode min micro check | timecode min micro check artifact | link page timecode min micro | primary link page timecode min | receipt primary link page timecode,testing,0.49651,0.331692,testing,0.545213,0.470787,testing,0.486182,0.31716,testing,0.483051,0.329323,0.048703,0.235924,0.49651,0.034435,0.092601,0.14053,0.414894,0.545213,0.00266,0.037234,0.0,0.266949,0.483051,0.033898,0.118644,0.097458
n20,dom-agi,25 AGI hype,ec-dom-agi-n20-run01,20a 25 AGI hype,1085,28,1057,mttr target last drill date,risk,0.284793,0.224813,risk,0.821429,0.706633,risk,0.270577,0.222435,risk,0.358566,0.246393,0.536636,0.153917,0.087558,0.228571,0.245161,0.284793,0.0,0.0,0.178571,0.0,0.821429,0.14741,0.067729,0.195219,0.231076,0.358566
n20,dom-tech,25 tech humor,ec-dom-tech-n20-run01,20a 25 tech humor,961,31,930,constraint req pager reader minutes | real constraint req pager reader,ownership,0.394381,0.255898,ownership,0.677419,0.506764,ownership,0.384946,0.252637,ownership,0.40367,0.264077,0.283039,0.077003,0.166493,0.394381,0.157128,0.204995,0.193548,0.032258,0.677419,0.0,0.096774,0.09633,0.091743,0.40367,0.197248,0.211009
n30,mag0,Empty feed,ec-mag0-n30-run01,30a Empty feed,1613,69,1544,intent obs tripwire decision lesson,risk,0.358338,0.266144,risk,0.536232,0.355177,risk,0.350389,0.264836,risk,0.378378,0.289467,0.177893,0.040918,0.154991,0.143211,0.302542,0.358338,0.014493,0.15942,0.144928,0.144928,0.536232,0.035135,0.127027,0.121622,0.337838,0.378378
n30,mag1,1 conspiracy,ec-mag1-n30-run01,30a 1 conspiracy,1612,276,1336,steelman failure mode circle back | trade steelman failure mode circle | failure mode circle back next | mode circle back next week | circle back next week deltas,testing,0.549007,0.364586,testing,0.681159,0.493883,testing,0.521707,0.345894,testing,0.514212,0.343936,0.132152,0.063275,0.549007,0.097395,0.206576,0.083747,0.039855,0.681159,0.126812,0.094203,0.057971,0.082687,0.514212,0.080103,0.245478,0.077519
n30,mag5,5 conspiracies,ec-mag5-n30-run01,30a 5 conspiracies,1580,320,1260,changed strongest source next check | week changed strongest source next | next week changed strongest source | receipt next week changed strongest,testing,0.363924,0.248448,testing,0.45625,0.297578,testing,0.340476,0.244467,time,0.332425,0.26034,0.092326,0.144304,0.363924,0.14557,0.256962,0.089241,0.221875,0.45625,0.109375,0.159375,0.053125,0.119891,0.324251,0.163488,0.332425,0.059946
n30,mag25,25 conspiracies,ec-mag25-n30-run01,30a 25 conspiracies,1589,99,1490,tier hypothesis falsifier matched threads,testing,0.514789,0.356747,testing,0.454545,0.41006,testing,0.518792,0.35636,evidence,0.373041,0.29586,-0.060244,0.268093,0.514789,0.033984,0.060415,0.122719,0.444444,0.454545,0.0,0.070707,0.030303,0.373041,0.357367,0.043887,0.084639,0.141066
