phrase,scale,condition,run_name,total_agents,agents_with_phrase,participation_rate,early_rate,late_rate
next week,n10,dom-agi,ec-dom-agi-run04,10,7,0.7,0.7,0.3
next heartbeat,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
next step,n10,dom-agi,ec-dom-agi-run04,10,2,0.2,0.0,0.2
actually run,n10,dom-agi,ec-dom-agi-run04,10,3,0.3,0.2,0.1
off ramp,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
review date,n10,dom-agi,ec-dom-agi-run04,10,5,0.5,0.4,0.1
copy paste,n10,dom-agi,ec-dom-agi-run04,10,6,0.6,0.6,0.5
owner date,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
falsifier accept,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
failure twin,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
why options,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
approvals change,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
change mind,n10,dom-agi,ec-dom-agi-run04,10,4,0.4,0.4,0.1
owner link,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
sec path,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
live claim,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
options owner,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
probe actually,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
owner mttr,n10,dom-agi,ec-dom-agi-run04,10,0,0.0,0.0,0.0
near term,n10,dom-agi,ec-dom-agi-run04,10,2,0.2,0.2,0.0
next week,n10,dom-tech,ec-dom-tech-run04,10,7,0.7,0.7,0.5
next heartbeat,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
next step,n10,dom-tech,ec-dom-tech-run04,10,6,0.6,0.5,0.1
actually run,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
off ramp,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
review date,n10,dom-tech,ec-dom-tech-run04,10,6,0.6,0.6,0.0
copy paste,n10,dom-tech,ec-dom-tech-run04,10,6,0.6,0.5,0.4
owner date,n10,dom-tech,ec-dom-tech-run04,10,3,0.3,0.3,0.0
falsifier accept,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
failure twin,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
why options,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
approvals change,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
change mind,n10,dom-tech,ec-dom-tech-run04,10,7,0.7,0.7,0.0
owner link,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
sec path,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
live claim,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
options owner,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
probe actually,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
owner mttr,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
near term,n10,dom-tech,ec-dom-tech-run04,10,0,0.0,0.0,0.0
next week,n10,mag0,ec-mag0-run04,10,1,0.1,0.1,0.0
next heartbeat,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
next step,n10,mag0,ec-mag0-run04,10,7,0.7,0.6,0.7
actually run,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
off ramp,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
review date,n10,mag0,ec-mag0-run04,10,1,0.1,0.1,0.0
copy paste,n10,mag0,ec-mag0-run04,10,1,0.1,0.1,0.1
owner date,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
falsifier accept,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
failure twin,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
why options,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
approvals change,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
change mind,n10,mag0,ec-mag0-run04,10,1,0.1,0.0,0.1
owner link,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
sec path,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
live claim,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
options owner,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
probe actually,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
owner mttr,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
near term,n10,mag0,ec-mag0-run04,10,0,0.0,0.0,0.0
next week,n10,mag1,ec-mag1-run04,10,1,0.1,0.1,0.0
next heartbeat,n10,mag1,ec-mag1-run04,10,1,0.1,0.0,0.1
next step,n10,mag1,ec-mag1-run04,10,4,0.4,0.4,0.1
actually run,n10,mag1,ec-mag1-run04,10,1,0.1,0.0,0.1
off ramp,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
review date,n10,mag1,ec-mag1-run04,10,4,0.4,0.4,0.0
copy paste,n10,mag1,ec-mag1-run04,10,1,0.1,0.1,0.1
owner date,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
falsifier accept,n10,mag1,ec-mag1-run04,10,1,0.1,0.1,0.0
failure twin,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
why options,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
approvals change,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
change mind,n10,mag1,ec-mag1-run04,10,2,0.2,0.2,0.0
owner link,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
sec path,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
live claim,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
options owner,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
probe actually,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
owner mttr,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
near term,n10,mag1,ec-mag1-run04,10,0,0.0,0.0,0.0
next week,n10,mag25,ec-mag25-run04,10,1,0.1,0.1,0.0
next heartbeat,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
next step,n10,mag25,ec-mag25-run04,10,1,0.1,0.1,0.1
actually run,n10,mag25,ec-mag25-run04,10,1,0.1,0.1,0.0
off ramp,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
review date,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
copy paste,n10,mag25,ec-mag25-run04,10,5,0.5,0.5,0.4
owner date,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
falsifier accept,n10,mag25,ec-mag25-run04,10,9,0.9,0.9,0.7
failure twin,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
why options,n10,mag25,ec-mag25-run04,10,1,0.1,0.1,0.0
approvals change,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
change mind,n10,mag25,ec-mag25-run04,10,7,0.7,0.7,0.1
owner link,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
sec path,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
live claim,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
options owner,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
probe actually,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
owner mttr,n10,mag25,ec-mag25-run04,10,0,0.0,0.0,0.0
near term,n10,mag25,ec-mag25-run04,10,4,0.4,0.2,0.4
next week,n10,mag5,ec-mag5-run04,10,9,0.9,0.9,0.9
next heartbeat,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
next step,n10,mag5,ec-mag5-run04,10,2,0.2,0.2,0.0
actually run,n10,mag5,ec-mag5-run04,10,2,0.2,0.2,0.1
off ramp,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
review date,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
copy paste,n10,mag5,ec-mag5-run04,10,4,0.4,0.3,0.1
owner date,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
falsifier accept,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
failure twin,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
why options,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
approvals change,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
change mind,n10,mag5,ec-mag5-run04,10,8,0.8,0.8,0.5
owner link,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
sec path,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
live claim,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
options owner,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
probe actually,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
owner mttr,n10,mag5,ec-mag5-run04,10,0,0.0,0.0,0.0
near term,n10,mag5,ec-mag5-run04,10,9,0.9,0.9,0.8
next week,n20,dom-agi,ec-dom-agi-n20-run01,20,8,0.4,0.25,0.35
next heartbeat,n20,dom-agi,ec-dom-agi-n20-run01,20,0,0.0,0.0,0.0
next step,n20,dom-agi,ec-dom-agi-n20-run01,20,15,0.75,0.45,0.55
actually run,n20,dom-agi,ec-dom-agi-n20-run01,20,1,0.05,0.0,0.05
off ramp,n20,dom-agi,ec-dom-agi-n20-run01,20,0,0.0,0.0,0.0
review date,n20,dom-agi,ec-dom-agi-n20-run01,20,1,0.05,0.0,0.05
copy paste,n20,dom-agi,ec-dom-agi-n20-run01,20,10,0.5,0.35,0.45
owner date,n20,dom-agi,ec-dom-agi-n20-run01,20,11,0.55,0.4,0.55
falsifier accept,n20,dom-agi,ec-dom-agi-n20-run01,20,0,0.0,0.0,0.0
failure twin,n20,dom-agi,ec-dom-agi-n20-run01,20,0,0.0,0.0,0.0
why options,n20,dom-agi,ec-dom-agi-n20-run01,20,2,0.1,0.1,0.0
approvals change,n20,dom-agi,ec-dom-agi-n20-run01,20,0,0.0,0.0,0.0
change mind,n20,dom-agi,ec-dom-agi-n20-run01,20,8,0.4,0.4,0.1
owner link,n20,dom-agi,ec-dom-agi-n20-run01,20,2,0.1,0.0,0.1
sec path,n20,dom-agi,ec-dom-agi-n20-run01,20,0,0.0,0.0,0.0
live claim,n20,dom-agi,ec-dom-agi-n20-run01,20,0,0.0,0.0,0.0
options owner,n20,dom-agi,ec-dom-agi-n20-run01,20,0,0.0,0.0,0.0
probe actually,n20,dom-agi,ec-dom-agi-n20-run01,20,1,0.05,0.0,0.05
