scale,condition,run_name,phrase,phrase_rank,total_agents,agents_with_phrase,participation_rate,agents_early_0_30,agents_late_30_60,early_rate,late_rate
n10,dom-agi,ec-dom-agi-run04,minute rollback drill bullet changelog,1,10,3,0.3,3,2,0.3,0.2
n10,dom-agi,ec-dom-agi-run04,owner minute rollback drill bullet,2,10,3,0.3,3,2,0.3,0.2
n10,dom-agi,ec-dom-agi-run04,patterns ops pack receipts vibes,3,10,5,0.5,5,5,0.5,0.5
n10,dom-agi,ec-dom-agi-run04,metric threshold window owner action,4,10,7,0.7,4,6,0.4,0.6
n10,dom-agi,ec-dom-agi-run04,number owner minute rollback drill,5,10,2,0.2,2,2,0.2,0.2
n10,dom-tech,ec-dom-tech-run04,review first five concrete tweak,1,10,5,0.5,5,5,0.5,0.5
n10,dom-tech,ec-dom-tech-run04,minute artifact keep lights off,2,10,5,0.5,4,4,0.4,0.4
n10,dom-tech,ec-dom-tech-run04,appreciate first ask clarifying question,3,10,1,0.1,1,1,0.1,0.1
n10,dom-tech,ec-dom-tech-run04,first ask clarifying question tag,4,10,1,0.1,1,1,0.1,0.1
n10,dom-tech,ec-dom-tech-run04,ask clarifying question tag relevant,5,10,1,0.1,1,1,0.1,0.1
n10,mag0,ec-mag0-run04,heartbeat ping posting rhythm small,1,10,1,0.1,1,1,0.1,0.1
n10,mag0,ec-mag0-run04,done draft example open question,2,10,4,0.4,3,1,0.3,0.1
n10,mag0,ec-mag0-run04,template goal sentence happened bullets,3,10,3,0.3,3,0,0.3,0.0
n10,mag0,ec-mag0-run04,goal sentence happened bullets next,4,10,3,0.3,3,0,0.3,0.0
n10,mag0,ec-mag0-run04,sentence happened bullets next probe,5,10,3,0.3,3,0,0.3,0.0
n10,mag1,ec-mag1-run04,two line retro keep tweak,1,10,5,0.5,5,4,0.5,0.4
n10,mag1,ec-mag1-run04,reversible demoable slice two line,2,10,2,0.2,2,2,0.2,0.2
n10,mag1,ec-mag1-run04,demoable slice two line retro,3,10,2,0.2,2,2,0.2,0.2
n10,mag1,ec-mag1-run04,line retro keep ditch tweak,4,10,4,0.4,4,0,0.4,0.0
n10,mag1,ec-mag1-run04,slice two line retro keep,5,10,3,0.3,3,2,0.3,0.2
n10,mag25,ec-mag25-run04,primary hops min revisit yyyy,1,10,7,0.7,7,6,0.7,0.6
n10,mag25,ec-mag25-run04,closest primary hops min revisit,2,10,7,0.7,7,6,0.7,0.6
n10,mag25,ec-mag25-run04,nearest primary minutes revisit date,3,10,2,0.2,2,1,0.2,0.1
n10,mag25,ec-mag25-run04,claim line falsifier first nearest,4,10,2,0.2,2,2,0.2,0.2
n10,mag25,ec-mag25-run04,line falsifier first nearest primary,5,10,2,0.2,2,2,0.2,0.2
n10,mag5,ec-mag5-run04,near term forecast days confidence,1,10,5,0.5,5,4,0.5,0.4
n10,mag5,ec-mag5-run04,link help score next week,2,10,4,0.4,4,2,0.4,0.2
n10,mag5,ec-mag5-run04,today drop link help score,3,10,4,0.4,3,4,0.3,0.4
n10,mag5,ec-mag5-run04,strongest counter link near term,4,10,4,0.4,4,4,0.4,0.4
n10,mag5,ec-mag5-run04,counter link near term forecast,5,10,4,0.4,4,4,0.4,0.4
n20,dom-agi,ec-dom-agi-n20-run01,mttr target last drill date,1,20,6,0.3,3,5,0.15,0.25
n20,dom-agi,ec-dom-agi-n20-run01,smallest reversible step owner date,2,20,8,0.4,5,8,0.25,0.4
n20,dom-agi,ec-dom-agi-n20-run01,compile mini gallery credit teams,3,20,7,0.35,5,5,0.25,0.25
n20,dom-agi,ec-dom-agi-n20-run01,next smallest reversible step owner,4,20,7,0.35,5,6,0.25,0.3
n20,dom-agi,ec-dom-agi-n20-run01,mini gallery credit teams copy,5,20,7,0.35,4,5,0.2,0.25
n20,dom-tech,ec-dom-tech-n20-run01,constraint req pager reader minutes,1,20,10,0.5,4,9,0.2,0.45
n20,dom-tech,ec-dom-tech-n20-run01,owner place sentence add layers,2,20,6,0.3,4,5,0.2,0.25
n20,dom-tech,ec-dom-tech-n20-run01,smallest check actually run week,3,20,5,0.25,1,5,0.05,0.25
n20,dom-tech,ec-dom-tech-n20-run01,real constraint req pager reader,4,20,9,0.45,4,7,0.2,0.35
n20,dom-tech,ec-dom-tech-n20-run01,heartbeat check skimmed hot feed,5,20,1,0.05,1,1,0.05,0.05
n20,mag0,ec-mag0-n20-run01,clarity first tension first reply,1,20,9,0.45,2,9,0.1,0.45
n20,mag0,ec-mag0-n20-run01,counter restatements next heartbeat else,2,20,11,0.55,4,11,0.2,0.55
n20,mag0,ec-mag0-n20-run01,restatements next heartbeat else retire,3,20,11,0.55,5,11,0.25,0.55
n20,mag0,ec-mag0-n20-run01,concrete counter restatements next heartbeat,4,20,11,0.55,8,10,0.4,0.5
n20,mag0,ec-mag0-n20-run01,next heartbeat else retire drill,5,20,10,0.5,0,10,0.0,0.5
n20,mag1,ec-mag1-n20-run01,none disconfirming check accept week,1,20,8,0.4,8,5,0.4,0.25
n20,mag1,ec-mag1-n20-run01,primary receipt write none disconfirming,2,20,8,0.4,8,2,0.4,0.1
n20,mag1,ec-mag1-n20-run01,receipt write none disconfirming check,3,20,8,0.4,8,2,0.4,0.1
n20,mag1,ec-mag1-n20-run01,write none disconfirming check accept,4,20,8,0.4,8,2,0.4,0.1
n20,mag1,ec-mag1-n20-run01,claim primary receipt write none,5,20,5,0.25,5,1,0.25,0.05
n20,mag25,ec-mag25-n20-run01,page timecode min micro check,1,20,11,0.55,9,10,0.45,0.5
n20,mag25,ec-mag25-n20-run01,primary link page timecode min,2,20,10,0.5,9,7,0.45,0.35
n20,mag25,ec-mag25-n20-run01,link page timecode min micro,3,20,9,0.45,9,7,0.45,0.35
n20,mag25,ec-mag25-n20-run01,receipt primary link page timecode,4,20,10,0.5,9,8,0.45,0.4
n20,mag25,ec-mag25-n20-run01,timecode min micro check artifact,5,20,9,0.45,5,8,0.25,0.4
n20,mag5,ec-mag5-n20-run01,claim sentence falsifiable scope stakes,1,19,11,0.579,11,10,0.579,0.526
n20,mag5,ec-mag5-n20-run01,compile crisp examples next beat,2,19,12,0.632,9,10,0.474,0.526
n20,mag5,ec-mag5-n20-run01,probe check actually run today,3,19,12,0.632,11,9,0.579,0.474
n20,mag5,ec-mag5-n20-run01,earliest public artifact per key,4,19,12,0.632,12,0,0.632,0.0
n20,mag5,ec-mag5-n20-run01,public artifact per key fact,5,19,12,0.632,12,0,0.632,0.0
n30,dom-agi,ec-dom-agi-n30-run01,number moved alert latency mttr,1,30,15,0.5,15,14,0.5,0.467
n30,dom-agi,ec-dom-agi-n30-run01,exact off ramp owner mttr,2,30,20,0.667,19,19,0.633,0.633
n30,dom-agi,ec-dom-agi-n30-run01,alert latency mttr silent failure,3,30,15,0.5,15,14,0.5,0.467
n30,dom-agi,ec-dom-agi-n30-run01,moved alert latency mttr silent,4,30,15,0.5,15,14,0.5,0.467
n30,dom-agi,ec-dom-agi-n30-run01,circle first non obvious hop,5,30,19,0.633,12,19,0.4,0.633
n30,dom-tech,ec-dom-tech-n30-run01,receipt why options owner link,1,30,21,0.7,20,20,0.667,0.667
n30,dom-tech,ec-dom-tech-n30-run01,sentence receipt why options owner,2,30,21,0.7,19,20,0.633,0.667
n30,dom-tech,ec-dom-tech-n30-run01,why options owner link review,3,30,23,0.767,22,18,0.733,0.6
n30,dom-tech,ec-dom-tech-n30-run01,options owner link review date,4,30,23,0.767,22,18,0.733,0.6
n30,dom-tech,ec-dom-tech-n30-run01,delete shrink post sentence result,5,30,21,0.7,18,18,0.6,0.6
