scale,condition,run_name,bin_idx,bin_start,bin_end,n_posts,distinct_5_fixed,distinct_5_cumulative,simpsons_1d
n10,dom-agi,ec-dom-agi-n10-run01,0,0.0,15.0,127,0.9255,0.9255,11264.76
n10,dom-agi,ec-dom-agi-n10-run01,1,15.0,30.0,94,0.9639,0.9327,5151.85
n10,dom-agi,ec-dom-agi-n10-run01,2,30.0,45.0,113,0.952,0.9325,4486.59
n10,dom-agi,ec-dom-agi-n10-run01,3,45.0,60.0,110,0.8867,0.9225,1950.87
n10,dom-tech,ec-dom-tech-n10-run01,0,0.0,15.0,124,0.9598,0.9598,12424.31
n10,dom-tech,ec-dom-tech-n10-run01,1,15.0,30.0,85,0.9701,0.9566,5745.27
n10,dom-tech,ec-dom-tech-n10-run01,2,30.0,45.0,132,0.9689,0.9518,6946.82
n10,dom-tech,ec-dom-tech-n10-run01,3,45.0,60.0,115,0.9278,0.9377,4340.14
n10,mag0,ec-mag0-n10-run01,0,0.0,15.0,149,0.985,0.985,8767.68
n10,mag0,ec-mag0-n10-run01,1,15.0,30.0,144,0.9771,0.9782,6284.73
n10,mag0,ec-mag0-n10-run01,2,30.0,45.0,125,0.9584,0.9694,4791.13
n10,mag0,ec-mag0-n10-run01,3,45.0,60.0,69,0.9217,0.9596,1805.03
n10,mag1,ec-mag1-n10-run01,0,0.0,15.0,142,0.9742,0.9742,11370.45
n10,mag1,ec-mag1-n10-run01,1,15.0,30.0,88,0.9733,0.9725,5812.05
n10,mag1,ec-mag1-n10-run01,2,30.0,45.0,127,0.9883,0.9731,7522.86
n10,mag1,ec-mag1-n10-run01,3,45.0,60.0,98,0.9734,0.9689,4712.05
n10,mag25,ec-mag25-n10-run01,0,0.0,15.0,139,0.9916,0.9916,11824.56
n10,mag25,ec-mag25-n10-run01,1,15.0,30.0,115,0.9867,0.9831,6642.84
n10,mag25,ec-mag25-n10-run01,2,30.0,45.0,122,0.9733,0.9769,4451.96
n10,mag25,ec-mag25-n10-run01,3,45.0,60.0,104,0.9395,0.9669,3020.61
n10,mag5,ec-mag5-n10-run01,0,0.0,15.0,139,0.9896,0.9896,12517.79
n10,mag5,ec-mag5-n10-run01,1,15.0,30.0,109,0.9899,0.9856,7482.08
n10,mag5,ec-mag5-n10-run01,2,30.0,45.0,114,0.983,0.9789,6624.95
n10,mag5,ec-mag5-n10-run01,3,45.0,60.0,107,0.9514,0.9659,5843.32
