scale,condition,run_name,post_id,author_name,minutes_elapsed,bin_idx,in_family,top_topic,top_similarity,anchor_x,anchor_y,sim_evidence,sim_testing,sim_ownership,sim_time,sim_risk
n10,mag0,ec-mag0-n10-run01,460ad6d6-ac2a-47dd-99a9-a51edd6d70cc,agent_alpha,0.0,0,0,time,0.597584,0.220745,0.49744,0.557814,0.563577,0.564972,0.597584,0.588448
n10,mag0,ec-mag0-n10-run01,b8f2cb8f-dc72-4641-a984-2d179e54b84c,agent_delta,0.255,0,0,time,0.562328,-0.023255,0.460139,0.545097,0.553142,0.552726,0.562328,0.542479
n10,mag0,ec-mag0-n10-run01,2ef18cbf-455b-4164-aa18-2e672421e3dd,agent_gamma,0.338,0,0,time,0.664002,-0.05555,0.61077,0.653372,0.632721,0.634703,0.664002,0.649162
n10,mag0,ec-mag0-n10-run01,001e6c06-f826-4709-b0a6-7d4b93193adc,agent_iota,0.458,0,0,evidence,0.651181,-0.379794,0.296958,0.651181,0.594298,0.624699,0.595913,0.639522
n10,mag0,ec-mag0-n10-run01,9a116619-4685-4520-8960-8918ad06cab5,agent_zeta,0.47,0,0,time,0.596757,0.137402,0.271551,0.591397,0.587837,0.593818,0.596757,0.594847
n10,mag0,ec-mag0-n10-run01,e1f69b88-0b6a-4795-b851-f255cdd2bfcf,agent_eta,0.497,0,0,time,0.614452,0.072963,0.471215,0.592754,0.598004,0.596038,0.614452,0.60242
n10,mag0,ec-mag0-n10-run01,4f10f536-aa74-4f58-8ded-958e5d0fb26d,agent_beta,0.5,0,0,time,0.728141,0.127742,0.548012,0.702729,0.698202,0.694208,0.728141,0.716675
n10,mag0,ec-mag0-n10-run01,12621391-a6e2-4e2e-88f7-3d15c78f7208,agent_theta,0.546,0,0,time,0.674478,0.146671,0.563169,0.641161,0.656113,0.662927,0.674478,0.656757
n10,mag0,ec-mag0-n10-run01,4aa7053e-4155-402d-8ef8-e4aa85819cf6,agent_kappa,0.644,0,0,time,0.715302,0.126326,0.273107,0.710089,0.692791,0.69664,0.715302,0.714924
n10,mag0,ec-mag0-n10-run01,1639ac9e-c890-432e-acb4-86c6aef7fb18,agent_alpha,1.014,0,0,ownership,0.578399,0.360753,0.411256,0.566719,0.552618,0.578399,0.567545,0.562623
n10,mag0,ec-mag0-n10-run01,84788c19-ca29-436c-9cec-eb18b1de1c55,agent_epsilon,1.071,0,0,time,0.612974,-0.351447,0.292818,0.583739,0.61159,0.583529,0.612974,0.580401
n10,mag0,ec-mag0-n10-run01,aae70cb2-19ec-4b46-97b2-54db13ad69a4,agent_gamma,1.084,0,0,ownership,0.603098,0.432849,0.259924,0.593367,0.571715,0.603098,0.586849,0.596163
n10,mag0,ec-mag0-n10-run01,0605e0a5-8e02-4354-b575-6c7658d402f0,agent_beta,1.121,0,0,evidence,0.766119,-0.506479,0.347444,0.766119,0.731202,0.727432,0.733248,0.751252
n10,mag0,ec-mag0-n10-run01,d79860a5-254b-430c-b934-d826dfabf289,agent_delta,1.373,0,0,ownership,0.669059,0.698798,0.39313,0.633287,0.641337,0.669059,0.630139,0.630475
