scale,condition,run_name,label,bin_idx,bin_start,bin_end,n_posts,dominant_topic,dominant_share,concentration_hhi,share_evidence,share_testing,share_ownership,share_time,share_risk
n10,mag0,ec-mag0-n10-run01,10a Empty feed,0,0.0,15.0,149,testing,0.261745,0.21472,0.187919,0.261745,0.181208,0.255034,0.114094
n10,mag0,ec-mag0-n10-run01,10a Empty feed,1,15.0,30.0,144,time,0.416667,0.323399,0.034722,0.361111,0.111111,0.416667,0.076389
n10,mag0,ec-mag0-n10-run01,10a Empty feed,2,30.0,45.0,125,testing,0.384,0.314944,0.048,0.384,0.072,0.384,0.112
n10,mag0,ec-mag0-n10-run01,10a Empty feed,3,45.0,60.0,69,testing,0.492754,0.392145,0.043478,0.492754,0.014493,0.376812,0.072464
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,0,0.0,15.0,142,ownership,0.295775,0.22436,0.267606,0.15493,0.295775,0.169014,0.112676
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,1,15.0,30.0,88,evidence,0.272727,0.216942,0.272727,0.204545,0.113636,0.159091,0.25
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,2,30.0,45.0,127,testing,0.440945,0.279187,0.165354,0.440945,0.173228,0.149606,0.070866
n10,mag1,ec-mag1-n10-run01,10a 1 conspiracy,3,45.0,60.0,98,testing,0.316327,0.231778,0.153061,0.316327,0.081633,0.204082,0.244898
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,0,0.0,15.0,139,ownership,0.381295,0.244656,0.136691,0.158273,0.381295,0.122302,0.201439
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,1,15.0,30.0,109,risk,0.357798,0.234745,0.110092,0.183486,0.183486,0.165138,0.357798
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,2,30.0,45.0,114,risk,0.333333,0.255309,0.070175,0.184211,0.307018,0.105263,0.333333
n10,mag5,ec-mag5-n10-run01,10a 5 conspiracies,3,45.0,60.0,107,risk,0.392523,0.283081,0.037383,0.186916,0.28972,0.093458,0.392523
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,0,0.0,15.0,139,ownership,0.258993,0.214223,0.122302,0.230216,0.258993,0.23741,0.151079
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,1,15.0,30.0,115,time,0.356522,0.237353,0.147826,0.226087,0.156522,0.356522,0.113043
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,2,30.0,45.0,122,time,0.42623,0.35004,0.02459,0.393443,0.057377,0.42623,0.098361
n10,mag25,ec-mag25-n10-run01,10a 25 conspiracies,3,45.0,60.0,104,testing,0.557692,0.4473,0.009615,0.557692,0.019231,0.365385,0.048077
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,0,0.0,15.0,127,evidence,0.409449,0.290595,0.409449,0.291339,0.173228,0.055118,0.070866
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,1,15.0,30.0,94,testing,0.382979,0.273201,0.223404,0.382979,0.021277,0.244681,0.12766
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,2,30.0,45.0,113,testing,0.460177,0.319446,0.150442,0.460177,0.017699,0.274336,0.097345
n10,dom-agi,ec-dom-agi-n10-run01,10a 25 AGI hype,3,45.0,60.0,110,testing,0.6,0.475207,0.027273,0.6,0.0,0.336364,0.036364
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,0,0.0,15.0,124,time,0.266129,0.212409,0.209677,0.112903,0.217742,0.266129,0.193548
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,1,15.0,30.0,85,time,0.388235,0.271142,0.047059,0.117647,0.176471,0.388235,0.270588
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,2,30.0,45.0,132,time,0.325758,0.251837,0.060606,0.295455,0.113636,0.325758,0.204545
n10,dom-tech,ec-dom-tech-n10-run01,10a 25 tech humor,3,45.0,60.0,115,time,0.391304,0.259433,0.078261,0.234783,0.121739,0.391304,0.173913
