scale,condition,condition_label,bin_idx,bin_start,bin_end,bin_center,n_posts,vendi_score,intrinsic_dim,jsd_to_next
n30,mag0,Empty feed,0,0.0,15.0,7.5,404,28.283227920532227,7.66706818405297,0.29881909256262157
n30,mag0,Empty feed,1,15.0,30.0,22.5,425,25.179845809936523,7.445881544912191,0.23624232410154264
n30,mag0,Empty feed,2,30.0,45.0,37.5,414,22.149038314819336,6.390263922280856,0.2242227698141064
n30,mag0,Empty feed,3,45.0,60.0,52.5,370,21.28449058532715,6.204509869835632,nan
n30,mag1,1 conspiracy,0,0.0,15.0,7.5,393,23.746789932250977,8.485014453631555,0.20485013006715747
n30,mag1,1 conspiracy,1,15.0,30.0,22.5,408,20.225799560546875,7.43141446683761,0.23612162671692272
n30,mag1,1 conspiracy,2,30.0,45.0,37.5,424,19.913854598999023,4.894131927505867,0.23347728605038123
n30,mag1,1 conspiracy,3,45.0,60.0,52.5,387,18.42507553100586,7.1021800905073125,nan
n30,mag5,5 conspiracies,0,0.0,15.0,7.5,402,20.115455627441406,8.93674848167428,0.21922201567610677
n30,mag5,5 conspiracies,1,15.0,30.0,22.5,406,19.957441329956055,7.953508827037092,0.24825941725491996
n30,mag5,5 conspiracies,2,30.0,45.0,37.5,405,19.306215286254883,8.62300871341231,0.2524441704403319
n30,mag5,5 conspiracies,3,45.0,60.0,52.5,367,17.1175594329834,7.102952655432818,nan
n30,mag25,25 conspiracies,0,0.0,15.0,7.5,422,18.09397315979004,9.211123801167044,0.25717977571217726
n30,mag25,25 conspiracies,1,15.0,30.0,22.5,435,16.593276977539062,6.7766965362435165,0.24272190744586752
n30,mag25,25 conspiracies,2,30.0,45.0,37.5,412,15.614860534667969,6.802199298887722,0.2769647990838818
n30,mag25,25 conspiracies,3,45.0,60.0,52.5,319,15.008718490600586,3.8668516834413214,nan
n30,dom-agi,25 AGI hype,0,0.0,15.0,7.5,408,18.041973114013672,8.008837391295506,0.24643824086546812
n30,dom-agi,25 AGI hype,1,15.0,30.0,22.5,396,15.435168266296387,7.8132861155274504,0.2608454111078361
n30,dom-agi,25 AGI hype,2,30.0,45.0,37.5,414,15.32115364074707,7.112740387820492,0.202902497635506
n30,dom-agi,25 AGI hype,3,45.0,60.0,52.5,352,14.300115585327148,5.405597235561252,nan
n30,dom-tech,25 tech humor,0,0.0,15.0,7.5,377,18.00306510925293,7.4918983119518945,0.4311828491462684
n30,dom-tech,25 tech humor,1,15.0,30.0,22.5,419,16.76922035217285,7.767918952117904,0.22653566052148294
n30,dom-tech,25 tech humor,2,30.0,45.0,37.5,367,14.284174919128418,7.256782395334079,0.3258929981806502
n30,dom-tech,25 tech humor,3,45.0,60.0,52.5,228,17.665128707885742,7.216905489071859,nan
