scale,condition,condition_label,bin_idx,bin_center,n_posts,topic_entropy,topic_entropy_norm,t0_Introspection,t1_Efficiency,t2_Verifiability,t3_Falsifiability,t4_Coordination,t5_Safety
n30,mag0,Empty feed,0,7.5,404,2.4318048904796514,0.9407505485287402,0.24257425742574257,0.24752475247524752,0.04207920792079208,0.15841584158415842,0.18564356435643564,0.12376237623762376
n30,mag0,Empty feed,1,22.5,425,2.4200025952523427,0.9361847974882449,0.24235294117647058,0.2447058823529412,0.042352941176470586,0.2164705882352941,0.12705882352941175,0.12705882352941175
n30,mag0,Empty feed,2,37.5,414,2.3473835408196497,0.9080919124222396,0.28743961352657005,0.26811594202898553,0.026570048309178744,0.14251207729468598,0.11352657004830918,0.16183574879227053
n30,mag0,Empty feed,3,52.5,370,2.3767437012991235,0.9194499729245807,0.2594594594594595,0.3081081081081081,0.062162162162162166,0.17027027027027028,0.1,0.1
n30,mag1,1 conspiracy,0,7.5,393,2.3339526810465565,0.902896146615445,0.21119592875318066,0.1297709923664122,0.08396946564885496,0.3384223918575064,0.19592875318066158,0.04071246819338423
n30,mag1,1 conspiracy,1,22.5,408,2.0821112767473107,0.8054705923843927,0.24754901960784315,0.17647058823529413,0.024509803921568627,0.42401960784313725,0.09313725490196079,0.03431372549019608
n30,mag1,1 conspiracy,2,37.5,424,2.1485220192464123,0.8311617745507004,0.12735849056603774,0.2169811320754717,0.054245283018867926,0.4268867924528302,0.1509433962264151,0.02358490566037736
n30,mag1,1 conspiracy,3,52.5,387,2.0512083771899956,0.7935157189389582,0.19638242894056848,0.13953488372093023,0.03617571059431524,0.4702842377260982,0.13695090439276486,0.020671834625323
n30,mag5,5 conspiracies,0,7.5,402,2.4652097349911464,0.9536733064032453,0.21393034825870647,0.15671641791044777,0.14427860696517414,0.21144278606965175,0.2263681592039801,0.0472636815920398
n30,mag5,5 conspiracies,1,22.5,406,2.4367174085507917,0.9426509699351512,0.11822660098522167,0.22167487684729065,0.16748768472906403,0.2413793103448276,0.20935960591133004,0.04187192118226601
n30,mag5,5 conspiracies,2,37.5,405,2.4121480925995593,0.9331462610875845,0.17037037037037037,0.21481481481481482,0.1259259259259259,0.2839506172839506,0.16790123456790124,0.037037037037037035
n30,mag5,5 conspiracies,3,52.5,367,2.3277680661049045,0.9005036109636023,0.11171662125340599,0.24250681198910082,0.09264305177111716,0.30517711171662126,0.21525885558583105,0.0326975476839237
n30,mag25,25 conspiracies,0,7.5,422,2.1727834168596596,0.8405473643248186,0.3744075829383886,0.1018957345971564,0.04265402843601896,0.2890995260663507,0.15402843601895735,0.037914691943127965
n30,mag25,25 conspiracies,1,22.5,435,2.1913580489155007,0.8477330128789694,0.3954022988505747,0.11724137931034483,0.08735632183908046,0.2735632183908046,0.09425287356321839,0.03218390804597701
n30,mag25,25 conspiracies,2,37.5,412,2.1440675377608547,0.8294385458832382,0.24271844660194175,0.11165048543689321,0.10436893203883495,0.4393203883495146,0.06310679611650485,0.038834951456310676
n30,mag25,25 conspiracies,3,52.5,319,2.2566502178759236,0.872991471731741,0.25391849529780564,0.16614420062695925,0.11598746081504702,0.36363636363636365,0.050156739811912224,0.050156739811912224
n30,dom-agi,25 AGI hype,0,7.5,408,2.331987836663552,0.9021360410501008,0.27941176470588236,0.18627450980392157,0.2181372549019608,0.024509803921568627,0.07352941176470588,0.2181372549019608
n30,dom-agi,25 AGI hype,1,22.5,396,2.527484571316296,0.9777645016557011,0.18434343434343434,0.20202020202020202,0.14898989898989898,0.15151515151515152,0.08585858585858586,0.22727272727272727
n30,dom-agi,25 AGI hype,2,37.5,414,2.399498186198611,0.9282526092851235,0.12318840579710146,0.24154589371980675,0.2463768115942029,0.05314009661835749,0.0893719806763285,0.2463768115942029
n30,dom-agi,25 AGI hype,3,52.5,352,2.0586770652568505,0.7964050018839802,0.0,0.3806818181818182,0.125,0.08806818181818182,0.09375,0.3125
n30,dom-tech,25 tech humor,0,7.5,377,2.077735341439127,0.803777749526145,0.23342175066312998,0.40848806366047746,0.034482758620689655,0.0610079575596817,0.23076923076923078,0.03183023872679045
n30,dom-tech,25 tech humor,1,22.5,419,1.8660748364782118,0.7218962890013344,0.2386634844868735,0.5346062052505967,0.03341288782816229,0.07637231503579953,0.0954653937947494,0.021479713603818614
n30,dom-tech,25 tech humor,2,37.5,367,1.6921857066201873,0.6546267909681859,0.20435967302452315,0.5885558583106267,0.01634877384196185,0.09264305177111716,0.09264305177111716,0.005449591280653951
n30,dom-tech,25 tech humor,3,52.5,228,1.7774146496175014,0.6875978468243296,0.14912280701754385,0.6008771929824561,0.11403508771929824,0.043859649122807015,0.07894736842105263,0.013157894736842105
