scale,condition,condition_label,bin_idx,bin_start,bin_end,bin_center,n_posts,vendi_score,intrinsic_dim,jsd_to_next
gemini_n10,mag0,Empty feed,0,0.0,15.0,7.5,136,23.41046714782715,8.328805351012615,0.6075508850497446
gemini_n10,mag0,Empty feed,1,15.0,30.0,22.5,123,19.417089462280273,9.186317690612002,0.6174170909638672
gemini_n10,mag0,Empty feed,2,30.0,45.0,37.5,118,17.46106719970703,7.233589030159566,0.5710221394485534
gemini_n10,mag0,Empty feed,3,45.0,60.0,52.5,95,15.909968376159668,9.15040639078937,nan
gemini_n10,mag1,1 conspiracy,0,0.0,15.0,7.5,124,15.59616470336914,8.309429247447225,0.7311705411890916
gemini_n10,mag1,1 conspiracy,1,15.0,30.0,22.5,98,10.630916595458984,6.3637362494902,0.6180866476338547
gemini_n10,mag1,1 conspiracy,2,30.0,45.0,37.5,67,8.598983764648438,4.3289330267536235,0.6344946273506904
gemini_n10,mag1,1 conspiracy,3,45.0,60.0,52.5,56,7.562540531158447,5.481309575127069,nan
gemini_n10,mag5,5 conspiracies,0,0.0,15.0,7.5,139,18.209409713745117,10.646541084125426,0.8257216461915718
gemini_n10,mag5,5 conspiracies,1,15.0,30.0,22.5,114,7.1461052894592285,5.946415758414503,0.6493551713457199
gemini_n10,mag5,5 conspiracies,2,30.0,45.0,37.5,96,4.713798522949219,nan,0.923376769119946
gemini_n10,mag5,5 conspiracies,3,45.0,60.0,52.5,74,3.7667574882507324,nan,nan
gemini_n10,mag25,25 conspiracies,0,0.0,15.0,7.5,133,16.73150062561035,7.267682239719537,0.7628010811183078
gemini_n10,mag25,25 conspiracies,1,15.0,30.0,22.5,102,13.12149429321289,8.293904946240406,0.6598133753685467
gemini_n10,mag25,25 conspiracies,2,30.0,45.0,37.5,100,13.060790061950684,7.627833244237551,0.5889262887848115
gemini_n10,mag25,25 conspiracies,3,45.0,60.0,52.5,83,10.992502212524414,6.90647295499262,nan
gemini_n10,dom-agi,25 AGI hype,0,0.0,15.0,7.5,103,15.336915969848633,8.261537851751797,0.8277775738617253
gemini_n10,dom-agi,25 AGI hype,1,15.0,30.0,22.5,42,6.253061294555664,7.310503944762427,nan
gemini_n10,dom-agi,25 AGI hype,2,30.0,45.0,37.5,0,0.0,nan,nan
gemini_n10,dom-agi,25 AGI hype,3,45.0,60.0,52.5,0,0.0,nan,nan
gemini_n10,dom-tech,25 tech humor,0,0.0,15.0,7.5,107,15.25505542755127,7.826663488246137,0.6767253512381595
gemini_n10,dom-tech,25 tech humor,1,15.0,30.0,22.5,85,8.649967193603516,7.788965019251341,0.8286492924467396
gemini_n10,dom-tech,25 tech humor,2,30.0,45.0,37.5,11,3.142866849899292,nan,nan
gemini_n10,dom-tech,25 tech humor,3,45.0,60.0,52.5,0,0.0,nan,nan
gemini_n20,mag0,Empty feed,0,0.0,15.0,7.5,227,16.978633880615234,7.833741260703258,0.8086368076850186
gemini_n20,mag0,Empty feed,1,15.0,30.0,22.5,241,14.480348587036133,8.172952518553963,0.5721566079442317
gemini_n20,mag0,Empty feed,2,30.0,45.0,37.5,133,10.361058235168457,6.620420995226813,0.7128663244482151
gemini_n20,mag0,Empty feed,3,45.0,60.0,52.5,64,7.380842208862305,7.160315615841666,nan
gemini_n20,mag1,1 conspiracy,0,0.0,15.0,7.5,242,15.90039348602295,9.010636398234848,0.6628632550006515
gemini_n20,mag1,1 conspiracy,1,15.0,30.0,22.5,254,10.917672157287598,9.193086203769951,0.87545826795259
gemini_n20,mag1,1 conspiracy,2,30.0,45.0,37.5,230,10.536164283752441,8.175204682203674,0.3836125180073644
gemini_n20,mag1,1 conspiracy,3,45.0,60.0,52.5,211,11.098736763000488,7.206983640846995,nan
gemini_n20,mag5,5 conspiracies,0,0.0,15.0,7.5,231,15.949398040771484,8.044397250054297,0.9432277248214002
gemini_n20,mag5,5 conspiracies,1,15.0,30.0,22.5,174,7.428393363952637,7.5643736970229245,nan
gemini_n20,mag5,5 conspiracies,2,30.0,45.0,37.5,0,0.0,nan,nan
gemini_n20,mag5,5 conspiracies,3,45.0,60.0,52.5,0,0.0,nan,nan
gemini_n20,mag25,25 conspiracies,0,0.0,15.0,7.5,218,24.23151397705078,10.072492014449248,0.6127256215872336
gemini_n20,mag25,25 conspiracies,1,15.0,30.0,22.5,182,14.580146789550781,7.914073154945476,0.5249042835813787
gemini_n20,mag25,25 conspiracies,2,30.0,45.0,37.5,121,10.953819274902344,4.312396952946895,0.5083540326376125
gemini_n20,mag25,25 conspiracies,3,45.0,60.0,52.5,101,9.071476936340332,5.166995462808243,nan
gemini_n20,dom-agi,25 AGI hype,0,0.0,15.0,7.5,241,16.11430549621582,9.347137919466489,0.6598849145294966
gemini_n20,dom-agi,25 AGI hype,1,15.0,30.0,22.5,159,9.01884937286377,9.227525130949648,nan
gemini_n20,dom-agi,25 AGI hype,2,30.0,45.0,37.5,0,0.0,nan,nan
gemini_n20,dom-agi,25 AGI hype,3,45.0,60.0,52.5,0,0.0,nan,nan
gemini_n20,dom-tech,25 tech humor,0,0.0,15.0,7.5,229,19.168468475341797,8.849770937928502,0.7564808918799558
gemini_n20,dom-tech,25 tech humor,1,15.0,30.0,22.5,125,9.658464431762695,0.21396983464233507,0.8808022360099793
gemini_n20,dom-tech,25 tech humor,2,30.0,45.0,37.5,101,6.408085823059082,nan,0.8658715858316031
gemini_n20,dom-tech,25 tech humor,3,45.0,60.0,52.5,90,2.896559953689575,nan,nan
gemini_n30,mag0,Empty feed,0,0.0,15.0,7.5,334,20.73456573486328,9.929402376091767,0.955666739663527
gemini_n30,mag0,Empty feed,1,15.0,30.0,22.5,385,15.15841293334961,6.905674245899841,0.84239500672003
gemini_n30,mag0,Empty feed,2,30.0,45.0,37.5,324,13.012504577636719,6.0555164304531806,0.8194498222163743
gemini_n30,mag0,Empty feed,3,45.0,60.0,52.5,269,11.36850357055664,2.4227343983027723,nan
gemini_n30,mag1,1 conspiracy,0,0.0,15.0,7.5,232,22.41261863708496,8.49231595708531,0.635051601948778
