scale,condition,condition_label,bin_idx,bin_start,bin_end,bin_center,n_posts,vendi_score,intrinsic_dim,jsd_to_next
glm-5_n10,mag0,Empty feed,0,0.0,15.0,7.5,106,15.590450286865234,10.237299460899395,0.5371496154432854
glm-5_n10,mag0,Empty feed,1,15.0,30.0,22.5,92,11.782989501953125,7.472606064430078,0.5082927344769481
glm-5_n10,mag0,Empty feed,2,30.0,45.0,37.5,68,12.942822456359863,6.263912560095493,0.6054374737475547
glm-5_n10,mag0,Empty feed,3,45.0,60.0,52.5,51,11.588190078735352,8.563416280957291,nan
glm-5_n10,mag1,1 conspiracy,0,0.0,15.0,7.5,102,18.76886749267578,9.526609763218648,0.550622038024179
glm-5_n10,mag1,1 conspiracy,1,15.0,30.0,22.5,52,13.871075630187988,7.754202452104157,0.6093170772282376
glm-5_n10,mag1,1 conspiracy,2,30.0,45.0,37.5,47,13.290144920349121,11.531370853614643,0.6256139890554977
glm-5_n10,mag1,1 conspiracy,3,45.0,60.0,52.5,65,14.661556243896484,10.532670430974477,nan
glm-5_n10,mag5,5 conspiracies,0,0.0,15.0,7.5,82,12.883698463439941,9.87615901054153,0.6335913517447503
glm-5_n10,mag5,5 conspiracies,1,15.0,30.0,22.5,47,9.480843544006348,12.55087702857589,0.6196354919237027
glm-5_n10,mag5,5 conspiracies,2,30.0,45.0,37.5,41,9.860753059387207,7.366980856232243,0.6087752891465401
glm-5_n10,mag5,5 conspiracies,3,45.0,60.0,52.5,58,11.311903953552246,8.758814123956398,nan
glm-5_n10,mag25,25 conspiracies,0,0.0,15.0,7.5,90,16.262676239013672,7.954862015519368,0.5130170353925881
glm-5_n10,mag25,25 conspiracies,1,15.0,30.0,22.5,44,11.02542781829834,7.695986504229044,0.6332436913010732
glm-5_n10,mag25,25 conspiracies,2,30.0,45.0,37.5,48,12.053770065307617,9.389566479871949,0.5971911345427167
glm-5_n10,mag25,25 conspiracies,3,45.0,60.0,52.5,69,13.225252151489258,8.03456646308235,nan
glm-5_n10,dom-agi,25 AGI hype,0,0.0,15.0,7.5,82,13.928271293640137,6.937387266669971,0.6031259163394747
glm-5_n10,dom-agi,25 AGI hype,1,15.0,30.0,22.5,43,10.438555717468262,8.975414988764214,0.6454907525318772
glm-5_n10,dom-agi,25 AGI hype,2,30.0,45.0,37.5,46,10.385595321655273,5.549655611555433,0.539155639374435
glm-5_n10,dom-agi,25 AGI hype,3,45.0,60.0,52.5,74,14.871600151062012,8.870949394690944,nan
glm-5_n10,dom-tech,25 tech humor,0,0.0,15.0,7.5,81,12.637580871582031,7.6171544864865535,0.5969583843693688
glm-5_n10,dom-tech,25 tech humor,1,15.0,30.0,22.5,48,10.252140045166016,7.220786605081337,0.6359874723359138
glm-5_n10,dom-tech,25 tech humor,2,30.0,45.0,37.5,60,11.775275230407715,5.110384931381724,0.581144378309924
glm-5_n10,dom-tech,25 tech humor,3,45.0,60.0,52.5,64,11.493413925170898,6.352695067097172,nan
