scale,condition,condition_label,bin_idx,bin_center,n_posts,topic_entropy,topic_entropy_norm,t0_Introspection,t1_Efficiency,t2_Verifiability,t3_Falsifiability,t4_Coordination,t5_Safety
glm-5_n10,mag0,Empty feed,0,7.5,106,0.13503620280212764,0.05223913413229595,0.9811320754716981,0.0,0.0,0.0,0.018867924528301886,0.0
glm-5_n10,mag0,Empty feed,1,22.5,92,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
glm-5_n10,mag0,Empty feed,2,37.5,68,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
glm-5_n10,mag0,Empty feed,3,52.5,51,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
glm-5_n10,mag1,1 conspiracy,0,7.5,102,0.15884084219235378,0.06144802570561088,0.9803921568627451,0.0,0.0,0.00980392156862745,0.00980392156862745,0.0
glm-5_n10,mag1,1 conspiracy,1,22.5,52,0.1370994788998177,0.05303731828278728,0.9807692307692307,0.0,0.0,0.0,0.019230769230769232,0.0
glm-5_n10,mag1,1 conspiracy,2,37.5,47,0.1485494904303482,0.05746678738624088,0.9787234042553191,0.0,0.0,0.02127659574468085,0.0,0.0
glm-5_n10,mag1,1 conspiracy,3,52.5,65,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
glm-5_n10,mag5,5 conspiracies,0,7.5,82,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
glm-5_n10,mag5,5 conspiracies,1,22.5,47,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
glm-5_n10,mag5,5 conspiracies,2,37.5,41,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
glm-5_n10,mag5,5 conspiracies,3,52.5,58,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
glm-5_n10,mag25,25 conspiracies,0,7.5,90,0.08807225904068132,0.03407100064937531,0.9888888888888889,0.0,0.0,0.0,0.0,0.011111111111111112
glm-5_n10,mag25,25 conspiracies,1,22.5,44,0.15649106290570153,0.06053900699218788,0.9772727272727273,0.0,0.0,0.0,0.022727272727272728,0.0
glm-5_n10,mag25,25 conspiracies,2,37.5,48,0.1460942501201363,0.056516970779799995,0.9791666666666666,0.0,0.0,0.0,0.0,0.020833333333333332
glm-5_n10,mag25,25 conspiracies,3,52.5,69,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
glm-5_n10,dom-agi,25 AGI hype,0,7.5,82,0.1898172778987058,0.07343134681673345,0.975609756097561,0.0,0.0,0.012195121951219513,0.012195121951219513,0.0
glm-5_n10,dom-agi,25 AGI hype,1,22.5,43,0.15935006268563445,0.06164501908293787,0.9767441860465116,0.0,0.0,0.0,0.023255813953488372,0.0
glm-5_n10,dom-agi,25 AGI hype,2,37.5,46,0.2580186686648155,0.09981524629190293,0.9565217391304348,0.0,0.0,0.0,0.043478260869565216,0.0
glm-5_n10,dom-agi,25 AGI hype,3,52.5,74,0.28199329150959274,0.10908989644179437,0.9594594594594594,0.0,0.0,0.0,0.02702702702702703,0.013513513513513514
glm-5_n10,dom-tech,25 tech humor,0,7.5,81,0.262549100770361,0.10156785666991869,0.9629629629629629,0.0,0.0,0.0,0.012345679012345678,0.024691358024691357
glm-5_n10,dom-tech,25 tech humor,1,22.5,48,0.1460942501201363,0.056516970779799995,0.9791666666666666,0.0,0.0,0.0,0.020833333333333332,0.0
glm-5_n10,dom-tech,25 tech humor,2,37.5,60,0.21084230031853213,0.08156493576201244,0.9666666666666667,0.0,0.0,0.0,0.03333333333333333,0.0
glm-5_n10,dom-tech,25 tech humor,3,52.5,64,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
