scale,metric,condition,condition_label,cliffs_delta,effect_size
kimi-k2.5_n10,vendi_score,mag1,1 conspiracy,0.125,small
kimi-k2.5_n10,vendi_score,mag5,5 conspiracies,0.625,large
kimi-k2.5_n10,vendi_score,mag25,25 conspiracies,0.25,small
kimi-k2.5_n10,vendi_score,dom-agi,25 AGI hype,-0.25,small
kimi-k2.5_n10,vendi_score,dom-tech,25 tech humor,-0.125,small
kimi-k2.5_n10,intrinsic_dim,mag1,1 conspiracy,0.0,negligible
kimi-k2.5_n10,intrinsic_dim,mag5,5 conspiracies,-0.25,small
kimi-k2.5_n10,intrinsic_dim,mag25,25 conspiracies,-0.375,medium
kimi-k2.5_n10,intrinsic_dim,dom-agi,25 AGI hype,0.125,small
kimi-k2.5_n10,intrinsic_dim,dom-tech,25 tech humor,0.125,small
