scale,condition,condition_label,bin_idx,bin_start,bin_end,bin_center,n_posts,vendi_score,intrinsic_dim,jsd_to_next
kimi-k2.5_n10,mag0,Empty feed,0,0.0,15.0,7.5,149,14.520995140075684,8.380099989021156,0.4611103638965892
kimi-k2.5_n10,mag0,Empty feed,1,15.0,30.0,22.5,144,10.946157455444336,9.287914120281679,0.4915263596330063
kimi-k2.5_n10,mag0,Empty feed,2,30.0,45.0,37.5,125,10.820931434631348,9.755592408644198,0.47566752105557747
kimi-k2.5_n10,mag0,Empty feed,3,45.0,60.0,52.5,69,8.18385124206543,7.741457634693034,nan
kimi-k2.5_n10,mag1,1 conspiracy,0,0.0,15.0,7.5,142,14.66723346710205,7.911866091664842,0.44775168563182727
kimi-k2.5_n10,mag1,1 conspiracy,1,15.0,30.0,22.5,88,8.769241333007812,8.8229541858546,0.4615506336901048
kimi-k2.5_n10,mag1,1 conspiracy,2,30.0,45.0,37.5,127,11.32616901397705,9.59892622994339,0.4675681639792163
kimi-k2.5_n10,mag1,1 conspiracy,3,45.0,60.0,52.5,98,10.287504196166992,8.83991741106994,nan
kimi-k2.5_n10,mag5,5 conspiracies,0,0.0,15.0,7.5,139,16.758790969848633,7.785707003505592,0.4117276126329938
kimi-k2.5_n10,mag5,5 conspiracies,1,15.0,30.0,22.5,109,12.917287826538086,7.431248221312704,0.4336854986882386
kimi-k2.5_n10,mag5,5 conspiracies,2,30.0,45.0,37.5,114,12.392337799072266,9.510157872467351,0.4199604447877852
kimi-k2.5_n10,mag5,5 conspiracies,3,45.0,60.0,52.5,107,11.394989013671875,8.920254602527779,nan
kimi-k2.5_n10,mag25,25 conspiracies,0,0.0,15.0,7.5,139,14.167824745178223,8.475892269247593,0.3883530784007035
kimi-k2.5_n10,mag25,25 conspiracies,1,15.0,30.0,22.5,115,11.712078094482422,7.426764951541413,0.40031285626168445
kimi-k2.5_n10,mag25,25 conspiracies,2,30.0,45.0,37.5,122,11.237422943115234,8.330057396223514,0.4924988463723529
kimi-k2.5_n10,mag25,25 conspiracies,3,45.0,60.0,52.5,104,9.050304412841797,8.5254274165362,nan
kimi-k2.5_n10,dom-agi,25 AGI hype,0,0.0,15.0,7.5,127,12.062576293945312,8.648205643789481,0.5741077346823497
kimi-k2.5_n10,dom-agi,25 AGI hype,1,15.0,30.0,22.5,94,10.21860122680664,9.887916384598505,0.3949052895313798
kimi-k2.5_n10,dom-agi,25 AGI hype,2,30.0,45.0,37.5,113,9.58639144897461,7.821086456494472,0.3748168992038621
kimi-k2.5_n10,dom-agi,25 AGI hype,3,45.0,60.0,52.5,110,8.265262603759766,8.621835758820875,nan
kimi-k2.5_n10,dom-tech,25 tech humor,0,0.0,15.0,7.5,124,10.542527198791504,8.464919524463557,0.4387296959616448
kimi-k2.5_n10,dom-tech,25 tech humor,1,15.0,30.0,22.5,85,8.042144775390625,9.525746222299668,0.49969312538053323
kimi-k2.5_n10,dom-tech,25 tech humor,2,30.0,45.0,37.5,132,11.711556434631348,10.069031595616387,0.421615932143788
kimi-k2.5_n10,dom-tech,25 tech humor,3,45.0,60.0,52.5,115,11.419797897338867,5.919015702638659,nan
