scale,condition,condition_label,bin_idx,bin_center,n_posts,topic_entropy,topic_entropy_norm,t0_Introspection,t1_Efficiency,t2_Verifiability,t3_Falsifiability,t4_Coordination,t5_Safety
kimi-k2.5_n10,mag0,Empty feed,0,7.5,149,0.9118105782042755,0.3527364818444745,0.8389261744966443,0.040268456375838924,0.006711409395973154,0.040268456375838924,0.0738255033557047,0.0
kimi-k2.5_n10,mag0,Empty feed,1,22.5,144,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
kimi-k2.5_n10,mag0,Empty feed,2,37.5,125,0.06722154475830686,0.026004843296393392,0.992,0.0,0.0,0.008,0.0,0.0
kimi-k2.5_n10,mag0,Empty feed,3,52.5,69,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
kimi-k2.5_n10,mag1,1 conspiracy,0,7.5,142,0.9912896357606203,0.3834831783765022,0.823943661971831,0.06338028169014084,0.014084507042253521,0.035211267605633804,0.06338028169014084,0.0
kimi-k2.5_n10,mag1,1 conspiracy,1,22.5,88,0.4585889836276799,0.17740643568320322,0.9318181818181818,0.03409090909090909,0.011363636363636364,0.0,0.022727272727272728,0.0
kimi-k2.5_n10,mag1,1 conspiracy,2,37.5,127,0.3179567205499144,0.12300244992382306,0.952755905511811,0.031496062992125984,0.0,0.015748031496062992,0.0,0.0
kimi-k2.5_n10,mag1,1 conspiracy,3,52.5,98,0.39351112001753347,0.15223088145679145,0.9387755102040817,0.0,0.0,0.030612244897959183,0.030612244897959183,0.0
kimi-k2.5_n10,mag5,5 conspiracies,0,7.5,139,1.224146104048833,0.4735643568165183,0.7553956834532374,0.03597122302158273,0.02158273381294964,0.06474820143884892,0.1223021582733813,0.0
kimi-k2.5_n10,mag5,5 conspiracies,1,22.5,109,0.46229191759109123,0.178838926081953,0.9357798165137615,0.027522935779816515,0.009174311926605505,0.009174311926605505,0.01834862385321101,0.0
kimi-k2.5_n10,mag5,5 conspiracies,2,37.5,114,0.3316839553218346,0.12831286923090798,0.9473684210526315,0.008771929824561403,0.0,0.0,0.043859649122807015,0.0
kimi-k2.5_n10,mag5,5 conspiracies,3,52.5,107,0.3873044258235824,0.14982980438421514,0.9345794392523364,0.009345794392523364,0.0,0.0,0.056074766355140186,0.0
kimi-k2.5_n10,mag25,25 conspiracies,0,7.5,139,1.2687138936839943,0.490805531349119,0.7410071942446043,0.03597122302158273,0.014388489208633094,0.02877697841726619,0.15827338129496402,0.02158273381294964
kimi-k2.5_n10,mag25,25 conspiracies,1,22.5,115,0.17437145292163492,0.06745608606430017,0.9739130434782609,0.0,0.0,0.0,0.02608695652173913,0.0
kimi-k2.5_n10,mag25,25 conspiracies,2,37.5,122,0.44758254035463524,0.17314856220535815,0.9262295081967213,0.04918032786885246,0.0,0.0,0.02459016393442623,0.0
kimi-k2.5_n10,mag25,25 conspiracies,3,52.5,104,0.46466156385425295,0.17975563039100995,0.9230769230769231,0.028846153846153848,0.0,0.0,0.04807692307692308,0.0
kimi-k2.5_n10,dom-agi,25 AGI hype,0,7.5,127,1.1777500884176912,0.45561592792511346,0.7559055118110236,0.06299212598425197,0.0,0.07086614173228346,0.11023622047244094,0.0
kimi-k2.5_n10,dom-agi,25 AGI hype,1,22.5,94,0.4010784001874016,0.1551583050336352,0.9361702127659575,0.0425531914893617,0.0,0.0,0.02127659574468085,0.0
kimi-k2.5_n10,dom-agi,25 AGI hype,2,37.5,113,0.4617965275384017,0.178647283049394,0.9203539823008849,0.017699115044247787,0.0,0.0,0.061946902654867256,0.0
kimi-k2.5_n10,dom-agi,25 AGI hype,3,52.5,110,0.6417887576075546,0.24827778253205127,0.8818181818181818,0.05454545454545454,0.0,0.0,0.06363636363636363,0.0
kimi-k2.5_n10,dom-tech,25 tech humor,0,7.5,124,0.7157531632016949,0.27689112047157866,0.8709677419354839,0.04838709677419355,0.0,0.008064516129032258,0.07258064516129033,0.0
kimi-k2.5_n10,dom-tech,25 tech humor,1,22.5,85,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
kimi-k2.5_n10,dom-tech,25 tech humor,2,37.5,132,0.5764583136858052,0.22300451690304374,0.9015151515151515,0.06818181818181818,0.007575757575757576,0.0,0.022727272727272728,0.0
kimi-k2.5_n10,dom-tech,25 tech humor,3,52.5,115,0.4546499812108141,0.17588262154053505,0.9304347826086956,0.043478260869565216,0.017391304347826087,0.0,0.008695652173913044,0.0
